id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-026	bé	clips/pa-026__b__99.97.wav	1	0.160	0.400	100.130	100.370	0.9415	bé	0.280		816.27	2305.67	3313.90	tokenització small; no és consens de dos models; pendent d'audició
pa-028	bé	clips/pa-028__b__182.49.wav	1	3.030	3.120	185.520	185.610	0.9916	bé	3.075	126.72	159.05	1562.72	2871.58	tokenització small; no és consens de dos models; pendent d'audició
pa-032	bé	clips/pa-032__b__270.41.wav	1	3.120	3.250	273.530	273.660	0.7044	bé	3.185	114.88	459.22	1104.75	2338.95	tokenització small; no és consens de dos models; pendent d'audició
pa-033	bé	clips/pa-033__b__103.09.wav	1	0.970	1.210	104.060	104.300	0.9744	bé	1.090	95.17	388.99	593.28	2444.60	tokenització small; no és consens de dos models; pendent d'audició
pa-033	bé	clips/pa-033__b__103.09.wav	2	3.070	3.190	106.160	106.280	0.9997	bé	3.130	163.29	479.05	1742.93	2441.42	tokenització small; no és consens de dos models; pendent d'audició
pa-034	bé	clips/pa-034__b__18.85.wav	1	1.200	1.430	20.050	20.280	0.8242	bé	1.315	150.28	602.02	2334.34	3157.00	tokenització small; no és consens de dos models; pendent d'audició
pa-036	bé	clips/pa-036__b__69.45.wav	1	2.510	2.720	71.960	72.170	0.9995	bé	2.615	104.09	429.12	1609.59	2396.21	tokenització small; no és consens de dos models; pendent d'audició
pa-037	bé	clips/pa-037__b__105.29.wav	1	10.530	11.500	115.820	116.790	0.9336	bé	11.015	204.50	442.44	1872.81	2347.08	tokenització small; no és consens de dos models; pendent d'audició
pa-037	bé	clips/pa-037__b__105.29.wav	2	13.190	13.860	118.480	119.150	0.4035	bé	13.525	162.80	459.96	1557.15	2743.56	tokenització small; no és consens de dos models; pendent d'audició
pa-037	bé	clips/pa-037__b__105.29.wav	3	14.960	15.390	120.250	120.680	0.9620	bé	15.175	143.17	444.26	874.47	2824.03	tokenització small; no és consens de dos models; pendent d'audició
pa-037	bé	clips/pa-037__b__105.29.wav	4	15.890	16.210	121.180	121.500	0.9723	bé	16.050	138.37	333.56	864.40	2545.13	tokenització small; no és consens de dos models; pendent d'audició
pa-037	bé	clips/pa-037__b__105.29.wav	5	18.490	18.660	123.780	123.950	0.3064	bé	18.575		830.27	1658.31	2528.97	tokenització small; no és consens de dos models; pendent d'audició
pa-038	bé	clips/pa-038__b__26.77.wav	1	0.810	1.000	27.580	27.770	0.9083	bé	0.905	262.14	313.60	704.26	2394.23	tokenització small; no és consens de dos models; pendent d'audició
pa-039	bé	clips/pa-039__b__27.77.wav	1	3.220	3.270	30.990	31.040	0.9914	bé	3.245		484.73	1503.18	2358.34	tokenització small; no és consens de dos models; pendent d'audició
pa-041	bé	clips/pa-041__b__130.25.wav	1	0.000	0.440	130.250	130.690	0.2875	Bé	0.220		746.19	1377.00	2450.98	tokenització small; no és consens de dos models; pendent d'audició
pa-045	bé	clips/pa-045__b__83.49.wav	1	0.090	0.360	83.580	83.850	0.6354	bé	0.225		623.54	1974.81	3696.55	tokenització small; no és consens de dos models; pendent d'audició
pa-046	bé	clips/pa-046__b__348.81.wav	1	2.320	2.560	351.130	351.370	0.8391	bé	2.440	98.90	715.74	2597.88	3914.06	tokenització small; no és consens de dos models; pendent d'audició
pa-048	bé	clips/pa-048__b__495.73.wav	1	0.000	1.190	495.730	496.920	0.6658	Bé	0.595		758.04	1491.46	3269.83	tokenització small; no és consens de dos models; pendent d'audició
pa-049	bé	clips/pa-049__b__74.21.wav	1	7.000	7.000	81.210	81.210	0.8685	bé	7.000		955.74	1568.01	2431.53	tokenització small; no és consens de dos models; pendent d'audició
pa-057	bé	clips/pa-057__b__203.57.wav	1	1.690	2.000	205.260	205.570	0.8791	bé	1.845	101.04	429.94	1818.91	2486.75	tokenització small; no és consens de dos models; pendent d'audició
pa-061	bé	clips/pa-061__b__662.89.wav	1	1.920	2.000	664.810	664.890	0.4650	bé	1.960		1793.75	2475.62	3380.73	tokenització small; no és consens de dos models; pendent d'audició
pa-063	bé	clips/pa-063__b__105.97.wav	1	0.000	0.330	105.970	106.300	0.5648	Bé	0.165	492.70	494.36	1982.83	2791.93	tokenització small; no és consens de dos models; pendent d'audició
pa-064	bé	clips/pa-064__b__97.93.wav	1	0.000	0.430	97.930	98.360	0.6509	Bé	0.215	473.85	482.31	1772.30	2819.72	tokenització small; no és consens de dos models; pendent d'audició
pa-065	bé	clips/pa-065__b__138.57.wav	1	1.470	1.770	140.040	140.340	0.9995	bé	1.620	125.83	440.27	1885.92	2382.21	tokenització small; no és consens de dos models; pendent d'audició
pa-066	bé	clips/pa-066__b__10.13.wav	1	2.540	3.430	12.670	13.560	0.4289	bé	2.985	113.12	330.95	2282.09	3005.13	tokenització small; no és consens de dos models; pendent d'audició
pa-001	de fet	clips/pa-001__de-fet__68.49.wav	1	0.800	1.200	69.290	69.690	0.5778	de fet	1.000	79.99	364.57	1501.81	2696.68	tokenització small; no és consens de dos models; pendent d'audició
pa-002	de fet	clips/pa-002__de-fet__72.25.wav	1	3.030	3.110	75.280	75.360	0.2739	de fet	3.070		959.40	2448.21	3187.05	tokenització small; no és consens de dos models; pendent d'audició
pa-003	de fet	clips/pa-003__de-fet__0.00.wav	1	1.900	2.620	1.900	2.620	0.6679	de fet	2.260	245.11	502.04	2233.93	2852.92	tokenització small; no és consens de dos models; pendent d'audició
pa-004	de fet	clips/pa-004__de-fet__601.17.wav	1	2.750	3.000	603.920	604.170	0.6882	de fet	2.875	160.90	332.18	1189.25	2533.59	tokenització small; no és consens de dos models; pendent d'audició
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1	1.270	2.070	286.520	287.320	0.8407	de fet	1.670	122.56	363.37	2364.66	2621.87	tokenització small; no és consens de dos models; pendent d'audició
pa-008	de fet	clips/pa-008__de-fet__799.25.wav	1	2.440	2.690	801.690	801.940	0.7983	de fet	2.565		327.20	1584.62	2808.90	tokenització small; no és consens de dos models; pendent d'audició
pa-010	de fet	clips/pa-010__de-fet__647.25.wav	1	1.480	1.990	648.730	649.240	0.6151	de fet	1.735		1543.46	2465.09	3706.89	tokenització small; no és consens de dos models; pendent d'audició
pa-011	de fet	clips/pa-011__de-fet__557.25.wav	1	0.000	0.690	557.250	557.940	0.5130	de fet	0.345		1698.55	2004.88	3277.22	tokenització small; no és consens de dos models; pendent d'audició
pa-016	de fet	clips/pa-016__de-fet__318.53.wav	1	2.270	2.360	320.800	320.890	0.5592	de fet	2.315	142.38	523.52	1846.52	2483.13	tokenització small; no és consens de dos models; pendent d'audició
pa-023	de fet	clips/pa-023__de-fet__72.49.wav	1	4.670	4.870	77.160	77.360	0.7118	de fet	4.770		668.23	1887.76	2690.21	tokenització small; no és consens de dos models; pendent d'audició
pa-024	de fet	clips/pa-024__de-fet__482.25.wav	1	0.040	0.330	482.290	482.580	0.2345	de fet	0.185	154.60	475.52	1582.75	2096.62	tokenització small; no és consens de dos models; pendent d'audició
pa-025	de fet	clips/pa-025__de-fet__890.85.wav	1	1.590	2.000	892.440	892.850	0.6469	de fet	1.795	110.78	421.40	2301.84	2931.58	tokenització small; no és consens de dos models; pendent d'audició
pa-027	de fet	clips/pa-027__de-fet__109.45.wav	1	0.540	1.040	109.990	110.490	0.3832	de fet	0.790		730.21	1584.45	2749.03	tokenització small; no és consens de dos models; pendent d'audició
pa-028	de fet	clips/pa-028__de-fet__31.17.wav	1	4.600	4.870	35.770	36.040	0.7839	de fet	4.735		589.11	1676.27	2417.92	tokenització small; no és consens de dos models; pendent d'audició
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	1	0.930	1.630	10.860	11.560	0.8205	de fet	1.280	109.94	318.84	1820.82	2487.31	tokenització small; no és consens de dos models; pendent d'audició
pa-033	de fet	clips/pa-033__de-fet__249.69.wav	1	1.180	1.460	250.870	251.150	0.9628	de fet	1.320	168.84	491.82	1276.30	2504.00	tokenització small; no és consens de dos models; pendent d'audició
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	1	1.080	1.380	71.250	71.550	0.9576	de fet	1.230	95.61	486.38	1338.61	2631.94	tokenització small; no és consens de dos models; pendent d'audició
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	1	4.700	4.840	77.270	77.410	0.8385	de fet	4.770	148.05	492.15	1921.29	2401.89	tokenització small; no és consens de dos models; pendent d'audició
pa-066	de fet	clips/pa-066__de-fet__44.37.wav	1	1.460	1.790	45.830	46.160	0.7471	de fet	1.625	97.51	393.16	1396.52	2616.10	tokenització small; no és consens de dos models; pendent d'audició
pa-003	és a dir	clips/pa-003__s-a-dir__65.05.wav	1	0.000	0.510	65.050	65.560	0.4942	És a dir	0.255		668.26	2079.50	2973.03	tokenització small; no és consens de dos models; pendent d'audició
pa-007	és a dir	clips/pa-007__s-a-dir__684.25.wav	1	0.000	1.170	684.250	685.420	0.0916	és a dir	0.585		1133.07	2208.25	3104.55	tokenització small; no és consens de dos models; pendent d'audició
pa-008	és a dir	clips/pa-008__s-a-dir__1110.25.wav	1	2.300	2.600	1112.550	1112.850	0.4791	És a dir	2.450	127.65	337.67	2217.54	2776.08	tokenització small; no és consens de dos models; pendent d'audició
pa-010	és a dir	clips/pa-010__s-a-dir__243.25.wav	1	0.000	0.380	243.250	243.630	0.3904	és a dir	0.190	107.84	565.23	1497.58	2238.23	tokenització small; no és consens de dos models; pendent d'audició
pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	1	0.000	0.850	48.090	48.940	0.0626	és a dir	0.425		1165.31	2500.44	3719.53	tokenització small; no és consens de dos models; pendent d'audició
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	1	1.200	1.540	580.370	580.710	0.6284	És a dir	1.370	181.82	771.33	1797.60	2756.48	tokenització small; no és consens de dos models; pendent d'audició
pa-016	és a dir	clips/pa-016__s-a-dir__85.97.wav	1	1.000	1.170	86.970	87.140	0.1726	És a dir	1.085	80.16	485.64	1725.72	2796.33	tokenització small; no és consens de dos models; pendent d'audició
pa-017	és a dir	clips/pa-017__s-a-dir__487.25.wav	1	1.520	1.710	488.770	488.960	0.4956	és a dir	1.615	157.49	374.10	2101.48	3249.60	tokenització small; no és consens de dos models; pendent d'audició
pa-021	és a dir	clips/pa-021__s-a-dir__32.29.wav	1	1.130	2.120	33.420	34.410	0.3647	És a dir	1.625		1436.94	2556.24	3639.97	tokenització small; no és consens de dos models; pendent d'audició
pa-022	és a dir	clips/pa-022__s-a-dir__11.49.wav	1	3.800	4.560	15.290	16.050	0.1417	És a dir	4.180	97.75	104.92	1853.69	3076.84	tokenització small; no és consens de dos models; pendent d'audició
pa-023	és a dir	clips/pa-023__s-a-dir__207.17.wav	1	0.000	0.550	207.170	207.720	0.0165	És a dir	0.275	112.06	700.41	2323.99	3545.92	tokenització small; no és consens de dos models; pendent d'audició
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	1	1.000	1.770	186.610	187.380	0.6623	és a dir	1.385		842.98	1679.14	2767.57	tokenització small; no és consens de dos models; pendent d'audició
pa-030	és a dir	clips/pa-030__s-a-dir__193.13.wav	1	1.080	1.470	194.210	194.600	0.3545	És a dir	1.275	125.70	309.11	2231.08	2710.21	tokenització small; no és consens de dos models; pendent d'audició
pa-033	és a dir	clips/pa-033__s-a-dir__39.29.wav	1	0.000	0.460	39.290	39.750	0.2217	és a dir	0.230	105.91	444.15	947.45	2465.27	tokenització small; no és consens de dos models; pendent d'audició
pa-033	és a dir	clips/pa-033__s-a-dir__39.29.wav	2	1.550	1.890	40.840	41.180	0.4670	és a dir	1.720		566.94	1680.27	2386.18	tokenització small; no és consens de dos models; pendent d'audició
pa-034	és a dir	clips/pa-034__s-a-dir__319.09.wav	1	0.800	1.340	319.890	320.430	0.6783	és a dir	1.070	133.69	284.81	1591.85	3131.58	tokenització small; no és consens de dos models; pendent d'audició
pa-035	és a dir	clips/pa-035__s-a-dir__582.29.wav	1	0.000	0.750	582.290	583.040	0.1928	És a dir	0.375		615.77	1578.96	2842.32	tokenització small; no és consens de dos models; pendent d'audició
pa-043	és a dir	clips/pa-043__s-a-dir__107.25.wav	1	1.000	1.330	108.250	108.580	0.3177	És a dir	1.165	172.26	409.45	1669.31	2832.71	tokenització small; no és consens de dos models; pendent d'audició
pa-046	és a dir	clips/pa-046__s-a-dir__135.61.wav	1	2.000	2.320	137.610	137.930	0.8034	és a dir	2.160		623.52	1487.97	3004.25	tokenització small; no és consens de dos models; pendent d'audició
pa-048	és a dir	clips/pa-048__s-a-dir__1130.61.wav	1	0.000	1.530	1130.610	1132.140	0.0362	és a dir	0.765		1269.95	2272.00	3322.19	tokenització small; no és consens de dos models; pendent d'audició
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	1	1.090	1.660	75.500	76.070	0.9532	És a dir	1.375	110.89	342.21	2315.24	2691.94	tokenització small; no és consens de dos models; pendent d'audició
pa-059	és a dir	clips/pa-059__s-a-dir__487.81.wav	1	0.000	0.560	487.810	488.370	0.3117	És a dir	0.280		699.56	1889.81	2962.25	tokenització small; no és consens de dos models; pendent d'audició
pa-060	és a dir	clips/pa-060__s-a-dir__207.33.wav	1	0.030	0.530	207.360	207.860	0.1095	És a dir	0.280	116.28	571.75	1197.12	2407.81	tokenització small; no és consens de dos models; pendent d'audició
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	1	1.000	1.770	974.650	975.420	0.7665	és a dir	1.385		658.98	1618.07	2518.15	tokenització small; no és consens de dos models; pendent d'audició
pa-064	és a dir	clips/pa-064__s-a-dir__258.61.wav	1	0.080	0.670	258.690	259.280	0.0375	És a dir	0.375	128.58	418.11	1558.83	2649.85	tokenització small; no és consens de dos models; pendent d'audició
pa-065	és a dir	clips/pa-065__s-a-dir__221.29.wav	1	0.000	0.690	221.290	221.980	0.1110	És a dir	0.345		964.46	1768.45	3106.82	tokenització small; no és consens de dos models; pendent d'audició
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	1	0.030	0.740	513.280	513.990	0.5916	Aleshores	0.385		1567.02	2587.02	3187.61	tokenització small; no és consens de dos models; pendent d'audició
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1	1.160	1.630	1316.410	1316.880	0.6411	Aleshores	1.395		802.79	1379.08	2682.19	tokenització small; no és consens de dos models; pendent d'audició
pa-012	aleshores	clips/pa-012__aleshores__246.25.wav	1	0.340	1.150	246.590	247.400	0.2041	aleshores	0.745		1679.23	2036.34	4081.36	tokenització small; no és consens de dos models; pendent d'audició
pa-025	aleshores	clips/pa-025__aleshores__361.93.wav	1	0.410	1.640	362.340	363.570	0.7026	aleshores	1.025	106.86	515.64	1304.32	2436.74	tokenització small; no és consens de dos models; pendent d'audició
pa-030	aleshores	clips/pa-030__aleshores__392.41.wav	1	0.120	1.250	392.530	393.660	0.3657	aleshores	0.685		735.68	1212.57	2488.49	tokenització small; no és consens de dos models; pendent d'audició
pa-031	aleshores	clips/pa-031__aleshores__54.09.wav	1	0.770	1.230	54.860	55.320	0.4175	aleshores	1.000	98.98	459.96	1462.62	2769.19	tokenització small; no és consens de dos models; pendent d'audició
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	1	0.210	2.140	79.300	81.230	0.2226	aleshores	1.175		869.09	1811.44	2531.72	tokenització small; no és consens de dos models; pendent d'audició
pa-046	aleshores	clips/pa-046__aleshores__527.57.wav	1	2.800	3.290	530.370	530.860	0.5334	aleshores	3.045	121.20	417.97	1793.68	2351.00	tokenització small; no és consens de dos models; pendent d'audició
pa-049	aleshores	clips/pa-049__aleshores__110.29.wav	1	6.080	6.370	116.370	116.660	0.8959	Aleshores	6.225		1304.39	2532.53	3418.09	tokenització small; no és consens de dos models; pendent d'audició
pa-056	aleshores	clips/pa-056__aleshores__393.13.wav	1	0.300	1.210	393.430	394.340	0.5797	aleshores	0.755		804.24	2099.02	3162.82	tokenització small; no és consens de dos models; pendent d'audició
pa-065	aleshores	clips/pa-065__aleshores__170.69.wav	1	0.090	0.940	170.780	171.630	0.4565	aleshores	0.515		905.60	1546.04	2806.85	tokenització small; no és consens de dos models; pendent d'audició
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1	2.230	2.360	1069.920	1070.050	0.8911	evidentment	2.295	91.79	455.66	1982.25	2714.29	tokenització small; no és consens de dos models; pendent d'audició
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	1	0.610	1.580	205.860	206.830	0.9889	evidentment	1.095	80.49	781.83	1072.49	2189.95	tokenització small; no és consens de dos models; pendent d'audició
pa-003	evidentment	clips/pa-003__evidentment__158.81.wav	1	0.850	1.530	159.660	160.340	0.3957	evidentment	1.190	177.78	529.44	2020.95	3169.99	tokenització small; no és consens de dos models; pendent d'audició
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	1	3.920	3.970	526.850	526.900	0.9676	evidentment	3.945	74.80	434.36	2049.83	2923.89	tokenització small; no és consens de dos models; pendent d'audició
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	1	4.080	4.880	782.330	783.130	0.9315	evidentment	4.480	141.83	338.46	1620.34	2204.76	tokenització small; no és consens de dos models; pendent d'audició
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1	1.000	1.740	948.250	948.990	0.9520	evidentment	1.370	150.34	457.97	1691.63	2233.40	tokenització small; no és consens de dos models; pendent d'audició
pa-011	evidentment	clips/pa-011__evidentment__157.65.wav	1	0.000	0.860	157.650	158.510	0.1852	evidentment	0.430		870.30	1532.37	2258.63	tokenització small; no és consens de dos models; pendent d'audició
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	1	3.180	3.330	31.830	31.980	0.8709	evidentment	3.255		1082.29	1610.28	2651.07	tokenització small; no és consens de dos models; pendent d'audició
pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	1	0.220	1.050	457.070	457.900	0.7723	evidentment	0.635		797.79	1956.70	3187.13	tokenització small; no és consens de dos models; pendent d'audició
pa-017	evidentment	clips/pa-017__evidentment__152.25.wav	1	0.000	2.050	152.250	154.300	0.1209	Evidentment	1.025	176.62	409.23	2053.50	2879.50	tokenització small; no és consens de dos models; pendent d'audició
pa-019	evidentment	clips/pa-019__evidentment__93.25.wav	1	2.080	2.940	95.330	96.190	0.7612	evidentment	2.510	81.01	555.88	1922.19	2161.21	tokenització small; no és consens de dos models; pendent d'audició
pa-021	evidentment	clips/pa-021__evidentment__211.41.wav	1	0.510	1.640	211.920	213.050	0.4338	evidentment	1.075		1303.60	2312.36	2671.52	tokenització small; no és consens de dos models; pendent d'audició
pa-022	evidentment	clips/pa-022__evidentment__303.01.wav	1	0.000	1.230	303.010	304.240	0.2581	Evidentment	0.615		451.23	1467.68	2632.83	tokenització small; no és consens de dos models; pendent d'audició
pa-024	evidentment	clips/pa-024__evidentment__518.89.wav	1	3.450	3.750	522.340	522.640	0.6014	evidentment	3.600	84.60	339.08	1432.84	2582.69	tokenització small; no és consens de dos models; pendent d'audició
pa-025	evidentment	clips/pa-025__evidentment__1156.61.wav	1	0.800	1.360	1157.410	1157.970	0.7289	evidentment	1.080	99.38	437.84	2170.37	3156.60	tokenització small; no és consens de dos models; pendent d'audició
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	1	1.220	1.830	175.310	175.920	0.8805	evidentment	1.525	479.42	548.88	1391.91	2484.70	tokenització small; no és consens de dos models; pendent d'audició
pa-030	evidentment	clips/pa-030__evidentment__43.53.wav	1	1.320	2.040	44.850	45.570	0.8964	evidentment	1.680	116.62	616.51	1717.09	1932.86	tokenització small; no és consens de dos models; pendent d'audició
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	1	5.100	5.570	207.950	208.420	0.9393	evidentment	5.335	96.02	372.78	1773.38	2587.48	tokenització small; no és consens de dos models; pendent d'audició
pa-039	evidentment	clips/pa-039__evidentment__184.17.wav	1	0.000	0.910	184.170	185.080	0.2293	Evidentment	0.455		806.93	2324.14	3116.27	tokenització small; no és consens de dos models; pendent d'audició
pa-040	evidentment	clips/pa-040__evidentment__103.93.wav	1	1.880	2.190	105.810	106.120	0.8726	Evidentment	2.035	66.57	607.26	1633.82	2334.69	tokenització small; no és consens de dos models; pendent d'audició
pa-041	evidentment	clips/pa-041__evidentment__353.25.wav	1	4.070	4.500	357.320	357.750	0.5787	evidentment	4.285		821.55	1826.68	3013.44	tokenització small; no és consens de dos models; pendent d'audició
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	1	1.190	1.960	291.320	292.090	0.9812	evidentment	1.575	73.00	539.26	1404.56	2075.75	tokenització small; no és consens de dos models; pendent d'audició
pa-049	evidentment	clips/pa-049__evidentment__117.17.wav	1	7.210	7.990	124.380	125.160	0.7421	evidentment	7.600	173.76	356.36	2089.81	2485.58	tokenització small; no és consens de dos models; pendent d'audició
pa-055	evidentment	clips/pa-055__evidentment__1644.01.wav	1	4.940	5.150	1648.950	1649.160	0.4660	evidentment	5.045		1378.25	2777.08	3622.11	tokenització small; no és consens de dos models; pendent d'audició
pa-056	evidentment	clips/pa-056__evidentment__43.45.wav	1	1.310	1.980	44.760	45.430	0.8623	evidentment	1.645	114.24	280.60	1375.31	2222.02	tokenització small; no és consens de dos models; pendent d'audició
pa-059	evidentment	clips/pa-059__evidentment__152.13.wav	1	0.000	1.420	152.130	153.550	0.0478	Evidentment	0.710		910.76	2081.50	3216.03	tokenització small; no és consens de dos models; pendent d'audició
pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	1	2.040	2.670	674.730	675.360	0.9005	evidentment	2.355	96.80	401.74	1924.77	2365.01	tokenització small; no és consens de dos models; pendent d'audició
pa-066	evidentment	clips/pa-066__evidentment__89.75.wav	1	0.000	1.380	89.750	91.130	0.0340	evidentment	0.690	79.19	575.32	1385.10	2493.70	tokenització small; no és consens de dos models; pendent d'audició
pa-006	diguem	clips/pa-006__diguem__530.25.wav	1	4.720	4.990	534.970	535.240	0.4405	diguem	4.855	99.41	281.16	2330.99	2827.29	tokenització small; no és consens de dos models; pendent d'audició
pa-007	diguem	clips/pa-007__diguem__585.25.wav	1	1.210	1.420	586.460	586.670	0.7294	diguem	1.315	302.11	327.47	1983.25	2640.08	tokenització small; no és consens de dos models; pendent d'audició
pa-018	diguem	clips/pa-018__diguem__715.49.wav	1	2.430	2.720	717.920	718.210	0.4794	diguem	2.575	139.52	376.01	1839.23	2573.60	tokenització small; no és consens de dos models; pendent d'audició
pa-020	diguem	clips/pa-020__diguem__1459.77.wav	1	0.120	0.520	1459.890	1460.290	0.1053	Diguem	0.320	100.73	281.44	1239.91	2972.84	tokenització small; no és consens de dos models; pendent d'audició
pa-025	diguem	clips/pa-025__diguem__500.89.wav	1	3.030	3.470	503.920	504.360	0.6352	diguem	3.250	113.43	343.93	2243.20	2339.35	tokenització small; no és consens de dos models; pendent d'audició
pa-027	diguem	clips/pa-027__diguem__57.77.wav	1	1.070	1.490	58.840	59.260	0.3965	diguem	1.280	143.31	311.09	2443.74	3725.40	tokenització small; no és consens de dos models; pendent d'audició
pa-033	diguem	clips/pa-033__diguem__49.01.wav	1	5.130	5.530	54.140	54.540	0.7151	diguem	5.330		2555.08	3137.06	3452.11	tokenització small; no és consens de dos models; pendent d'audició
pa-034	diguem	clips/pa-034__diguem__504.45.wav	1	2.160	2.360	506.610	506.810	0.7193	diguem	2.260	122.97	247.51	1548.90	2800.31	tokenització small; no és consens de dos models; pendent d'audició
pa-046	diguem	clips/pa-046__diguem__626.01.wav	1	2.250	2.490	628.260	628.500	0.6911	diguem	2.370	121.23	485.41	1411.43	2465.02	tokenització small; no és consens de dos models; pendent d'audició
pa-049	diguem	clips/pa-049__diguem__213.13.wav	1	5.960	6.240	219.090	219.370	0.6594	Diguem	6.100		1032.70	1849.60	3136.34	tokenització small; no és consens de dos models; pendent d'audició
pa-058	diguem	clips/pa-058__diguem__715.21.wav	1	2.720	2.910	717.930	718.120	0.7829	diguem	2.815	137.13	364.46	2166.95	3282.88	tokenització small; no és consens de dos models; pendent d'audició
pa-062	diguem	clips/pa-062__diguem__191.37.wav	1	3.720	4.080	195.090	195.450	0.6091	diguem	3.900	73.82	385.90	1174.85	2585.03	tokenització small; no és consens de dos models; pendent d'audició
pa-001	crec	clips/pa-001__crec__97.33.wav	1	0.070	0.340	97.400	97.670	0.0886	crec	0.205	98.22	476.44	1879.31	2944.89	tokenització small; no és consens de dos models; pendent d'audició
pa-002	crec	clips/pa-002__crec__248.25.wav	1	0.310	0.480	248.560	248.730	0.9653	crec	0.395		738.87	2070.89	3316.52	tokenització small; no és consens de dos models; pendent d'audició
