id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	token_p_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	103.820	103.880	0.2637	1	0.20	0.742	133.99	385.40	2244.61	3299.23	70.10
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	103.820	103.880	0.2637	2	0.35	0.751	127.63	381.11	2215.04	3195.28	71.47
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	103.820	103.880	0.2637	3	0.50	0.760	122.17	364.70	2178.80	3006.68	71.61
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	103.820	103.880	0.2637	4	0.65	0.769	118.33	373.35	2212.30	2871.39	71.06
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	103.820	103.880	0.2637	5	0.80	0.778	114.13	404.75	2163.79	2660.90	70.38
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	106.620	106.840	0.5599	1	0.20	3.574		536.73	2208.41	2589.16	43.61
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	106.620	106.840	0.5599	2	0.35	3.607		736.79	2005.11	2710.58	37.53
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	106.620	106.840	0.5599	3	0.50	3.640		269.92	2168.10	2561.38	58.09
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	106.620	106.840	0.5599	4	0.65	3.673	111.09	324.54	2221.74	3536.61	66.57
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	106.620	106.840	0.5599	5	0.80	3.706	113.43	337.53	2155.42	3169.10	68.98
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	71.880	72.170	0.9970	1	0.20	2.488	93.64	421.67	791.71	2489.14	65.20
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	71.880	72.170	0.9970	2	0.35	2.532	93.49	390.30	928.98	2560.60	63.56
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	71.880	72.170	0.9970	3	0.50	2.575	100.32	401.87	1046.59	2319.63	66.77
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	71.880	72.170	0.9970	4	0.65	2.619	104.48	432.06	1656.15	2416.82	73.30
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	71.880	72.170	0.9970	5	0.80	2.662	108.88	447.15	1908.91	2499.44	72.96
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	27.550	27.820	0.9416	1	0.20	0.834	236.42	344.28	752.07	2365.90	70.74
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	27.550	27.820	0.9416	2	0.35	0.875	250.75	337.37	1791.70	2798.13	71.14
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	27.550	27.820	0.9416	3	0.50	0.915	265.59	302.01	1238.06	2609.09	72.77
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	27.550	27.820	0.9416	4	0.65	0.956	299.83	443.38	1321.41	2597.67	69.40
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	27.550	27.820	0.9416	5	0.80	0.996	286.47	313.68	1606.83	2715.96	63.37
