id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	centre_rel_s	token_p_min	f0_hz	f1_hz	f2_hz	f3_hz
pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	92.730	92.950	1.990	0.9961		483.49	1415.55	3073.47
pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	4.630	5.160	0.525	0.9955		702.92	1761.24	3040.79
pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	57.560	57.700	1.380	0.9910	157.65	733.61	2563.40	3719.76
pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	107.250	107.490	5.120	0.9936	173.25	700.69	1837.18	2600.09
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	113.460	113.580	2.550	0.9820	139.53	651.98	1617.43	3157.88
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	372.280	372.860	0.720	0.9211	280.69	543.62	1826.91	2776.09
pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav	208.690	208.940	0.245	0.9472	109.38	479.98	1603.08	2520.11
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	348.240	348.680	1.410	0.9894	180.19	482.85	1031.42	2016.41
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	432.330	432.830	3.730	0.9623		1329.37	2237.97	3239.42
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	1038.140	1038.480	0.420	0.9691	153.89	444.23	1257.79	2446.93
pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav	761.610	761.820	2.905	0.9937		1021.28	2226.64	3434.73
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	1338.470	1338.630	2.780	0.9717		480.29	1719.65	2640.17
pa-066	crec	219.63-227.13	clips/pa-066__crec__219.63.wav	224.400	224.750	4.945	0.7664		495.66	1883.60	3112.25
pa-021	bueno	12.25-16.87	clips/pa-021__bueno__12.25.wav	13.810	14.070	1.690	0.5654	135.21	388.06	2071.04	2761.25
pa-030	bueno	459.05-463.07	clips/pa-030__bueno__459.05.wav	459.490	459.930	0.660	0.6169		807.26	1433.88	2639.60
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	44.800	45.170	0.255	0.2786		826.35	1587.18	2775.46
pa-038	bueno	874.61-878.11	clips/pa-038__bueno__874.61.wav	875.700	875.940	1.210	0.2818	114.40	608.40	1584.03	2677.32
pa-043	bueno	0.00-3.75	clips/pa-043__bueno__0.00.wav	0.110	0.260	0.185	0.5319		902.28	1618.11	3114.77
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	52.480	52.600	0.850	0.9223	173.35	366.11	2284.68	3414.67
pa-062	bueno	297.17-302.03	clips/pa-062__bueno__297.17.wav	298.610	298.920	1.595	0.2924		783.15	1339.87	2739.99
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	359.230	359.250	2.010	0.6883	138.63	557.28	826.99	2824.68
pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	345.260	345.340	1.050	0.9570	156.09	402.06	1720.43	2464.89
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	101.920	102.230	2.825	0.3494	216.83	662.58	1432.32	3182.76
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	338.150	338.300	3.375	0.8078		1743.47	3386.13	3488.35
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	178.240	178.690	2.775	0.7159		635.09	1456.82	2829.86
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	37.150	37.740	2.995	0.9178	184.16	483.82	1429.77	3116.28
pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	92.720	92.720	2.910	0.9305	133.87	341.79	1969.22	2809.60
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	109.160	109.310	1.505	0.9678		673.76	1296.41	2579.60
pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	650.440	650.800	2.530	0.8460	77.36	311.93	1873.47	2756.93
pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav	117.000	117.290	1.055	0.1227	120.64	629.15	2476.33	3527.53
pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	292.600	292.900	2.420	0.6228		947.42	1757.47	2856.50
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	141.380	141.690	5.085	0.7727		794.80	1924.67	3115.98
pa-038	clar	96.41-101.31	clips/pa-038__clar__96.41.wav	99.780	100.170	3.565	0.6426	206.33	400.32	2391.97	2717.10
pa-041	clar	0.00-10.75	clips/pa-041__clar__0.00.wav	3.530	3.900	3.715	0.4437	149.43	337.21	2417.91	2782.02
pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	61.960	62.240	2.130	0.7891	176.67	332.79	1969.27	2796.43
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	63.710	64.010	1.410	0.8423	142.87	679.88	1188.01	2163.06
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	38.190	38.340	1.655	0.9126	186.88	850.76	1640.31	3046.10
pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	392.840	393.110	0.485	0.7015	139.85	661.28	2043.41	3037.42
pa-064	clar	109.97-115.87	clips/pa-064__clar__109.97.wav	110.080	110.440	0.290	0.3808	185.57	524.94	2097.41	2416.88
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	222.120	222.460	1.000	0.9806	126.64	284.02	2196.30	2825.67
pa-004	vull dir	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	144.230	144.630	0.980	0.3082	143.45	417.73	2195.01	2897.01
pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav	24.450	24.840	4.995	0.1247	127.72	475.11	1265.66	2286.87
pa-017	vull dir	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	272.250	273.000	0.375	0.1151	149.50	331.18	1820.17	2635.01
pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	317.800	318.890	4.055	0.8193		357.36	1253.44	2547.91
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	843.440	844.490	1.275	0.5334		851.81	2221.90	3115.51
pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	414.010	414.680	0.335	0.0805		907.61	1933.33	3211.25
pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	1580.260	1581.010	4.065	0.6515		863.48	1894.22	2868.83
pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	264.540	265.380	0.710	0.2244	205.19	448.91	1802.64	2686.73
pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	995.120	996.430	2.085	0.3907	285.16	593.29	1138.68	3326.45
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	843.400	844.450	1.275	0.6352		794.29	1998.16	2520.05
pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	977.550	977.930	2.610	0.8891	138.17	558.76	1487.49	2476.13
pa-059	vull dir	271.81-279.35	clips/pa-059__vull-dir__271.81.wav	271.810	272.720	0.455	0.0431		776.35	2077.81	3061.87
