id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	9.900	0.7024	-60.20	-26.21	-18.63	0.0266	0.1956	156.34	62.89	973.52	2339.11	15	0.090	172
pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav	10.500	0.5210	-63.95	-32.78	-19.51	0.0172	0.2014	130.23	27.10	1242.87	2373.57	14	0.080	135
pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	4.500	0.9554	-33.34	-20.95	-11.67	0.0266	0.1609	224.68	96.84	1195.40	2781.16	5	0.050	107
pa-015	perquè	86.25-92.75	clips/pa-015__perqu__86.25.wav	6.500	0.7438	-40.07	-25.28	-12.03	0.0313	0.1383	250.34	126.57	1221.75	2180.66	6	0.140	121
pa-016	a nivell	333.81-340.39	clips/pa-016__a-nivell__333.81.wav	6.580	0.5518	-55.60	-33.62	-22.34	0.0407	0.3947	296.65	48.58	1403.29	3644.30	16	0.060	90
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	4.660	0.5862	-55.92	-30.08	-18.87	0.0391	0.1768	311.94	56.04	1085.13	2278.71	8	0.080	69
pa-016	doncs	62.33-69.43	clips/pa-016__doncs__62.33.wav	7.100	0.5085	-56.51	-34.52	-21.88	0.0423	0.2432	296.27	55.28	1337.57	2806.72	18	0.080	90
pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	6.180	0.5974	-55.95	-31.89	-23.02	0.0433	0.4009	281.75	145.79	1120.93	3383.02	16	0.060	95
pa-016	perquè	79.77-85.39	clips/pa-016__perqu__79.77.wav	5.620	0.6214	-53.81	-31.31	-24.04	0.0360	0.4003	286.10	70.78	1110.19	3415.93	17	0.070	86
pa-017	a nivell	143.25-149.75	clips/pa-017__a-nivell__143.25.wav	6.500	0.5340	-59.38	-33.20	-19.78	0.0407	0.3825	264.24	119.16	1212.92	3643.18	17	0.100	85
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	7.900	0.5584	-55.59	-31.83	-22.64	0.0360	0.3089	211.76	124.90	1043.58	2997.75	22	0.080	108
pa-017	doncs	459.25-464.75	clips/pa-017__doncs__459.25.wav	5.500	0.5255	-56.08	-33.68	-21.60	0.0302	0.2404	203.86	58.91	1071.02	2577.69	20	0.100	73
pa-017	perquè	4.25-12.15	clips/pa-017__perqu__4.25.wav	7.900	0.4822	-70.40	-35.61	-25.02	0.0203	0.2103	187.06	130.52	1116.11	2773.26	21	0.100	97
pa-017	vull dir	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	7.500	0.6123	-56.74	-29.44	-20.64	0.0376	0.2264	233.65	121.52	1010.97	2336.50	15	0.120	113
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	7.500	0.5722	-55.13	-32.98	-22.12	0.0297	0.2108	219.66	147.61	1004.45	2270.20	25	0.080	108
pa-018	a nivell	188.45-191.87	clips/pa-018__a-nivell__188.45.wav	3.420	0.7000	-53.96	-26.50	-20.09	0.0360	0.2191	265.01	34.49	813.54	2424.47	7	0.070	60
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	5.340	0.6316	-65.37	-28.33	-21.47	0.0329	0.1941	268.93	43.02	930.74	2837.32	15	0.070	85
pa-018	diguem	715.49-721.19	clips/pa-018__diguem__715.49.wav	5.700	0.6197	-55.06	-31.04	-20.02	0.0360	0.2019	263.25	119.33	896.89	2422.40	16	0.080	90
pa-018	perquè	91.09-96.47	clips/pa-018__perqu__91.09.wav	5.380	0.6045	-60.65	-30.37	-20.48	0.0329	0.2055	264.23	49.87	871.37	2482.59	13	0.070	83
pa-019	a nivell	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	5.500	0.6168	-49.85	-30.18	-22.11	0.0349	0.3227	175.07	176.29	976.33	3131.48	11	0.060	85
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	6.500	0.6821	-47.69	-30.49	-23.19	0.0423	0.2197	161.31	165.43	982.33	2411.14	15	0.060	110
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	4.500	0.6339	-50.51	-32.48	-23.99	0.0396	0.1732	166.76	91.70	1071.30	2124.15	14	0.080	73
