id_persona	font	canal	url	llicencia	consulta	derivat	asr	estat
pa-027	#ConsellConstituent - Enric Casadevall Medrano	Consell General	https://www.youtube.com/watch?v=Xk0-BQ2W-ww	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-027/audio.wav`; SHA-256 `8247c6a3d96097db80e794a16215f7363723ed9f3dbdd06824a121194a82dee5`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-028	#ConsellConstituent - Robert Cassany Vila	Consell General	https://www.youtube.com/watch?v=GTgD4mGT8xo	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-028/audio.wav`; SHA-256 `110ea47cfe5913b5367bb9eb5bcfeedefce3d3aef64704717834513c7a5e5744`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-029	#ConsellConstituent - Gabriel Dallerès Codina	Consell General	https://www.youtube.com/watch?v=mZtfU5LUTzg	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-029/audio.wav`; SHA-256 `be2fce44605e7330647ab9ae2b87874ae0635d7eb41e756a0cd3c7c6f6d4bca4`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-030	#ConsellConstituent - Enric Dolsa Font	Consell General	https://www.youtube.com/watch?v=OrPvKUYQUXY	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-030/audio.wav`; SHA-256 `91f0c41c12582b5c91936e2bf58abac2be62be46b93bbe65f8e042a9cc1d314b`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-031	#ConsellConstituent - Josep Garrallà Rossell	Consell General	https://www.youtube.com/watch?v=9vREIafSlMU	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-031/audio.wav`; SHA-256 `73c37140cd5c74421ca3843e893d2069fd63225e19332089b70fd2b807a9e227`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-032	#ConsellConstituent - Andreu Gaspà Picart	Consell General	https://www.youtube.com/watch?v=MRoHWrKS_8M	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-032/audio.wav`; SHA-256 `ce135dc07414f911bb2d912843adcafebd32edcc34b0c237d010b1545b823849`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-033	#ConsellConstituent - Antoni Jordi Areny	Consell General	https://www.youtube.com/watch?v=rLVdoY2tDuU	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-033/audio.wav`; SHA-256 `ea6c1f3c62719ee658f25d7ced9aa853c4879d728e3ebd4a945c7a7fd5651595`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-034	#ConsellConstituent - Rosa Maria Mandicó Alcobé	Consell General	https://www.youtube.com/watch?v=vOucfx_sd4M	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-034/audio.wav`; SHA-256 `331b58f0c633612090846a8b158ccc2bf3a500855dee4ced8cc9a5d1e2fb4041`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-035	#ConsellConstituent - Josep Marsal Riba	Consell General	https://www.youtube.com/watch?v=JGV9XtZYPcw	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-035/audio.wav`; SHA-256 `dfec229942194e7d6cde2655c6034ced9947f1b08766b854481c6968c91049cb`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-036	#ConsellConstituent - Jordi Mas Torres	Consell General	https://www.youtube.com/watch?v=s_36ug5eNZo	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-036/audio.wav`; SHA-256 `2d26db5d0aced2972fde4acdfa21c6af8b12f32a16ada89c17fd54f8fa35142e`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-037	#ConsellConstituent - Miquel Naudi Casal	Consell General	https://www.youtube.com/watch?v=muwgxm-fqPo	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-037/audio.wav`; SHA-256 `5a258f9956a4e4f6ae1829fe427b488d35a7462bec8d8ac460cf7c1ca8b17ea3`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-038	#ConsellConstituent - Maria Reig Moles	Consell General	https://www.youtube.com/watch?v=XW1B7wFV3E0	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-038/audio.wav`; SHA-256 `0ff6f0603113902952674f0d6991dbd9b0f1c08388cbb93a48584e761e25bb28`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-039	#ConsellConstituent - Joan Santamaria Terré	Consell General	https://www.youtube.com/watch?v=52o5NYxlbWY	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-039/audio.wav`; SHA-256 `b384a23270ca0093a26da3a6799dfa681b482b1af9ce198fd9b1e711266afe66`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-040	#ConsellConstituent - Jordi Torres Alís	Consell General	https://www.youtube.com/watch?v=4jPROROmH5k	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-040/audio.wav`; SHA-256 `7e3dfa3d47c090d1baddb97b7d00546268b27443e9d0bc0d69a65a90ee407268`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-041	Els primers 30: entrevista Mercè Segura	RTVA Andorra	https://www.youtube.com/watch?v=hGVDNoc9D0I	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-041/audio.wav`; SHA-256 `82297ccad5e10d12e0dcdb4892e71605eae48b317588977b0f70c0b58390b9a5`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-042	Els primers 30: entrevista Cielo, cuinera de l'Escola Andorrana	RTVA Andorra	https://www.youtube.com/watch?v=0kBz9DT59lU	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-042/audio.wav`; SHA-256 `3f2c40aad37c971a264470b4e96ab6e0a19c94bfd0ac075ecec97a9185070b9b`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-043	Els primers 30: Entrevista Irene Clua	RTVA Andorra	https://www.youtube.com/watch?v=d8BRIvEwyD8	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-043/audio.wav`; SHA-256 `d26976501f93bd4a65d43be34f20fd6b0736277e08af1bbb9e841d1bf5bb5c5f`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-044	IDENTITATS: CASIMIR ARAJOL	RTVA Andorra	https://www.youtube.com/watch?v=H8TM9cpxjNI	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-044/audio.wav`; SHA-256 `abdd5ee0cd53845c5640a3b2645ce32c83a9acc7d8a6549a70581a60fc0264ec`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-045	IDENTITATS: EUDALD GUILLAMET	RTVA Andorra	https://www.youtube.com/watch?v=kO-xG3sget4	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-045/audio.wav`; SHA-256 `00c4a3484dc401d16f0adc4c149829d755e0ea9d4b5add0feb3b23bfd4a2ed0b`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-046	IDENTITATS: JOSEP ARENY	RTVA Andorra	https://www.youtube.com/watch?v=QaksoPLFLuc	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-046/audio.wav`; SHA-256 `caf16f799bbcbf6c2152b9ff9107c27c4b1731318c8c35c5be4a28262cbc99a3`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-047	IDENTITATS: GUALBERT OSORIO	RTVA Andorra	https://www.youtube.com/watch?v=v-JusrQAhzA	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-047/audio.wav`; SHA-256 `7bb0b0003be1003fc9e1b17476ce429ceb205c6d5a7038cbfca107dd5c635315`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils. La transcripció canònica actual es resegmenta amb `ggml-base.bin` en finestres de 60 segons.	complet
pa-048	IDENTITATS: ANTONI MORELL	RTVA Andorra	https://www.youtube.com/watch?v=w561_gp7M-U	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-048/audio.wav`; SHA-256 `70b909fba4d06b22cae4e234faebee7a63d33ab2e3a7e4e47c3ba2c6d3298aef`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-049	IDENTITATS: ANGELINA MAS	RTVA Andorra	https://www.youtube.com/watch?v=b429vuTkpXU	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-049/audio.wav`; SHA-256 `0688be02ea39d87f5504aa30940034eab347b4372e122e4833985e8a55578a9b`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-050	IDENTITATS: ÀNGELS MACH	RTVA Andorra	https://www.youtube.com/watch?v=XOzHke6mBII	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-050/audio.wav`; SHA-256 `9150badc29d7e245ab9f0e28a5e23fecd6c2b4cc0dd859b79534e9bb87474384`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-051	Josep Casal — Vides de muntanya. Ramaderia d'alçada	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0033.mp4.info	© - Només per ús educatiu.	2026-09-23.	`../audios/pa-051/audio.wav`; SHA-256 `c58967b34a85f13c7632464d4db22bec59ae7235b34df6ef6b62f3831309168b`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
