id_persona	forma	interval_escolta	clip	f0_clip_hz	f0_persona_hz	delta_f0_hz	delta_f0_z_persona	veu_clip	veu_persona	delta_veu	centroid_clip_hz	centroid_persona_hz	delta_centroid_hz	pausa_clip_s	pausa_persona_s	delta_pausa_s
pa-057	tirar endavant	56.61-63.15	clips/pa-057__tirar-endavant__56.61.wav	216.90	204.87	12.03	0.062	0.6810	0.5533	0.1277	1054.35	1109.29	-54.94	0.060	0.08	-0.020
pa-058	a nivell	188.37-191.87	clips/pa-058__a-nivell__188.37.wav	265.22	264.92	0.30	0.005	0.6954	0.5861	0.1093	812.34	924.56	-112.22	0.060	0.10	-0.040
pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	278.45	264.92	13.53	0.210	0.6359	0.5861	0.0498	931.43	924.56	6.87	0.050	0.10	-0.050
pa-058	perquè	91.09-96.47	clips/pa-058__perqu__91.09.wav	263.29	264.92	-1.63	-0.025	0.5970	0.5861	0.0109	870.10	924.56	-54.46	0.080	0.10	-0.020
pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	261.73	264.92	-3.19	-0.050	0.6318	0.5861	0.0457	880.64	924.56	-43.92	0.080	0.10	-0.020
pa-059	a nivell	142.93-150.35	clips/pa-059__a-nivell__142.93.wav	254.32	213.73	40.59	0.332	0.5378	0.5560	-0.0182	1184.74	1051.40	133.34	0.080	0.08	0.000
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	221.17	213.73	7.44	0.061	0.5714	0.5560	0.0154	983.85	1051.40	-67.55	0.080	0.08	0.000
pa-059	perquè	4.09-12.43	clips/pa-059__perqu__4.09.wav	179.83	213.73	-33.90	-0.277	0.4543	0.5560	-0.1017	1212.56	1051.40	161.16	0.100	0.08	0.020
pa-059	tirar endavant	49.77-54.87	clips/pa-059__tirar-endavant__49.77.wav	226.38	213.73	12.65	0.103	0.5630	0.5560	0.0070	947.27	1051.40	-104.13	0.100	0.08	0.020
pa-059	vull dir	271.81-279.35	clips/pa-059__vull-dir__271.81.wav	238.40	213.73	24.67	0.202	0.5691	0.5560	0.0131	1028.50	1051.40	-22.90	0.120	0.08	0.040
pa-059	és a dir	487.81-491.67	clips/pa-059__s-a-dir__487.81.wav	204.12	213.73	-9.61	-0.079	0.5417	0.5560	-0.0143	1060.02	1051.40	8.62	0.080	0.08	0.000
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	149.14	137.26	11.88	0.220	0.6632	0.6257	0.0375	1033.60	978.20	55.40	0.050	0.08	-0.030
pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	299.53	245.41	54.12	0.483	0.8851	0.7310	0.1541	1409.18	1475.48	-66.30	0.080	0.06	0.020
pa-061	a veure	579.17-583.39	clips/pa-061__a-veure__579.17.wav	180.74	245.41	-64.67	-0.577	0.8333	0.7310	0.1023	1438.78	1475.48	-36.70	0.060	0.06	0.000
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	248.98	245.41	3.57	0.032	0.6095	0.7310	-0.1215	1470.60	1475.48	-4.88	0.060	0.06	0.000
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	245.91	245.41	0.50	0.004	0.8008	0.7310	0.0698	1481.77	1475.48	6.29	0.080	0.06	0.020
pa-062	bueno	297.17-302.03	clips/pa-062__bueno__297.17.wav	295.70	229.44	66.26	0.458	0.6653	0.5339	0.1314	896.76	1056.22	-159.46	0.080	0.08	0.000
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	171.10	229.44	-58.34	-0.403	0.5000	0.5339	-0.0339	1036.54	1056.22	-19.68	0.080	0.08	0.000
pa-062	diguem	191.37-197.03	clips/pa-062__diguem__191.37.wav	166.40	229.44	-63.04	-0.435	0.6489	0.5339	0.1150	931.58	1056.22	-124.64	0.160	0.08	0.080
pa-062	perquè	73.97-78.19	clips/pa-062__perqu__73.97.wav	147.23	229.44	-82.21	-0.568	0.6381	0.5339	0.1042	1128.98	1056.22	72.76	0.060	0.08	-0.020
pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	235.54	229.44	6.10	0.042	0.5753	0.5339	0.0414	820.31	1056.22	-235.91	0.080	0.08	0.000
pa-063	a nivell	1143.61-1148.07	clips/pa-063__a-nivell__1143.61.wav	183.16	214.77	-31.61	-0.501	0.6261	0.5948	0.0313	1046.43	1130.19	-83.76	0.100	0.08	0.020
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	173.32	214.77	-41.45	-0.657	0.6697	0.5948	0.0749	1017.45	1130.19	-112.74	0.090	0.08	0.010
pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	194.49	214.77	-20.28	-0.321	0.6217	0.5948	0.0269	1110.81	1130.19	-19.38	0.060	0.08	-0.020
pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav	193.83	214.77	-20.94	-0.332	0.4818	0.5948	-0.1130	1030.96	1130.19	-99.23	0.080	0.08	0.000
pa-063	llavors	39.49-44.79	clips/pa-063__llavors__39.49.wav	175.60	214.77	-39.17	-0.621	0.3561	0.5948	-0.2387	974.70	1130.19	-155.49	0.080	0.08	0.000
pa-063	o sigui	826.09-830.95	clips/pa-063__o-sigui__826.09.wav	199.94	214.77	-14.83	-0.235	0.5207	0.5948	-0.0741	1046.87	1130.19	-83.32	0.090	0.08	0.010
pa-064	a veure	587.61-591.67	clips/pa-064__a-veure__587.61.wav	223.51	207.03	16.48	0.111	0.4406	0.5412	-0.1006	1469.24	1130.89	338.35	0.110	0.08	0.030
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	251.21	207.03	44.18	0.298	0.6688	0.5412	0.1276	986.61	1130.89	-144.28	0.080	0.08	0.000
pa-064	clar	109.97-115.87	clips/pa-064__clar__109.97.wav	266.51	207.03	59.48	0.401	0.4966	0.5412	-0.0446	1168.38	1130.89	37.49	0.120	0.08	0.040
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	286.12	207.03	79.09	0.533	0.3792	0.5412	-0.1620	1490.56	1130.89	359.67	0.160	0.08	0.080
pa-064	perquè	27.57-33.27	clips/pa-064__perqu__27.57.wav	215.05	207.03	8.02	0.054	0.5176	0.5412	-0.0236	1299.41	1130.89	168.52	0.120	0.08	0.040
pa-065	a nivell	529.09-536.75	clips/pa-065__a-nivell__529.09.wav	145.24	186.90	-41.66	-0.353	0.3691	0.4966	-0.1275	893.80	1081.04	-187.24	0.100	0.10	0.000
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	262.04	186.90	75.14	0.636	0.3849	0.4966	-0.1117	1159.60	1081.04	78.56	0.120	0.10	0.020
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	237.63	186.90	50.73	0.430	0.4339	0.4966	-0.0627	993.92	1081.04	-87.12	0.100	0.10	0.000
pa-065	doncs	157.49-162.27	clips/pa-065__doncs__157.49.wav	264.81	186.90	77.91	0.660	0.4202	0.4966	-0.0764	1175.73	1081.04	94.69	0.080	0.10	-0.020
pa-065	o sigui	191.65-195.15	clips/pa-065__o-sigui__191.65.wav	188.87	186.90	1.97	0.017	0.4080	0.4966	-0.0886	1450.09	1081.04	369.05	0.080	0.10	-0.020
pa-065	perquè	129.17-134.51	clips/pa-065__perqu__129.17.wav	190.73	186.90	3.83	0.032	0.5113	0.4966	0.0147	1160.12	1081.04	79.08	0.140	0.10	0.040
pa-066	a nivell	25.21-29.71	clips/pa-066__a-nivell__25.21.wav	278.12	255.47	22.65	0.218	0.7321	0.6222	0.1099	1050.83	1137.87	-87.04	0.040	0.06	-0.020
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	245.16	255.47	-10.31	-0.099	0.5865	0.6222	-0.0357	1117.50	1137.87	-20.37	0.080	0.06	0.020
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	291.78	255.47	36.31	0.349	0.7266	0.6222	0.1044	1218.29	1137.87	80.42	0.040	0.06	-0.020
pa-066	crec	219.63-227.13	clips/pa-066__crec__219.63.wav	249.22	255.47	-6.25	-0.060	0.7781	0.6222	0.1559	1119.49	1137.87	-18.38	0.080	0.06	0.020
pa-066	perquè	21.81-26.71	clips/pa-066__perqu__21.81.wav	278.78	255.47	23.31	0.224	0.7459	0.6222	0.1237	1021.16	1137.87	-116.71	0.050	0.06	-0.010
