id_persona	forma	clip	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	prob_mean	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-010	és a dir	clips/pa-010__s-a-dir__243.25.wav	0.000	0.380	243.250	243.630	0.3904	0.7847	0.190	107.84	565.23	1497.58	2238.23	token QA; no és consens de dos models; pendent d'audició
pa-011	a veure	clips/pa-011__a-veure__551.81.wav	3.040	3.450	554.850	555.260	0.1111	0.5389	3.245	184.31	742.85	1649.99	2436.40	token QA; no és consens de dos models; pendent d'audició
pa-011	bé	clips/pa-011__b__185.57.wav	2.920	2.940	188.490	188.510	0.9983	0.9983	2.930		798.21	1751.95	3114.63	token QA; no és consens de dos models; pendent d'audició
pa-011	de fet	clips/pa-011__de-fet__557.25.wav	0.000	0.690	557.250	557.940	0.5130	0.7524	0.345		1698.55	2004.88	3277.22	token QA; no és consens de dos models; pendent d'audició
pa-011	doncs	clips/pa-011__doncs__61.49.wav	1.480	1.940	62.970	63.430	0.4045	0.7019	1.710		693.14	2038.66	2905.90	token QA; no és consens de dos models; pendent d'audició
pa-011	perquè	clips/pa-011__perqu__27.61.wav	1.240	1.490	28.850	29.100	0.6057	0.6057	1.365		520.55	1797.91	2829.21	token QA; no és consens de dos models; pendent d'audició
pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	0.000	0.850	48.090	48.940	0.0626	0.6780	0.425		1165.31	2500.44	3719.53	token QA; no és consens de dos models; pendent d'audició
pa-012	perquè	clips/pa-012__perqu__369.25.wav	0.000	0.110	369.250	369.360	0.6158	0.6158	0.055		433.36	1700.56	2252.79	token QA; no és consens de dos models; pendent d'audició
pa-013	perquè	clips/pa-013__perqu__433.89.wav	2.270	2.640	436.160	436.530	0.9497	0.9497	2.455	193.22	633.14	1877.14	2552.27	token QA; no és consens de dos models; pendent d'audició
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	1.200	1.540	580.370	580.710	0.6284	0.8650	1.370	181.82	771.33	1797.60	2756.48	token QA; no és consens de dos models; pendent d'audició
pa-014	aviam	clips/pa-014__aviam__875.45.wav	2.000	2.000	877.450	877.450	0.1944	0.5657	2.000		658.24	1627.67	2437.73	token QA; no és consens de dos models; pendent d'audició
pa-014	crec	clips/pa-014__crec__153.25.wav	0.310	0.720	153.560	153.970	0.9940	0.9940	0.515		1334.01	2031.63	3393.21	token QA; no és consens de dos models; pendent d'audició
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	3.180	3.330	31.830	31.980	0.8709	0.9327	3.255		1082.29	1610.28	2651.07	token QA; no és consens de dos models; pendent d'audició
