id_persona	nom_public	titol_font	serie	url	video_id	estat	durada	notes
pa-016	Olga Adellach Coma	Testimoni del Consell Constituent — Olga Adellach Coma	cg-constituent-adellach	https://youtu.be/Zkb4kXbYIJc	Zkb4kXbYIJc	metadata-ok	792	font localitzada; àudio i biografia lingüística pendents
pa-017	Nadia Aleix Tugas	Testimoni del Consell Constituent — Nadia Aleix Tugas	cg-constituent-aleix	https://youtu.be/_GRn2R7IOTs	_GRn2R7IOTs	metadata-ok	902	font localitzada; àudio i biografia lingüística pendents
pa-018	Miquel Aleix Areny	Testimoni del Consell Constituent — Miquel Aleix Areny	cg-constituent-aleixareny	https://youtu.be/cWNPFoyNRxs	cWNPFoyNRxs	metadata-ok	2773	font localitzada; àudio i biografia lingüística pendents
pa-019	Pere Altimir Pintat	Testimoni del Consell Constituent — Pere Altimir Pintat	cg-constituent-altimir	https://youtu.be/aBwACxaRdtQ	aBwACxaRdtQ	metadata-ok	880	font localitzada; àudio i biografia lingüística pendents
pa-020	Guillem Areny Argelich	Testimoni del Consell Constituent — Guillem Areny Argelich	cg-constituent-areny	https://youtu.be/zvzusC5RFWc	zvzusC5RFWc	metadata-ok	1487	font localitzada; àudio i biografia lingüística pendents
pa-021	Josep Areny Fité	Testimoni del Consell Constituent — Josep Areny Fité	cg-constituent-arenyfite	https://youtu.be/UvDO-W5T0RI	UvDO-W5T0RI	metadata-ok	952	font localitzada; àudio i biografia lingüística pendents
pa-022	Miquel Armengol Pons	Testimoni del Consell Constituent — Miquel Armengol Pons	cg-constituent-armengol	https://youtu.be/YHNIO9Hmn7g	YHNIO9Hmn7g	metadata-ok	744	font localitzada; àudio i biografia lingüística pendents
pa-023	Antoni Armengol Vila	Testimoni del Consell Constituent — Antoni Armengol Vila	cg-constituent-armengolvila	https://youtu.be/JbOnYORyYLo	JbOnYORyYLo	metadata-ok	596	font localitzada; àudio i biografia lingüística pendents
pa-024	Ladislau Baró Solà	Testimoni del Consell Constituent — Ladislau Baró Solà	cg-constituent-baro	https://youtu.be/qjxFKk8z_9w	qjxFKk8z_9w	metadata-ok	2492	font localitzada; àudio i biografia lingüística pendents
pa-025	Jaume Bartumeu Cassany	Testimoni del Consell Constituent — Jaume Bartumeu Cassany	cg-constituent-bartumeu	https://youtu.be/r4_Fb6P2J_4	r4_Fb6P2J_4	metadata-ok	2113	font localitzada; àudio i biografia lingüística pendents
pa-026	Ramon Canut Bové	Testimoni del Consell Constituent — Ramon Canut Bové	cg-constituent-canut	https://youtu.be/kLeQ6UJthLI	kLeQ6UJthLI	metadata-ok	2149	font localitzada; àudio i biografia lingüística pendents
pa-027	Enric Casadevall Medrano	Testimoni del Consell Constituent — Enric Casadevall Medrano	cg-constituent-casadevall	https://youtu.be/Xk0-BQ2W-ww	Xk0-BQ2W-ww	metadata-ok	956	font localitzada; àudio i biografia lingüística pendents
pa-028	Robert Cassany Vila	Testimoni del Consell Constituent — Robert Cassany Vila	cg-constituent-cassanyvila	https://youtu.be/GTgD4mGT8xo	GTgD4mGT8xo	metadata-ok	401	font localitzada; àudio i biografia lingüística pendents
pa-029	Gabriel Dallerès Codina	Testimoni del Consell Constituent — Gabriel Dallerès Codina	cg-constituent-dalleres	https://youtu.be/mZtfU5LUTzg	mZtfU5LUTzg	metadata-ok	1213	font localitzada; àudio i biografia lingüística pendents
pa-030	Enric Dolsa Font	Testimoni del Consell Constituent — Enric Dolsa Font	cg-constituent-dolsa	https://youtu.be/OrPvKUYQUXY	OrPvKUYQUXY	metadata-ok	1144	font localitzada; àudio i biografia lingüística pendents
pa-031	Josep Garrallà Rossell	Testimoni del Consell Constituent — Josep Garrallà Rossell	cg-constituent-garralla	https://youtu.be/9vREIafSlMU	9vREIafSlMU	metadata-ok	612	font localitzada; àudio i biografia lingüística pendents
pa-032	Andreu Gaspà Picart	Testimoni del Consell Constituent — Andreu Gaspà Picart	cg-constituent-gaspa	https://youtu.be/MRoHWrKS_8M	MRoHWrKS_8M	metadata-ok	454	font localitzada; àudio i biografia lingüística pendents
pa-033	Antoni Jordi Areny	Testimoni del Consell Constituent — Antoni Jordi Areny	cg-constituent-jordiareny	https://youtu.be/rLVdoY2tDuU	rLVdoY2tDuU	metadata-ok	257	font localitzada; àudio i biografia lingüística pendents
pa-034	Rosa Maria Mandicó Alcobé	Testimoni del Consell Constituent — Rosa Maria Mandicó Alcobé	cg-constituent-mandico	https://youtu.be/vOucfx_sd4M	vOucfx_sd4M	metadata-ok	1268	font localitzada; àudio i biografia lingüística pendents
