prioritat_global	score_evidencia	categoria	forma	id_persona	interval_escolta	clip	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	estat_audicio
9	9	A-triple-consens	vull dir	pa-016	322.53-327.83	clips/pa-016__vull-dir__322.53.wav	sí	sí	sí	0.175	0.086	pendent
9	9	A-triple-consens	a nivell	pa-017	143.25-149.75	clips/pa-017__a-nivell__143.25.wav	sí	sí	sí	0.169	0.147	pendent
9	9	A-triple-consens	clar	pa-017	34.45-42.35	clips/pa-017__clar__34.45.wav	sí	sí	sí	0.177	0.074	pendent
9	9	A-triple-consens	doncs	pa-017	459.25-464.75	clips/pa-017__doncs__459.25.wav	sí	sí	sí	0.241	0.118	pendent
9	9	A-triple-consens	llavors	pa-017	361.25-368.75	clips/pa-017__llavors__361.25.wav	sí	sí	sí	0.315	0.124	pendent
9	9	A-triple-consens	perquè	pa-017	4.25-12.15	clips/pa-017__perqu__4.25.wav	sí	sí	sí	0.033	0.102	pendent
9	9	A-triple-consens	tirar endavant	pa-017	49.85-56.15	clips/pa-017__tirar-endavant__49.85.wav	sí	sí	sí	0.254	0.180	pendent
9	9	A-triple-consens	vull dir	pa-017	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	sí	sí	sí	0.322	0.083	pendent
9	9	A-triple-consens	és a dir	pa-017	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	sí	sí	sí	0.227	0.127	pendent
9	9	A-triple-consens	a nivell	pa-018	188.45-191.87	clips/pa-018__a-nivell__188.45.wav	sí	sí	sí	0.044	0.121	pendent
9	9	A-triple-consens	crec	pa-018	7.49-12.83	clips/pa-018__crec__7.49.wav	sí	sí	sí	0.056	0.062	pendent
9	9	A-triple-consens	diguem	pa-018	715.49-721.19	clips/pa-018__diguem__715.49.wav	sí	sí	sí	0.344	0.035	pendent
9	9	A-triple-consens	perquè	pa-018	91.09-96.47	clips/pa-018__perqu__91.09.wav	sí	sí	sí	0.038	0.136	pendent
9	9	A-triple-consens	a nivell	pa-019	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	sí	sí	sí	0.211	0.090	pendent
9	9	A-triple-consens	bueno	pa-019	328.25-333.75	clips/pa-019__bueno__328.25.wav	sí	sí	sí	0.222	0.052	pendent
9	9	A-triple-consens	bé	pa-019	195.25-201.75	clips/pa-019__b__195.25.wav	sí	sí	sí	0.332	0.108	pendent
9	9	A-triple-consens	crec	pa-019	27.25-31.75	clips/pa-019__crec__27.25.wav	sí	sí	sí	0.146	0.070	pendent
9	9	A-triple-consens	diguem	pa-019	109.25-113.75	clips/pa-019__diguem__109.25.wav	sí	sí	sí	0.265	0.124	pendent
9	9	A-triple-consens	evidentment	pa-019	93.25-97.75	clips/pa-019__evidentment__93.25.wav	sí	sí	sí	0.090	0.101	pendent
9	9	A-triple-consens	llavors	pa-019	422.25-427.75	clips/pa-019__llavors__422.25.wav	sí	sí	sí	0.302	0.107	pendent
9	9	A-triple-consens	aviam	pa-020	252.21-256.43	clips/pa-020__aviam__252.21.wav	sí	sí	sí	0.101	0.070	pendent
9	9	A-triple-consens	bé	pa-020	146.37-152.31	clips/pa-020__b__146.37.wav	sí	sí	sí	0.025	0.062	pendent
9	9	A-triple-consens	clar	pa-020	89.81-94.31	clips/pa-020__clar__89.81.wav	sí	sí	sí	0.021	0.022	pendent
9	9	A-triple-consens	perquè	pa-020	9.41-12.91	clips/pa-020__perqu__9.41.wav	sí	sí	sí	0.012	0.063	pendent
9	9	A-triple-consens	bueno	pa-021	12.25-16.87	clips/pa-021__bueno__12.25.wav	sí	sí	sí	0.041	0.074	pendent
9	9	A-triple-consens	crec	pa-021	115.53-120.03	clips/pa-021__crec__115.53.wav	sí	sí	sí	0.031	0.032	pendent
9	9	A-triple-consens	doncs	pa-021	12.25-16.87	clips/pa-021__doncs__12.25.wav	sí	sí	sí	0.034	0.074	pendent
9	9	A-triple-consens	evidentment	pa-021	211.41-215.75	clips/pa-021__evidentment__211.41.wav	sí	sí	sí	0.088	0.081	pendent
9	9	A-triple-consens	perquè	pa-021	15.45-19.67	clips/pa-021__perqu__15.45.wav	sí	sí	sí	0.035	0.156	pendent
9	9	A-triple-consens	vull dir	pa-021	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	sí	sí	sí	0.088	0.046	pendent
9	9	A-triple-consens	és a dir	pa-021	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	sí	sí	sí	0.033	0.174	pendent
9	9	A-triple-consens	a veure	pa-022	238.61-245.15	clips/pa-022__a-veure__238.61.wav	sí	sí	sí	0.114	0.156	pendent
9	9	A-triple-consens	clar	pa-022	107.73-113.11	clips/pa-022__clar__107.73.wav	sí	sí	sí	0.076	0.034	pendent
9	9	A-triple-consens	crec	pa-022	243.73-249.43	clips/pa-022__crec__243.73.wav	sí	sí	sí	0.085	0.016	pendent
9	9	A-triple-consens	evidentment	pa-022	303.01-309.59	clips/pa-022__evidentment__303.01.wav	sí	sí	sí	0.071	0.187	pendent
9	9	A-triple-consens	o sigui	pa-022	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	sí	sí	sí	0.098	0.164	pendent
9	9	A-triple-consens	perquè	pa-022	111.69-115.67	clips/pa-022__perqu__111.69.wav	sí	sí	sí	0.040	0.076	pendent
9	9	A-triple-consens	reformeta	pa-022	125.53-130.67	clips/pa-022__reformeta__125.53.wav	sí	sí	sí	0.153	0.115	pendent
9	9	A-triple-consens	és a dir	pa-022	11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	sí	sí	sí	0.102	0.027	pendent
9	9	A-triple-consens	a nivell	pa-023	418.57-422.99	clips/pa-023__a-nivell__418.57.wav	sí	sí	sí	0.043	0.111	pendent
9	9	A-triple-consens	a veure	pa-023	268.81-272.59	clips/pa-023__a-veure__268.81.wav	sí	sí	sí	0.039	0.096	pendent
9	9	A-triple-consens	bé	pa-023	409.37-413.47	clips/pa-023__b__409.37.wav	sí	sí	sí	0.173	0.116	pendent
9	9	A-triple-consens	perquè	pa-023	29.09-34.79	clips/pa-023__perqu__29.09.wav	sí	sí	sí	0.061	0.038	pendent
9	9	A-triple-consens	és a dir	pa-023	207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	sí	sí	sí	0.046	0.162	pendent
9	9	A-triple-consens	a veure	pa-025	388.01-395.23	clips/pa-025__a-veure__388.01.wav	sí	sí	sí	0.037	0.072	pendent
9	9	A-triple-consens	crec	pa-025	4.25-9.11	clips/pa-025__crec__4.25.wav	sí	sí	sí	0.022	0.032	pendent
9	9	A-triple-consens	de fet	pa-025	890.85-894.31	clips/pa-025__de-fet__890.85.wav	sí	sí	sí	0.055	0.121	pendent
9	9	A-triple-consens	diguem	pa-025	500.89-506.43	clips/pa-025__diguem__500.89.wav	sí	sí	sí	0.036	0.063	pendent
9	9	A-triple-consens	evidentment	pa-025	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	sí	sí	sí	0.063	0.070	pendent
