forma	id_persona	interval_escolta	interval_base	clip	estat_clip	sha256	duracio_s
bé	pa-058	210.61-215.39		clips/pa-058__b__210.61.wav	existent-extraient-sense-overlap	6674c5322827709752c45df8853aea9f030442669673f32267ca5b008003ce5c	4.780
bé	pa-059	112.41-118.27		clips/pa-059__b__112.41.wav	existent-extraient-sense-overlap	4b3ab0927fdabdd652bcb7faa3cb5a0c80780548e50790644a0a6ae55fc097da	5.860
bé	pa-060	415.73-419.91		clips/pa-060__b__415.73.wav	existent-extraient-sense-overlap	b2c9be9d1b9b85533e5b640f318feeecb75e793dfa829fffa2954a1b1f8327fb	4.180
bé	pa-061	662.89-667.43	663.60-666.76	clips/pa-061__b__662.89.wav	generat	ad23a7e65a7e9490e9e5ba9c51d87ef1f6a686ba78779eb4b9f279378b67f46e	4.540
bé	pa-062	401.61-406.47	401.04-403.08	clips/pa-062__b__401.61.wav	generat	38f02c1b9070498812dd505aaa226cc78810c5dc0364f2295dd706915d2fa0bf	4.860
bé	pa-063	105.97-110.35	106.84-109.48	clips/pa-063__b__105.97.wav	generat	5e555865701ba251187855e9f64c41a4da8a64883a220b860aff83a141c6c032	4.380
bé	pa-064	97.93-104.11	98.72-103.44	clips/pa-064__b__97.93.wav	generat	f2853c6daf3f83d218c44e2ece3d6b4dcf75210e30882a7d464881930c4dabf0	6.180
bé	pa-065	138.57-144.67	139.20-142.00	clips/pa-065__b__138.57.wav	generat	13d706fe597ebef3b508b59a531d16f8db00f85915f3493c1489e5b33de6329c	6.100
bé	pa-066	10.13-15.71	12.92-17.00	clips/pa-066__b__10.13.wav	generat	250a23141136c42f1e2836ff2f3758048ad53d182346bd09d0ab497ea3c06b02	5.580
de fet	pa-001	68.49-71.99		clips/pa-001__de-fet__68.49.wav	existent-extraient-sense-overlap	851dbae6253ffdface9f901f96eef681d2f9f9cb30bda66c54f5144e53b30041	3.500
de fet	pa-002	72.25-76.75		clips/pa-002__de-fet__72.25.wav	existent-extraient-sense-overlap	847f1018b1b45bc0a38c4eca4b30755512db15e0dba03ec14eebf6bbdda2cfd1	4.500
de fet	pa-003	0.00-7.19		clips/pa-003__de-fet__0.00.wav	existent-extraient-sense-overlap	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	7.190
de fet	pa-004	601.17-607.35	603.56-612.84	clips/pa-004__de-fet__601.17.wav	existent	6f305ce3b656fbd3f74eb3e3bb1eef5471b8898aeee64dcd05c7049966915832	6.180
de fet	pa-006	285.25-291.75	285.92-290.52	clips/pa-006__de-fet__285.25.wav	existent	1bf772774bb8043b9f1f91446680ac19da3b91704a57ad5bee82b37b0b9ac226	6.500
de fet	pa-008	799.25-804.75	797.42-802.42	clips/pa-008__de-fet__799.25.wav	existent	258cb96e038458f4aed2481073381e1b001bb4cffe92535d5efb901a8055498a	5.500
de fet	pa-010	647.25-652.75	647.80-651.40	clips/pa-010__de-fet__647.25.wav	existent	6f7245008f39b5a51b16fca07169d000b0e91a17cb7b40b0141731471492bcd9	5.500
de fet	pa-011	557.25-561.31	557.52-560.52	clips/pa-011__de-fet__557.25.wav	existent	74feacb443cae46de84816b37e1b0a352845e9eeff6cfeb557c32be14d1e361e	4.060
de fet	pa-016	318.53-324.03	319.24-322.16	clips/pa-016__de-fet__318.53.wav	existent	84cbcc4e1c24b07e98c045a58a1d6b4ca47a7767d60667070ce816649d43935f	5.500
de fet	pa-022	420.21-424.71	421.08-424.08	clips/pa-022__de-fet__420.21.wav	existent	af302f4211879739bd8091c79ba3e5666401bde824ff072650352bc78559b913	4.500
de fet	pa-023	72.49-78.31		clips/pa-023__de-fet__72.49.wav	existent-extraient-sense-overlap	22d5efac82b842a1fc62f7b0bf600c5aea467e1f0ff55ab879d4b1f4f65ffbda	5.820
de fet	pa-024	482.25-489.07		clips/pa-024__de-fet__482.25.wav	existent-extraient-sense-overlap	59ccb13d083f2806c40f8e502377c50015681fba7bdcbce4f997877b1351a63a	6.820
de fet	pa-025	890.85-894.31	891.36-895.76	clips/pa-025__de-fet__890.85.wav	existent	a559a2cde3a26d3892dd1f6c0429cb20c6210324f18046d1afc84744ceff4cf2	3.460
de fet	pa-027	109.45-115.11	111.04-114.24	clips/pa-027__de-fet__109.45.wav	existent	62772c63d9db7198189ed0009cd36dde8e4b071838889fc6b2ca1a9d9b845908	5.660
de fet	pa-028	31.17-37.07	33.48-36.36	clips/pa-028__de-fet__31.17.wav	existent	aeff5683a84ab11ea5d8a8f1aaf029d27cdd3720613c2afeac4659324f031326	5.900
de fet	pa-031	9.93-14.23	10.72-13.40	clips/pa-031__de-fet__9.93.wav	existent	5785296cce7554b7cb749c80b7cb6e1fbe29aa36ce7eaa2ff059ae184192b98a	4.300
de fet	pa-033	249.69-252.55		clips/pa-033__de-fet__249.69.wav	existent-extraient-sense-overlap	46a44cd237981a6175ace71efc9c7211829ef554ac1021d65b6c74757ae97af0	2.860
de fet	pa-040	70.17-73.51	70.92-73.88	clips/pa-040__de-fet__70.17.wav	existent	1a1f4d6fe223de8ca0f3798029daa9a58cc783b6c68421e0666332a6e0bbdf51	3.340
de fet	pa-051	200.81-205.31		clips/pa-051__de-fet__200.81.wav	existent-extraient-sense-overlap	0285ad57f4c9bdaafb7811096af2b37d99e3a1ca2edd83ce3d307d428d21a609	4.500
de fet	pa-057	561.25-569.07		clips/pa-057__de-fet__561.25.wav	existent-extraient-sense-overlap	f60689c72422dd191b8e8e1427701fbb4c3f158b74a781b44419188b83c10e25	7.820
de fet	pa-060	72.57-78.35	73.24-77.60	clips/pa-060__de-fet__72.57.wav	existent	c9b4a528445a1057a5f3a047b6e68cb9f6ab9e2db61b98a7394c4753d3c7d8a6	5.780
de fet	pa-065	883.97-888.71		clips/pa-065__de-fet__883.97.wav	existent-extraient-sense-overlap	5685365f3b00bfe1a63764e888abf93b90b4eebbd10b79ceca8eabde8f0ff101	4.740
de fet	pa-066	44.37-49.71	46.08-49.00	clips/pa-066__de-fet__44.37.wav	generat	dbe5e9976b2c7b08c17418d9f351cc61ea16589892a902afae955be09045087b	5.340
és a dir	pa-001	890.97-894.47		clips/pa-001__s-a-dir__890.97.wav	existent-extraient-sense-overlap	f66753c5bc118e0315902c298296c8a5beb477ca293933638f85bba7ae2b7388	3.500
és a dir	pa-002	12.25-17.75		clips/pa-002__s-a-dir__12.25.wav	existent-extraient-sense-overlap	6aa060c5245db509abfb70f46cd39abe070648e52010c2146d0e3f65b9f9adf2	5.500
és a dir	pa-003	65.05-70.51		clips/pa-003__s-a-dir__65.05.wav	existent-extraient-sense-overlap	59b64c066f1c3da6cb7dda74af1439a5735602573b5b739c14a9957829358293	5.460
