id_persona	forma	clip	json_full	estat
pa-027	de fet	clips/pa-027__de-fet__109.45.wav	qa-clips-json-full/pa-027__de-fet__109_45.json	pendent-audicio
pa-027	diguem	clips/pa-027__diguem__57.77.wav	qa-clips-json-full/pa-027__diguem__57_77.json	pendent-audicio
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	qa-clips-json-full/pa-027__evidentment__174_09.json	pendent-audicio
pa-027	perquè	clips/pa-027__perqu__8.81.wav	qa-clips-json-full/pa-027__perqu__8_81.json	pendent-audicio
pa-028	bé	clips/pa-028__b__182.49.wav	qa-clips-json-full/pa-028__b__182_49.json	pendent-audicio
pa-028	clar	clips/pa-028__clar__290.33.wav	qa-clips-json-full/pa-028__clar__290_33.json	pendent-audicio
pa-028	de fet	clips/pa-028__de-fet__31.17.wav	qa-clips-json-full/pa-028__de-fet__31_17.json	pendent-audicio
pa-028	doncs	clips/pa-028__doncs__329.33.wav	qa-clips-json-full/pa-028__doncs__329_33.json	pendent-audicio
pa-028	llavors	clips/pa-028__llavors__151.01.wav	qa-clips-json-full/pa-028__llavors__151_01.json	pendent-audicio
pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	qa-clips-json-full/pa-029__a-nivell__417_09.json	pendent-audicio
pa-029	diguem	clips/pa-029__diguem__929.69.wav	qa-clips-json-full/pa-029__diguem__929_69.json	pendent-audicio
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	qa-clips-json-full/pa-029__tirar-endavant__56_73.json	pendent-audicio
pa-030	a veure	clips/pa-030__a-veure__673.41.wav	qa-clips-json-full/pa-030__a-veure__673_41.json	pendent-audicio
pa-030	bueno	clips/pa-030__bueno__459.05.wav	qa-clips-json-full/pa-030__bueno__459_05.json	pendent-audicio
pa-030	bé	clips/pa-030__b__436.45.wav	qa-clips-json-full/pa-030__b__436_45.json	pendent-audicio
pa-030	crec	clips/pa-030__crec__346.45.wav	qa-clips-json-full/pa-030__crec__346_45.json	pendent-audicio
pa-030	evidentment	clips/pa-030__evidentment__43.53.wav	qa-clips-json-full/pa-030__evidentment__43_53.json	pendent-audicio
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	qa-clips-json-full/pa-030__vull-dir__842_69.json	pendent-audicio
pa-030	és a dir	clips/pa-030__s-a-dir__193.13.wav	qa-clips-json-full/pa-030__s-a-dir__193_13.json	pendent-audicio
pa-031	crec	clips/pa-031__crec__87.01.wav	qa-clips-json-full/pa-031__crec__87_01.json	pendent-audicio
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	qa-clips-json-full/pa-031__de-fet__9_93.json	pendent-audicio
pa-031	perquè	clips/pa-031__perqu__32.69.wav	qa-clips-json-full/pa-031__perqu__32_69.json	pendent-audicio
pa-032	bueno	clips/pa-032__bueno__44.73.wav	qa-clips-json-full/pa-032__bueno__44_73.json	pendent-audicio
pa-032	bé	clips/pa-032__b__270.41.wav	qa-clips-json-full/pa-032__b__270_41.json	pendent-audicio
pa-032	clar	clips/pa-032__clar__155.33.wav	qa-clips-json-full/pa-032__clar__155_33.json	pendent-audicio
pa-032	perquè	clips/pa-032__perqu__9.21.wav	qa-clips-json-full/pa-032__perqu__9_21.json	pendent-audicio
pa-033	bé	clips/pa-033__b__103.09.wav	qa-clips-json-full/pa-033__b__103_09.json	pendent-audicio
pa-033	clar	clips/pa-033__clar__54.49.wav	qa-clips-json-full/pa-033__clar__54_49.json	pendent-audicio
pa-033	diguem	clips/pa-033__diguem__49.01.wav	qa-clips-json-full/pa-033__diguem__49_01.json	pendent-audicio
pa-033	perquè	clips/pa-033__perqu__18.89.wav	qa-clips-json-full/pa-033__perqu__18_89.json	pendent-audicio
pa-033	vull dir	clips/pa-033__vull-dir__56.25.wav	qa-clips-json-full/pa-033__vull-dir__56_25.json	pendent-audicio
pa-034	a nivell	clips/pa-034__a-nivell__143.81.wav	qa-clips-json-full/pa-034__a-nivell__143_81.json	pendent-audicio
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	qa-clips-json-full/pa-034__a-veure__94_05.json	pendent-audicio
pa-034	crec	clips/pa-034__crec__651.65.wav	qa-clips-json-full/pa-034__crec__651_65.json	pendent-audicio
pa-034	diguem	clips/pa-034__diguem__504.45.wav	qa-clips-json-full/pa-034__diguem__504_45.json	pendent-audicio
