id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-011	bé	clips/pa-011__b__185.57.wav	187.940	188.040	0.9981	3	0.50	2.420	179.20	387.07	1534.03	1729.77	73.40
pa-011	bé	clips/pa-011__b__185.57.wav	187.940	188.040	0.9981	4	0.65	2.435	179.48	373.49	1475.50	1874.66	73.59
pa-011	bé	clips/pa-011__b__185.57.wav	187.940	188.040	0.9981	5	0.80	2.450	180.08	389.52	1467.93	2781.73	71.55
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	662.050	662.490	0.3085	1	0.20	3.688	137.22	339.70	2073.74	2526.23	65.70
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	662.050	662.490	0.3085	2	0.35	3.754	116.92	396.26	2059.59	2450.25	69.31
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	662.050	662.490	0.3085	3	0.50	3.820	130.08	453.18	1618.27	2244.02	63.83
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	662.050	662.490	0.3085	4	0.65	3.886		535.42	1580.99	2457.75	66.58
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	662.050	662.490	0.3085	5	0.80	3.952		1443.25	1859.13	3035.76	60.08
pa-015	doncs	clips/pa-015__doncs__83.25.wav	84.340	84.600	0.7675	1	0.20	1.142	158.40	428.66	1269.68	2719.62	78.08
pa-015	doncs	clips/pa-015__doncs__83.25.wav	84.340	84.600	0.7675	2	0.35	1.181	235.31	406.70	1039.92	2453.21	81.04
pa-015	doncs	clips/pa-015__doncs__83.25.wav	84.340	84.600	0.7675	3	0.50	1.220	248.32	363.71	849.96	2546.15	82.03
pa-015	doncs	clips/pa-015__doncs__83.25.wav	84.340	84.600	0.7675	4	0.65	1.259	243.85	567.81	1930.79	3399.62	83.14
pa-015	doncs	clips/pa-015__doncs__83.25.wav	84.340	84.600	0.7675	5	0.80	1.298		1348.14	2209.03	3566.05	74.05
pa-016	clar	clips/pa-016__clar__175.69.wav	178.240	178.690	0.7159	1	0.20	2.640	243.31	819.26	1378.82	2949.72	66.49
pa-016	clar	clips/pa-016__clar__175.69.wav	178.240	178.690	0.7159	2	0.35	2.708		621.17	1421.59	2844.16	57.97
pa-016	clar	clips/pa-016__clar__175.69.wav	178.240	178.690	0.7159	3	0.50	2.775		635.09	1456.82	2829.86	44.80
pa-016	clar	clips/pa-016__clar__175.69.wav	178.240	178.690	0.7159	4	0.65	2.842	172.17	389.20	2395.02	2994.44	68.59
pa-016	clar	clips/pa-016__clar__175.69.wav	178.240	178.690	0.7159	5	0.80	2.910	145.17	411.37	1471.37	2651.69	66.51
pa-017	clar	clips/pa-017__clar__34.45.wav	37.150	37.740	0.9178	1	0.20	2.818	189.06	554.04	974.70	2260.61	66.91
pa-017	clar	clips/pa-017__clar__34.45.wav	37.150	37.740	0.9178	2	0.35	2.907	151.36	401.67	1920.79	2895.28	59.62
pa-017	clar	clips/pa-017__clar__34.45.wav	37.150	37.740	0.9178	3	0.50	2.995	184.16	483.82	1429.77	3116.28	62.63
pa-017	clar	clips/pa-017__clar__34.45.wav	37.150	37.740	0.9178	4	0.65	3.083	219.39	544.87	1645.22	1913.09	66.84
pa-017	clar	clips/pa-017__clar__34.45.wav	37.150	37.740	0.9178	5	0.80	3.172	236.65	571.60	1464.55	3062.27	62.20
pa-017	doncs	clips/pa-017__doncs__459.25.wav	460.590	460.990	0.8353	1	0.20	1.420		1799.67	3492.04	3633.78	61.39
pa-017	doncs	clips/pa-017__doncs__459.25.wav	460.590	460.990	0.8353	2	0.35	1.480	179.96	535.93	1141.11	2932.73	77.47
pa-017	doncs	clips/pa-017__doncs__459.25.wav	460.590	460.990	0.8353	3	0.50	1.540	172.00	473.42	749.70	1516.20	71.51
pa-017	doncs	clips/pa-017__doncs__459.25.wav	460.590	460.990	0.8353	4	0.65	1.600	170.11	394.00	1744.61	3584.76	68.74
pa-017	doncs	clips/pa-017__doncs__459.25.wav	460.590	460.990	0.8353	5	0.80	1.660		630.73	1738.47	3157.62	56.66
pa-018	crec	clips/pa-018__crec__7.49.wav	8.730	9.100	0.9970	1	0.20	1.314		439.64	2378.73	2632.92	40.38
pa-018	crec	clips/pa-018__crec__7.49.wav	8.730	9.100	0.9970	2	0.35	1.369	132.37	281.23	1854.48	2425.47	66.54
pa-018	crec	clips/pa-018__crec__7.49.wav	8.730	9.100	0.9970	3	0.50	1.425	122.54	321.36	2331.46	2816.40	67.31
pa-018	crec	clips/pa-018__crec__7.49.wav	8.730	9.100	0.9970	4	0.65	1.481	115.41	314.18	1935.43	2501.85	62.38
pa-018	crec	clips/pa-018__crec__7.49.wav	8.730	9.100	0.9970	5	0.80	1.536	126.14	415.80	1837.00	2461.27	69.25
pa-018	perquè	clips/pa-018__perqu__91.09.wav	91.820	92.270	0.2842	1	0.20	0.820	101.14	416.42	1269.92	2411.30	57.22
pa-018	perquè	clips/pa-018__perqu__91.09.wav	91.820	92.270	0.2842	2	0.35	0.887	115.86	523.23	1490.10	2374.95	66.14
pa-018	perquè	clips/pa-018__perqu__91.09.wav	91.820	92.270	0.2842	3	0.50	0.955	119.13	453.61	1690.91	2254.42	65.09
pa-018	perquè	clips/pa-018__perqu__91.09.wav	91.820	92.270	0.2842	4	0.65	1.022		385.81	2027.18	2528.53	52.18
pa-018	perquè	clips/pa-018__perqu__91.09.wav	91.820	92.270	0.2842	5	0.80	1.090	119.72	433.49	2024.35	2096.31	67.25
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	125.450	125.870	0.8382	1	0.20	3.284	75.04	584.02	1282.02	2322.61	67.11
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	125.450	125.870	0.8382	2	0.35	3.347	75.65	603.05	1257.65	2213.22	65.90
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	125.450	125.870	0.8382	3	0.50	3.410	61.57	590.84	1298.56	2587.43	60.45
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	125.450	125.870	0.8382	4	0.65	3.473	84.50	613.53	1326.89	2429.19	66.96
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	125.450	125.870	0.8382	5	0.80	3.536	86.94	352.18	1423.90	2369.95	65.32
pa-020	aviam	clips/pa-020__aviam__252.21.wav	254.590	255.110	0.1295	1	0.20	2.484		791.66	1800.17	2846.16	41.85
pa-020	aviam	clips/pa-020__aviam__252.21.wav	254.590	255.110	0.1295	2	0.35	2.562		1328.61	2216.59	3673.38	42.33
pa-020	aviam	clips/pa-020__aviam__252.21.wav	254.590	255.110	0.1295	3	0.50	2.640		757.95	2009.85	3266.70	41.27
pa-020	aviam	clips/pa-020__aviam__252.21.wav	254.590	255.110	0.1295	4	0.65	2.718		937.22	2071.86	2999.81	41.64
pa-020	aviam	clips/pa-020__aviam__252.21.wav	254.590	255.110	0.1295	5	0.80	2.796		964.91	2268.44	3237.52	40.35
pa-021	crec	clips/pa-021__crec__115.53.wav	115.710	115.970	0.9899	1	0.20	0.232		646.22	1779.51	3706.39	57.79
pa-021	crec	clips/pa-021__crec__115.53.wav	115.710	115.970	0.9899	2	0.35	0.271		556.53	1694.85	2778.72	61.62
pa-021	crec	clips/pa-021__crec__115.53.wav	115.710	115.970	0.9899	3	0.50	0.310		391.09	1340.21	2593.66	67.81
pa-021	crec	clips/pa-021__crec__115.53.wav	115.710	115.970	0.9899	4	0.65	0.349	62.09	439.50	922.96	2674.87	60.19
pa-021	crec	clips/pa-021__crec__115.53.wav	115.710	115.970	0.9899	5	0.80	0.388	78.71	477.51	1768.54	3271.68	55.53
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	317.800	318.890	0.8193	1	0.20	3.728	113.12	331.69	1201.74	2485.36	58.63
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	317.800	318.890	0.8193	2	0.35	3.891		274.97	1469.60	2958.60	56.27
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	317.800	318.890	0.8193	3	0.50	4.055		357.36	1253.44	2547.91	55.72
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	317.800	318.890	0.8193	4	0.65	4.218	120.39	283.24	1217.84	2545.02	62.41
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	317.800	318.890	0.8193	5	0.80	4.382	154.64	409.76	722.64	2747.43	74.95
pa-022	clar	clips/pa-022__clar__107.73.wav	109.160	109.310	0.9678	1	0.20	1.460	126.50	630.55	1256.81	2673.62	71.50
pa-022	clar	clips/pa-022__clar__107.73.wav	109.160	109.310	0.9678	2	0.35	1.482	125.51	667.76	1263.75	2570.39	71.58
pa-022	clar	clips/pa-022__clar__107.73.wav	109.160	109.310	0.9678	3	0.50	1.505		673.76	1296.41	2579.60	67.38
pa-022	clar	clips/pa-022__clar__107.73.wav	109.160	109.310	0.9678	4	0.65	1.528	72.42	703.16	1216.65	2555.53	65.85
pa-022	clar	clips/pa-022__clar__107.73.wav	109.160	109.310	0.9678	5	0.80	1.550	144.41	665.82	1253.64	2529.83	66.27
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	126.330	127.230	0.9087	1	0.20	0.980		971.70	1746.07	2560.22	51.11
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	126.330	127.230	0.9087	2	0.35	1.115	135.40	213.16	1736.97	2652.93	58.99
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	126.330	127.230	0.9087	3	0.50	1.250		455.98	1697.10	2650.79	63.73
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	126.330	127.230	0.9087	4	0.65	1.385		585.94	1865.38	3130.89	56.92
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	126.330	127.230	0.9087	5	0.80	1.520	113.13	665.33	950.76	2640.76	73.33
pa-024	crec	clips/pa-024__crec__368.01.wav	368.350	369.040	0.9878	1	0.20	0.478		645.51	1475.46	2616.96	51.22
pa-024	crec	clips/pa-024__crec__368.01.wav	368.350	369.040	0.9878	2	0.35	0.582		513.69	1429.29	2555.29	32.20
pa-024	crec	clips/pa-024__crec__368.01.wav	368.350	369.040	0.9878	3	0.50	0.685		704.92	1752.34	2749.11	24.64
pa-024	crec	clips/pa-024__crec__368.01.wav	368.350	369.040	0.9878	4	0.65	0.788		512.28	1500.04	2572.66	33.68
pa-024	crec	clips/pa-024__crec__368.01.wav	368.350	369.040	0.9878	5	0.80	0.892	110.87	252.36	1412.78	2934.45	57.38
pa-025	diguem	clips/pa-025__diguem__500.89.wav	504.040	504.510	0.4147	1	0.20	3.244	114.22	344.30	2257.33	2581.92	70.01
pa-025	diguem	clips/pa-025__diguem__500.89.wav	504.040	504.510	0.4147	2	0.35	3.314	122.97	470.97	2062.90	2423.51	73.75
pa-025	diguem	clips/pa-025__diguem__500.89.wav	504.040	504.510	0.4147	3	0.50	3.385	125.02	305.72	944.40	2258.15	68.79
pa-025	diguem	clips/pa-025__diguem__500.89.wav	504.040	504.510	0.4147	4	0.65	3.456	124.86	375.93	2388.53	2697.73	68.87
pa-025	diguem	clips/pa-025__diguem__500.89.wav	504.040	504.510	0.4147	5	0.80	3.526	126.63	974.59	2335.61	3487.51	64.22
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	142.080	143.040	0.9784	1	0.20	3.662	128.53	581.26	1472.70	2065.59	69.82
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	142.080	143.040	0.9784	2	0.35	3.806		396.40	1868.42	2578.03	64.35
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	142.080	143.040	0.9784	3	0.50	3.950	135.98	486.74	1009.57	2090.96	73.56
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	142.080	143.040	0.9784	4	0.65	4.094	152.68	359.41	2018.31	2146.77	70.73
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	142.080	143.040	0.9784	5	0.80	4.238		494.04	1887.20	2808.88	53.61
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	187.610	188.190	0.0979	1	0.20	2.116		724.85	1216.59	2540.98	56.49
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	187.610	188.190	0.0979	2	0.35	2.203	115.88	722.17	1127.65	2359.38	71.31
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	187.610	188.190	0.0979	3	0.50	2.290	113.13	809.94	2257.49	3244.43	66.78
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	187.610	188.190	0.0979	4	0.65	2.377	113.20	596.75	963.93	2304.07	71.93
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	187.610	188.190	0.0979	5	0.80	2.464	94.10	419.78	1540.55	2711.75	58.16
pa-028	doncs	clips/pa-028__doncs__329.33.wav	329.330	329.690	0.0937	1	0.20	0.084	139.41	335.01	2049.01	2487.16	69.22
pa-028	doncs	clips/pa-028__doncs__329.33.wav	329.330	329.690	0.0937	2	0.35	0.136	152.75	344.67	1041.72	2271.20	68.97
pa-028	doncs	clips/pa-028__doncs__329.33.wav	329.330	329.690	0.0937	3	0.50	0.188	179.27	411.23	773.27	2357.53	71.39
pa-028	doncs	clips/pa-028__doncs__329.33.wav	329.330	329.690	0.0937	4	0.65	0.239	167.22	556.53	890.15	2291.81	70.81
pa-028	doncs	clips/pa-028__doncs__329.33.wav	329.330	329.690	0.0937	5	0.80	0.291	140.35	588.81	982.98	2278.80	68.59
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	61.610	62.100	0.6249	1	0.20	4.978	93.94	802.81	1787.24	3324.82	57.54
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	61.610	62.100	0.6249	2	0.35	5.051	96.44	381.64	1013.02	2991.85	66.13
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	61.610	62.100	0.6249	3	0.50	5.125	98.85	551.55	1931.58	2701.23	70.40
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	61.610	62.100	0.6249	4	0.65	5.199		509.58	1863.60	2799.96	53.07
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	61.610	62.100	0.6249	5	0.80	5.272	96.93	449.64	1736.09	2493.59	63.65
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	187.080	188.040	0.5971	1	0.20	1.662		569.57	1116.00	1987.61	61.17
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	187.080	188.040	0.5971	2	0.35	1.806	106.41	294.52	1818.47	3013.51	51.58
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	187.080	188.040	0.5971	3	0.50	1.950	111.91	559.52	1475.33	2009.28	61.25
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	187.080	188.040	0.5971	4	0.65	2.094	113.13	316.77	1487.28	2285.13	57.61
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	187.080	188.040	0.5971	5	0.80	2.238		768.10	1135.42	1992.54	61.63
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	843.440	844.490	0.5334	1	0.20	0.960		801.82	1957.30	2492.69	38.35
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	843.440	844.490	0.5334	2	0.35	1.117		798.61	1694.30	2654.01	32.82
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	843.440	844.490	0.5334	3	0.50	1.275		851.81	2221.90	3115.51	30.51
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	843.440	844.490	0.5334	4	0.65	1.433		798.22	1623.32	2851.27	28.27
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	843.440	844.490	0.5334	5	0.80	1.590	133.87	163.73	2259.88	2790.24	71.02
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	1	0.20	0.240		1372.07	2447.36	3776.95	26.91
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	2	0.35	0.330		875.47	1745.40	2593.30	33.36
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	3	0.50	0.420		1159.58	1901.94	2525.72	38.79
