forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
bé	pa-010	analitzada-provisional-contextual	25.40-30.92	24.65-31.67	27.32-31.00	sí	0.057	0.031	alta	sí	0.5825	182.50	clips/pa-010__b__24.65.wav	pendent				9
clar	pa-010	analitzada-provisional-contextual	335.60-338.60	334.85-339.35	335.72-338.52	sí	0.040	0.049	alta	sí	0.5825	182.50	clips/pa-010__clar__334.85.wav	pendent				9
de fet	pa-010	analitzada-provisional-contextual	648.00-652.00	647.25-652.75	647.80-651.40	sí	0.234	0.008	alta	sí	0.5825	182.50	clips/pa-010__de-fet__647.25.wav	pendent				9
doncs	pa-010	analitzada-provisional-contextual	25.40-30.92	24.65-31.67	27.32-31.00	sí	0.057	0.031	alta	sí	0.5825	182.50	clips/pa-010__doncs__24.65.wav	pendent				9
llavors	pa-010	analitzada-provisional-contextual	387.00-391.00	386.25-391.75	386.28-391.24	sí	0.021	0.104	alta	sí	0.5825	182.50	clips/pa-010__llavors__386.25.wav	pendent				9
perquè	pa-010	analitzada-provisional-contextual	197.40-200.80	196.65-201.55	193.64-199.04	sí	0.032	0.062	alta	sí	0.5825	182.50	clips/pa-010__perqu__196.65.wav	pendent				9
és a dir	pa-010	analitzada-provisional-contextual	244.00-248.80	243.25-249.55	241.76-245.60	sí	0.132	0.088	alta	sí	0.5825	182.50	clips/pa-010__s-a-dir__243.25.wav	pendent				9
a veure	pa-011	analitzada-provisional-contextual	552.56-555.52	551.81-556.27	554.12-557.52	sí	0.374	0.350	alta	sí	0.5651	231.55	clips/pa-011__a-veure__551.81.wav	pendent				9
bé	pa-011	analitzada-provisional-contextual	186.32-188.56	185.57-189.31	186.32-188.52	sí	0.073	0.130	alta	sí	0.5651	231.55	clips/pa-011__b__185.57.wav	pendent				9
de fet	pa-011	analitzada-provisional-contextual	558.00-560.56	557.25-561.31	557.52-560.52	sí	0.319	0.379	alta	sí	0.5651	231.55	clips/pa-011__de-fet__557.25.wav	pendent				9
doncs	pa-011	analitzada-provisional-contextual	62.24-68.32	61.49-69.07	62.12-68.52	sí	0.064	0.082	alta	sí	0.5651	231.55	clips/pa-011__doncs__61.49.wav	pendent				9
perquè	pa-011	analitzada-provisional-contextual	28.36-30.80	27.61-31.55	26.72-30.72	sí	0.090	0.051	alta	sí	0.5651	231.55	clips/pa-011__perqu__27.61.wav	pendent				9
és a dir	pa-011	analitzada-provisional-contextual	48.84-53.92	48.09-54.67	47.72-51.72	sí	0.095	0.122	alta	sí	0.5651	231.55	clips/pa-011__s-a-dir__48.09.wav	pendent				9
doncs	pa-012	analitzada-provisional-contextual	412.00-416.00	411.25-416.75	411.54-415.14	sí	0.252	0.027	alta	sí	0.6375	277.14	clips/pa-012__doncs__411.25.wav	pendent				9
