forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
bueno	pa-046	analitzada-provisional-contextual	128.76-130.76	128.01-131.51	128.80-131.60	sí	0.016	0.103	alta	sí	0.5707	232.31	clips/pa-046__bueno__128.01.wav	pendent				9
bé	pa-046	analitzada-provisional-contextual	349.56-351.80	348.81-352.55	349.64-351.80	sí	0.053	0.095	alta	sí	0.5707	232.31	clips/pa-046__b__348.81.wav	pendent				9
crec	pa-046	analitzada-provisional-contextual	209.16-211.72	208.41-212.47	208.80-211.72	sí	0.045	0.095	alta	sí	0.5707	232.31	clips/pa-046__crec__208.41.wav	pendent				9
diguem	pa-046	analitzada-provisional-contextual	626.76-629.44	626.01-630.19	626.48-629.36	sí	0.044	0.058	alta	sí	0.5707	232.31	clips/pa-046__diguem__626.01.wav	pendent				9
doncs	pa-046	analitzada-provisional-contextual	136.36-139.32	135.61-140.07	135.00-139.24	sí	0.034	0.093	alta	sí	0.5707	232.31	clips/pa-046__doncs__135.61.wav	pendent				9
evidentment	pa-046	analitzada-provisional-contextual	706.44-710.28	705.69-711.03	706.20-708.08	sí	0.080	0.055	alta	sí	0.5707	232.31	clips/pa-046__evidentment__705.69.wav	pendent				9
a nivell	pa-048	analitzada-provisional-contextual	436.52-440.52	435.77-441.27	436.60-441.80	sí	0.070	0.035	alta	sí	0.4176	188.75	clips/pa-048__a-nivell__435.77.wav	pendent				9
a veure	pa-048	analitzada-provisional-contextual	394.68-396.28	393.93-397.03	395.48-398.80	sí	0.086	0.076	alta	sí	0.4176	188.75	clips/pa-048__a-veure__393.93.wav	pendent				9
bueno	pa-048	analitzada-provisional-contextual	227.92-232.28	227.17-233.03	227.92-232.36	sí	0.067	0.071	alta	sí	0.4176	188.75	clips/pa-048__bueno__227.17.wav	pendent				9
bé	pa-048	analitzada-provisional-contextual	496.48-502.08	495.73-502.83	496.24-499.24	sí	0.090	0.288	alta	sí	0.4176	188.75	clips/pa-048__b__495.73.wav	pendent				9
clar	pa-048	analitzada-provisional-contextual	390.40-391.40	389.65-392.15	390.28-391.28	sí	0.055	0.039	alta	sí	0.4176	188.75	clips/pa-048__clar__389.65.wav	pendent				9
crec	pa-048	analitzada-provisional-contextual	111.72-116.52	110.97-117.27	111.44-116.44	sí	0.111	0.197	alta	sí	0.4176	188.75	clips/pa-048__crec__110.97.wav	pendent				9
llavors	pa-048	analitzada-provisional-contextual	1245.72-1248.20	1244.97-1248.95	1245.72-1248.24	sí	0.031	0.019	alta	sí	0.4176	188.75	clips/pa-048__llavors__1244.97.wav	pendent				9
o sigui	pa-048	analitzada-provisional-contextual	582.40-585.24	581.65-585.99	582.16-584.92	sí	0.102	0.119	alta	sí	0.4176	188.75	clips/pa-048__o-sigui__581.65.wav	pendent				9
vull dir	pa-048	analitzada-provisional-contextual	994.44-998.44	993.69-999.19	994.36-1000.96	sí	0.103	0.093	alta	sí	0.4176	188.75	clips/pa-048__vull-dir__993.69.wav	pendent				9
és a dir	pa-048	analitzada-provisional-contextual	1131.36-1134.56	1130.61-1135.31	1131.28-1137.68	sí	0.052	0.106	alta	sí	0.4176	188.75	clips/pa-048__s-a-dir__1130.61.wav	pendent				9
a veure	pa-049	analitzada-provisional-contextual	245.60-251.28	244.85-252.03	250.28-252.28	sí	0.083	0.080	alta	sí	0.6630	223.56	clips/pa-049__a-veure__244.85.wav	pendent				9
bueno	pa-049	analitzada-provisional-contextual	269.80-275.08	269.05-275.83	274.68-277.80	sí	0.037	0.103	alta	sí	0.6630	223.56	clips/pa-049__bueno__269.05.wav	pendent				9
clar	pa-049	analitzada-provisional-contextual	382.76-389.36	382.01-390.11	382.56-385.60	sí	0.070	0.069	alta	sí	0.6630	223.56	clips/pa-049__clar__382.01.wav	pendent				9
crec	pa-049	analitzada-provisional-contextual	372.60-382.76	371.85-383.51	373.32-375.84	sí	0.078	0.055	alta	sí	0.6630	223.56	clips/pa-049__crec__371.85.wav	pendent				9
diguem	pa-049	analitzada-provisional-contextual	213.88-219.68	213.13-220.43	219.08-221.28	sí	0.070	0.075	alta	sí	0.6630	223.56	clips/pa-049__diguem__213.13.wav	pendent				9
o sigui	pa-049	analitzada-provisional-contextual	365.96-372.60	365.21-373.35	365.80-368.72	sí	0.060	0.055	alta	sí	0.6630	223.56	clips/pa-049__o-sigui__365.21.wav	pendent				9
perquè	pa-053	analitzada-provisional-contextual	114.68-120.04	113.93-120.79	114.48-121.48	sí	0.103	0.046	alta	sí	0.7369	166.09	clips/pa-053__perqu__113.93.wav	pendent				9
bueno	pa-054	analitzada-provisional-contextual	52.44-55.00	51.69-55.75	52.28-55.08	sí	0.104	0.041	alta	sí	0.7272	202.70	clips/pa-054__bueno__51.69.wav	pendent				9
perquè	pa-054	analitzada-provisional-contextual	81.20-84.68	80.45-85.43	83.04-87.96	sí	0.097	0.053	alta	sí	0.7272	202.70	clips/pa-054__perqu__80.45.wav	pendent				9
a nivell	pa-055	analitzada-provisional-automatica	38.84-43.32	38.09-44.07	36.48-45.48	sí	0.075	0.040	alta	sí	0.4784	258.93	clips/pa-055__a-nivell__38.09.wav	pendent				9
a veure	pa-055	analitzada-provisional-automatica	64.64-67.84	63.89-68.59	59.00-67.24	sí	0.023	0.032	alta	sí	0.4784	258.93	clips/pa-055__a-veure__63.89.wav	pendent				9
bueno	pa-055	analitzada-provisional-automatica	195.68-199.92	194.93-200.67	191.64-199.24	sí	0.015	0.032	alta	sí	0.4784	258.93	clips/pa-055__bueno__194.93.wav	pendent				9
bé	pa-055	analitzada-provisional-automatica	359.32-361.32	358.57-362.07	359.84-363.84	sí	0.018	0.055	alta	sí	0.4784	258.93	clips/pa-055__b__358.57.wav	pendent				9
clar	pa-055	analitzada-provisional-automatica	7.04-8.92	6.29-9.67	7.12-8.84	sí	0.038	0.082	alta	sí	0.4784	258.93	clips/pa-055__clar__6.29.wav	pendent				9
evidentment	pa-055	analitzada-provisional-automatica	1644.76-1650.56	1644.01-1651.31	1645.64-1650.32	sí	0.010	0.062	alta	sí	0.4784	258.93	clips/pa-055__evidentment__1644.01.wav	pendent				9
perquè	pa-055	analitzada-provisional-automatica	149.28-152.36	148.53-153.11	151.00-155.84	sí	0.014	0.100	alta	sí	0.4784	258.93	clips/pa-055__perqu__148.53.wav	pendent				9
reformeta	pa-055	analitzada-provisional-automatica	139.80-145.08	139.05-145.83	139.84-145.64	sí	0.058	0.026	alta	sí	0.4784	258.93	clips/pa-055__reformeta__139.05.wav	pendent				9
és a dir	pa-055	analitzada-provisional-automatica	64.64-67.84	63.89-68.59	59.00-67.24	sí	0.032	0.032	alta	sí	0.4784	258.93	clips/pa-055__s-a-dir__63.89.wav	pendent				9
a veure	pa-056	analitzada-provisional-automatica	673.96-675.96	673.21-676.71	674.04-675.76	sí	0.062	0.155	alta	sí	0.5440	143.08	clips/pa-056__a-veure__673.21.wav	pendent				9
bueno	pa-056	analitzada-provisional-automatica	459.72-462.08	458.97-462.83	459.68-462.20	sí	0.073	0.062	alta	sí	0.5440	143.08	clips/pa-056__bueno__458.97.wav	pendent				9
clar	pa-056	analitzada-provisional-automatica	63.20-66.12	62.45-66.87	62.64-66.20	sí	0.016	0.077	alta	sí	0.5440	143.08	clips/pa-056__clar__62.45.wav	pendent				9
crec	pa-056	analitzada-provisional-automatica	347.80-352.28	347.05-353.03	347.28-352.28	sí	0.042	0.042	alta	sí	0.5440	143.08	clips/pa-056__crec__347.05.wav	pendent				9
evidentment	pa-056	analitzada-provisional-automatica	44.20-47.84	43.45-48.59	44.40-48.12	sí	0.088	0.063	alta	sí	0.5440	143.08	clips/pa-056__evidentment__43.45.wav	pendent				9
perquè	pa-056	analitzada-provisional-automatica	32.48-34.32	31.73-35.07	33.08-35.72	sí	0.016	0.041	alta	sí	0.5440	143.08	clips/pa-056__perqu__31.73.wav	pendent				9
tirar endavant	pa-056	analitzada-provisional-automatica	186.28-188.44	185.53-189.19	185.52-188.28	sí	0.040	0.062	alta	sí	0.5440	143.08	clips/pa-056__tirar-endavant__185.53.wav	pendent				9
vull dir	pa-056	analitzada-provisional-automatica	843.40-847.32	842.65-848.07	843.48-847.52	sí	0.156	0.078	alta	sí	0.5440	143.08	clips/pa-056__vull-dir__842.65.wav	pendent				9
és a dir	pa-056	analitzada-provisional-automatica	8.20-10.12	7.45-10.87	8.16-10.24	sí	0.031	0.086	alta	sí	0.5440	143.08	clips/pa-056__s-a-dir__7.45.wav	pendent				9
diguem	pa-057	analitzada-provisional-automatica	930.56-934.56	929.81-935.31	930.48-934.60	sí	0.254	0.183	alta	sí	0.5533	204.87	clips/pa-057__diguem__929.81.wav	pendent				9
llavors	pa-057	analitzada-provisional-automatica	43.60-47.24	42.85-47.99	43.72-47.20	sí	0.023	0.118	alta	sí	0.5533	204.87	clips/pa-057__llavors__42.85.wav	pendent				9
perquè	pa-057	analitzada-provisional-automatica	250.20-253.36	249.45-254.11	250.16-252.80	sí	0.035	0.029	alta	sí	0.5533	204.87	clips/pa-057__perqu__249.45.wav	pendent				9
a nivell	pa-058	analitzada-provisional-automatica	189.12-191.12	188.37-191.87	189.28-191.24	sí	0.050	0.100	alta	sí	0.5861	264.92	clips/pa-058__a-nivell__188.37.wav	pendent				9
bueno	pa-058	analitzada-provisional-automatica	23.92-28.16	23.17-28.91	24.12-28.08	sí	0.035	0.096	alta	sí	0.5861	264.92	clips/pa-058__bueno__23.17.wav	pendent				9
crec	pa-058	analitzada-provisional-automatica	7.44-11.96	6.69-12.71	8.12-11.92	sí	0.043	0.051	alta	sí	0.5861	264.92	clips/pa-058__crec__6.69.wav	pendent				9
diguem	pa-058	analitzada-provisional-automatica	715.96-718.16	715.21-718.91	715.92-718.76	sí	0.062	0.081	alta	sí	0.5861	264.92	clips/pa-058__diguem__715.21.wav	pendent				9
perquè	pa-058	analitzada-provisional-automatica	91.84-95.72	91.09-96.47	94.44-96.92	sí	0.025	0.011	alta	sí	0.5861	264.92	clips/pa-058__perqu__91.09.wav	pendent				9
vull dir	pa-058	analitzada-provisional-automatica	975.88-978.80	975.13-979.55	975.48-978.84	sí	0.125	0.136	alta	sí	0.5861	264.92	clips/pa-058__vull-dir__975.13.wav	pendent				9
és a dir	pa-058	analitzada-provisional-automatica	75.16-79.12	74.41-79.87	75.12-79.20	sí	0.040	0.090	alta	sí	0.5861	264.92	clips/pa-058__s-a-dir__74.41.wav	pendent				9
a nivell	pa-059	analitzada-provisional-automatica	143.68-149.60	142.93-150.35	143.84-149.36	sí	0.045	0.102	alta	sí	0.5560	213.73	clips/pa-059__a-nivell__142.93.wav	pendent				9
clar	pa-059	analitzada-provisional-automatica	37.36-41.48	36.61-42.23	35.08-41.52	sí	0.045	0.038	alta	sí	0.5560	213.73	clips/pa-059__clar__36.61.wav	pendent				9
llavors	pa-059	analitzada-provisional-automatica	362.24-367.64	361.49-368.39	362.08-366.76	sí	0.100	0.057	alta	sí	0.5560	213.73	clips/pa-059__llavors__361.49.wav	pendent				9
perquè	pa-059	analitzada-provisional-automatica	4.84-11.68	4.09-12.43	4.96-7.92	sí	0.040	0.152	alta	sí	0.5560	213.73	clips/pa-059__perqu__4.09.wav	pendent				9
tirar endavant	pa-059	analitzada-provisional-automatica	50.52-54.12	49.77-54.87	50.40-54.00	sí	0.137	0.233	alta	sí	0.5560	213.73	clips/pa-059__tirar-endavant__49.77.wav	pendent				9
vull dir	pa-059	analitzada-provisional-automatica	272.56-278.60	271.81-279.35	272.36-278.68	sí	0.054	0.097	alta	sí	0.5560	213.73	clips/pa-059__vull-dir__271.81.wav	pendent				9
és a dir	pa-059	analitzada-provisional-automatica	488.56-490.92	487.81-491.67	488.48-491.68	sí	0.271	0.091	alta	sí	0.5560	213.73	clips/pa-059__s-a-dir__487.81.wav	pendent				9
a veure	pa-060	analitzada-provisional-automatica	269.32-271.92	268.57-272.67	269.56-274.32	sí	0.052	0.032	alta	sí	0.6257	137.26	clips/pa-060__a-veure__268.57.wav	pendent				9
crec	pa-060	analitzada-provisional-automatica	42.80-49.44	42.05-50.19	47.40-51.20	sí	0.070	0.097	alta	sí	0.6257	137.26	clips/pa-060__crec__42.05.wav	pendent				9
de fet	pa-060	analitzada-provisional-automatica	73.32-77.60	72.57-78.35	73.24-77.60	sí	0.114	0.143	alta	sí	0.6257	137.26	clips/pa-060__de-fet__72.57.wav	pendent				9
perquè	pa-060	analitzada-provisional-automatica	29.80-34.00	29.05-34.75	29.84-35.20	sí	0.047	0.094	alta	sí	0.6257	137.26	clips/pa-060__perqu__29.05.wav	pendent				9
és a dir	pa-060	analitzada-provisional-automatica	208.08-212.88	207.33-213.63	208.00-212.92	sí	0.046	0.117	alta	sí	0.6257	137.26	clips/pa-060__s-a-dir__207.33.wav	pendent				9
a nivell	pa-061	analitzada-provisional-automatica	1357.96-1359.96	1357.21-1360.71	1357.84-1360.04	sí	0.110	0.098	alta	sí	0.7310	245.41	clips/pa-061__a-nivell__1357.21.wav	pendent				9
a veure	pa-061	analitzada-provisional-automatica	579.92-582.64	579.17-583.39	580.32-582.92	sí	0.098	0.052	alta	sí	0.7310	245.41	clips/pa-061__a-veure__579.17.wav	pendent				9
bueno	pa-061	analitzada-provisional-automatica	171.80-173.80	171.05-174.55	170.12-173.00	sí	0.017	0.059	alta	sí	0.7310	245.41	clips/pa-061__bueno__171.05.wav	pendent				9
bé	pa-061	analitzada-provisional-automatica	663.64-666.68	662.89-667.43	663.60-666.76	sí	0.012	0.047	alta	sí	0.7310	245.41	clips/pa-061__b__662.89.wav	pendent				9
clar	pa-061	analitzada-provisional-automatica	377.44-381.44	376.69-382.19	377.52-380.52	sí	0.024	0.030	alta	sí	0.7310	245.41	clips/pa-061__clar__376.69.wav	pendent				9
crec	pa-061	analitzada-provisional-automatica	429.60-434.88	428.85-435.63	431.88-435.08	sí	0.105	0.069	alta	sí	0.7310	245.41	clips/pa-061__crec__428.85.wav	pendent				9
evidentment	pa-061	analitzada-provisional-automatica	673.44-676.68	672.69-677.43	673.44-676.68	sí	0.094	0.114	alta	sí	0.7310	245.41	clips/pa-061__evidentment__672.69.wav	pendent				9
llavors	pa-061	analitzada-provisional-automatica	381.52-384.40	380.77-385.15	382.00-386.12	sí	0.055	0.046	alta	sí	0.7310	245.41	clips/pa-061__llavors__380.77.wav	pendent				9
perquè	pa-061	analitzada-provisional-automatica	117.92-123.00	117.17-123.75	117.92-122.92	sí	0.042	0.075	alta	sí	0.7310	245.41	clips/pa-061__perqu__117.17.wav	pendent				9
bueno	pa-062	analitzada-provisional-automatica	297.92-301.28	297.17-302.03	298.08-302.56	sí	0.112	0.074	alta	sí	0.5339	229.44	clips/pa-062__bueno__297.17.wav	pendent				9
bé	pa-062	analitzada-provisional-automatica	402.36-405.72	401.61-406.47	401.04-403.08	sí	0.074	0.094	alta	sí	0.5339	229.44	clips/pa-062__b__401.61.wav	pendent				9
clar	pa-062	analitzada-provisional-automatica	203.12-207.56	202.37-208.31	204.00-207.80	sí	0.055	0.102	alta	sí	0.5339	229.44	clips/pa-062__clar__202.37.wav	pendent				9
crec	pa-062	analitzada-provisional-automatica	1038.64-1040.72	1037.89-1041.47	1035.40-1041.44	sí	0.037	0.002	alta	sí	0.5339	229.44	clips/pa-062__crec__1037.89.wav	pendent				9
diguem	pa-062	analitzada-provisional-automatica	192.12-196.28	191.37-197.03	192.00-196.20	sí	0.096	0.129	alta	sí	0.5339	229.44	clips/pa-062__diguem__191.37.wav	pendent				9
perquè	pa-062	analitzada-provisional-automatica	74.72-77.44	73.97-78.19	74.76-77.52	sí	0.018	0.217	alta	sí	0.5339	229.44	clips/pa-062__perqu__73.97.wav	pendent				9
és a dir	pa-062	analitzada-provisional-automatica	974.40-979.56	973.65-980.31	974.40-978.16	sí	0.023	0.092	alta	sí	0.5339	229.44	clips/pa-062__s-a-dir__973.65.wav	pendent				9
a nivell	pa-063	analitzada-provisional-automatica	1144.36-1147.32	1143.61-1148.07	1144.60-1147.76	sí	0.116	0.031	alta	sí	0.5948	214.77	clips/pa-063__a-nivell__1143.61.wav	pendent				9
a veure	pa-063	analitzada-provisional-automatica	402.88-407.28	402.13-408.03	402.92-410.80	sí	0.064	0.198	alta	sí	0.5948	214.77	clips/pa-063__a-veure__402.13.wav	pendent				9
bé	pa-063	analitzada-provisional-automatica	106.72-109.60	105.97-110.35	106.84-109.48	sí	0.014	0.037	alta	sí	0.5948	214.77	clips/pa-063__b__105.97.wav	pendent				9
clar	pa-063	analitzada-provisional-automatica	393.24-396.36	392.49-397.11	393.32-396.52	sí	0.091	0.106	alta	sí	0.5948	214.77	clips/pa-063__clar__392.49.wav	pendent				9
doncs	pa-063	analitzada-provisional-automatica	609.80-613.36	609.05-614.11	609.80-613.44	sí	0.086	0.108	alta	sí	0.5948	214.77	clips/pa-063__doncs__609.05.wav	pendent				9
llavors	pa-063	analitzada-provisional-automatica	40.24-44.04	39.49-44.79	40.64-44.04	sí	0.030	0.115	alta	sí	0.5948	214.77	clips/pa-063__llavors__39.49.wav	pendent				9
perquè	pa-063	analitzada-provisional-automatica	143.36-146.04	142.61-146.79	143.28-145.88	sí	0.004	0.047	alta	sí	0.5948	214.77	clips/pa-063__perqu__142.61.wav	pendent				9
a veure	pa-064	analitzada-provisional-automatica	588.36-590.92	587.61-591.67	588.36-590.84	sí	0.008	0.069	alta	sí	0.5412	207.03	clips/pa-064__a-veure__587.61.wav	pendent				9
bé	pa-064	analitzada-provisional-automatica	98.68-103.36	97.93-104.11	98.72-103.44	sí	0.028	0.075	alta	sí	0.5412	207.03	clips/pa-064__b__97.93.wav	pendent				9
clar	pa-064	analitzada-provisional-automatica	110.72-115.12	109.97-115.87	111.04-115.36	sí	0.078	0.035	alta	sí	0.5412	207.03	clips/pa-064__clar__109.97.wav	pendent				9
crec	pa-064	analitzada-provisional-automatica	1336.52-1344.64	1335.77-1345.39	1336.88-1344.40	sí	0.068	0.130	alta	sí	0.5412	207.03	clips/pa-064__crec__1335.77.wav	pendent				9
doncs	pa-064	analitzada-provisional-automatica	457.48-459.68	456.73-460.43	457.36-463.36	sí	0.040	0.079	alta	sí	0.5412	207.03	clips/pa-064__doncs__456.73.wav	pendent				9
evidentment	pa-064	analitzada-provisional-automatica	486.64-490.96	485.89-491.71	485.68-490.84	sí	0.075	0.041	alta	sí	0.5412	207.03	clips/pa-064__evidentment__485.89.wav	pendent				9
o sigui	pa-064	analitzada-provisional-automatica	37.48-39.48	36.73-40.23	36.12-39.28	sí	0.024	0.088	alta	sí	0.5412	207.03	clips/pa-064__o-sigui__36.73.wav	pendent				9
és a dir	pa-064	analitzada-provisional-automatica	259.36-264.28	258.61-265.03	259.44-262.76	sí	0.021	0.042	alta	sí	0.5412	207.03	clips/pa-064__s-a-dir__258.61.wav	pendent				9
bé	pa-065	analitzada-provisional-automatica	139.32-143.92	138.57-144.67	139.20-142.00	sí	0.019	0.082	alta	sí	0.4966	186.90	clips/pa-065__b__138.57.wav	pendent				9
clar	pa-065	analitzada-provisional-automatica	222.04-225.40	221.29-226.15	221.96-226.32	sí	0.029	0.132	alta	sí	0.4966	186.90	clips/pa-065__clar__221.29.wav	pendent				9
crec	pa-065	analitzada-provisional-automatica	1277.60-1280.92	1276.85-1281.67	1277.40-1280.04	sí	0.037	0.093	alta	sí	0.4966	186.90	clips/pa-065__crec__1276.85.wav	pendent				9
doncs	pa-065	analitzada-provisional-automatica	158.24-161.52	157.49-162.27	158.08-161.08	sí	0.057	0.072	alta	sí	0.4966	186.90	clips/pa-065__doncs__157.49.wav	pendent				9
o sigui	pa-065	analitzada-provisional-automatica	192.40-194.40	191.65-195.15	192.16-194.40	sí	0.068	0.163	alta	sí	0.4966	186.90	clips/pa-065__o-sigui__191.65.wav	pendent				9
perquè	pa-065	analitzada-provisional-automatica	129.92-133.76	129.17-134.51	130.00-133.88	sí	0.037	0.106	alta	sí	0.4966	186.90	clips/pa-065__perqu__129.17.wav	pendent				9
vull dir	pa-065	analitzada-provisional-automatica	1401.80-1403.80	1401.05-1404.55	1402.08-1403.88	sí	0.365	0.065	alta	sí	0.4966	186.90	clips/pa-065__vull-dir__1401.05.wav	pendent				9
és a dir	pa-065	analitzada-provisional-automatica	222.04-225.40	221.29-226.15	221.96-226.32	sí	0.036	0.132	alta	sí	0.4966	186.90	clips/pa-065__s-a-dir__221.29.wav	pendent				9
a nivell	pa-066	analitzada-provisional-automatica	25.96-28.96	25.21-29.71	26.04-29.04	sí	0.219	0.118	alta	sí	0.6222	255.47	clips/pa-066__a-nivell__25.21.wav	pendent				9
bueno	pa-066	analitzada-provisional-automatica	357.98-361.82	357.23-362.57	358.08-363.44	sí	0.039	0.053	alta	sí	0.6222	255.47	clips/pa-066__bueno__357.23.wav	pendent				9
bé	pa-066	analitzada-provisional-automatica	10.88-14.96	10.13-15.71	12.92-17.00	sí	0.082	0.110	alta	sí	0.6222	255.47	clips/pa-066__b__10.13.wav	pendent				9
crec	pa-066	analitzada-provisional-automatica	220.38-226.38	219.63-227.13	220.16-226.84	sí	0.156	0.125	alta	sí	0.6222	255.47	clips/pa-066__crec__219.63.wav	pendent				9
de fet	pa-066	analitzada-provisional-automatica	45.12-48.96	44.37-49.71	46.08-49.00	sí	0.088	0.073	alta	sí	0.6222	255.47	clips/pa-066__de-fet__44.37.wav	pendent				9
evidentment	pa-066	analitzada-provisional-automatica	90.50-94.66	89.75-95.41	89.96-94.52	sí	0.045	0.018	alta	sí	0.6222	255.47	clips/pa-066__evidentment__89.75.wav	pendent				9
llavors	pa-066	analitzada-provisional-automatica	16.96-19.60	16.21-20.35	17.12-19.72	sí	0.052	0.118	alta	sí	0.6222	255.47	clips/pa-066__llavors__16.21.wav	pendent				9
perquè	pa-066	analitzada-provisional-automatica	22.56-25.96	21.81-26.71	22.68-25.92	sí	0.056	0.122	alta	sí	0.6222	255.47	clips/pa-066__perqu__21.81.wav	pendent				9
bé	pa-007	analitzada-provisional-contextual	60.00-66.00	59.25-66.75	59.72-65.24	sí	0.688	0.042	normal	sí	0.5486	244.38	clips/pa-007__b__59.25.wav	pendent				7
llavors	pa-007	analitzada-provisional-contextual	658.00-663.00	657.25-663.75	657.94-662.86	sí	0.592	0.088	normal	sí	0.5486	244.38	clips/pa-007__llavors__657.25.wav	pendent				7
diguem	pa-009	analitzada-provisional-contextual	61.00-66.00	60.25-66.75	63.12-66.12	sí	0.583	0.121	normal	sí	0.5436	188.15	clips/pa-009__diguem__60.25.wav	pendent				7
crec	pa-010	analitzada-provisional-contextual	1034.00-1036.00	1033.25-1036.75	1028.60-1036.44	sí	0.695	0.070	normal	sí	0.5825	182.50	clips/pa-010__crec__1033.25.wav	pendent				7
vull dir	pa-041	analitzada-provisional-contextual	265.00-271.00	264.25-271.75	265.28-268.28	sí	0.742	0.118	normal	sí	0.6135	248.90	clips/pa-041__vull-dir__264.25.wav	pendent				7
a nivell	pa-049	analitzada-provisional-contextual	1397.00-1400.00	1396.25-1400.75	1394.12-1398.68	sí	0.570	0.077	normal	sí	0.6630	223.56	clips/pa-049__a-nivell__1396.25.wav	pendent				7
perquè	pa-008	analitzada-provisional-contextual	56.00-59.00	55.25-59.75		no	0.056		alta	sí	0.4359	175.86	clips/pa-008__perqu__55.25.wav	pendent				6
bé	pa-012	analitzada-provisional-contextual	161.00-164.00	160.25-164.75		no	0.272		alta	sí	0.6375	277.14	clips/pa-012__b__160.25.wav	pendent				6
doncs	pa-013	analitzada-provisional-contextual	57.60-61.12	56.85-61.87		no	0.128		alta	sí	0.7568	310.95	clips/pa-013__doncs__56.85.wav	pendent				6
bé	pa-014	analitzada-provisional-contextual	166.40-180.80	165.65-181.55		no	0.197		alta	sí	0.5833	135.72	clips/pa-014__b__165.65.wav	pendent				6
clar	pa-014	analitzada-provisional-contextual	979.20-982.20	978.45-982.95		no	0.451		alta	sí	0.5833	135.72	clips/pa-014__clar__978.45.wav	pendent				6
llavors	pa-014	analitzada-provisional-contextual	229.00-236.60	228.25-237.35		no	0.065		alta	sí	0.5833	135.72	clips/pa-014__llavors__228.25.wav	pendent				6
vull dir	pa-014	analitzada-provisional-contextual	20.40-29.40	19.65-30.15		no	0.116		alta	sí	0.5833	135.72	clips/pa-014__vull-dir__19.65.wav	pendent				6
bé	pa-015	analitzada-provisional-contextual	43.00-48.00	42.25-48.75		no	0.237		alta	sí	0.8210	243.83	clips/pa-015__b__42.25.wav	pendent				6
bueno	pa-017	analitzada-provisional-contextual	824.00-829.00	823.25-829.75		no	0.084		alta	sí	0.5555	216.03	clips/pa-017__bueno__823.25.wav	pendent				6
bé	pa-017	analitzada-provisional-contextual	113.00-117.40	112.25-118.15		no	0.261		alta	sí	0.5555	216.03	clips/pa-017__b__112.25.wav	pendent				6
evidentment	pa-017	analitzada-provisional-contextual	153.00-161.00	152.25-161.75		no	0.177		alta	sí	0.5555	216.03	clips/pa-017__evidentment__152.25.wav	pendent				6
a veure	pa-018	analitzada-provisional-contextual	826.36-832.80	825.61-833.55		no	0.038		alta	sí	0.5857	265.09	clips/pa-018__a-veure__825.61.wav	pendent				6
bueno	pa-018	analitzada-provisional-contextual	23.96-28.16	23.21-28.91		no	0.031		alta	sí	0.5857	265.09	clips/pa-018__bueno__23.21.wav	pendent				6
clar	pa-018	analitzada-provisional-contextual	113.48-116.60	112.73-117.35		no	0.040		alta	sí	0.5857	265.09	clips/pa-018__clar__112.73.wav	pendent				6
doncs	pa-018	analitzada-provisional-contextual	34.28-39.12	33.53-39.87		no	0.031		alta	sí	0.5857	265.09	clips/pa-018__doncs__33.53.wav	pendent				6
llavors	pa-018	analitzada-provisional-contextual	1055.84-1058.12	1055.09-1058.87		no	0.068		alta	sí	0.5857	265.09	clips/pa-018__llavors__1055.09.wav	pendent				6
perquè	pa-019	analitzada-provisional-contextual	102.00-105.00	101.25-105.75		no	0.134		alta	sí	0.5420	176.36	clips/pa-019__perqu__101.25.wav	pendent				6
és a dir	pa-019	analitzada-provisional-contextual	57.00-60.00	56.25-60.75		no	0.106		alta	sí	0.5420	176.36	clips/pa-019__s-a-dir__56.25.wav	pendent				6
a nivell	pa-020	analitzada-provisional-contextual	410.12-413.68	409.37-414.43		no	0.098		alta	sí	0.4873	200.29	clips/pa-020__a-nivell__409.37.wav	pendent				6
bueno	pa-020	analitzada-provisional-contextual	14.32-18.72	13.57-19.47		no	0.029		alta	sí	0.4873	200.29	clips/pa-020__bueno__13.57.wav	pendent				6
vull dir	pa-020	analitzada-provisional-contextual	166.20-170.24	165.45-170.99		no	0.034		alta	sí	0.4873	200.29	clips/pa-020__vull-dir__165.45.wav	pendent				6
a veure	pa-021	analitzada-provisional-contextual	109.52-116.20	108.77-116.95		no	0.099		alta	sí	0.5765	221.14	clips/pa-021__a-veure__108.77.wav	pendent				6
aleshores	pa-021	analitzada-provisional-contextual	13.00-16.12	12.25-16.87		no	0.044		alta	sí	0.5765	221.14	clips/pa-021__aleshores__12.25.wav	pendent				6
bé	pa-021	analitzada-provisional-contextual	258.36-262.84	257.61-263.59		no	0.034		alta	sí	0.5765	221.14	clips/pa-021__b__257.61.wav	pendent				6
bueno	pa-022	analitzada-provisional-contextual	123.60-126.20	122.85-126.95		no	0.057		alta	sí	0.6190	198.67	clips/pa-022__bueno__122.85.wav	pendent				6
bé	pa-022	analitzada-provisional-contextual	271.20-274.60	270.45-275.35		no	0.058		alta	sí	0.6190	198.67	clips/pa-022__b__270.45.wav	pendent				6
