id_persona	forma	interval_escolta	clip	json_small	estat
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	qa-cua-small-json/pa-060__de-fet__72_57.json	pendent-audicio
pa-065	de fet	883.97-888.71	clips/pa-065__de-fet__883.97.wav	qa-cua-small-json/pa-065__de-fet__883_97.json	pendent-audicio
pa-066	de fet	44.37-49.71	clips/pa-066__de-fet__44.37.wav	qa-cua-small-json/pa-066__de-fet__44_37.json	pendent-audicio
pa-001	és a dir	890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	qa-cua-small-json/pa-001__s-a-dir__890_97.json	pendent-audicio
pa-002	és a dir	12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	qa-cua-small-json/pa-002__s-a-dir__12_25.json	pendent-audicio
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	qa-cua-small-json/pa-003__s-a-dir__65_05.json	pendent-audicio
pa-007	és a dir	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	qa-cua-small-json/pa-007__s-a-dir__684_25.json	pendent-audicio
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	qa-cua-small-json/pa-008__s-a-dir__1110_25.json	pendent-audicio
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	qa-cua-small-json/pa-010__s-a-dir__243_25.json	pendent-audicio
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	qa-cua-small-json/pa-011__s-a-dir__48_09.json	pendent-audicio
pa-013	és a dir	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	qa-cua-small-json/pa-013__s-a-dir__579_17.json	pendent-audicio
pa-014	és a dir	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	qa-cua-small-json/pa-014__s-a-dir__95_45.json	pendent-audicio
pa-016	és a dir	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	qa-cua-small-json/pa-016__s-a-dir__85_97.json	pendent-audicio
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	qa-cua-small-json/pa-017__s-a-dir__487_25.json	pendent-audicio
pa-018	és a dir	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	qa-cua-small-json/pa-018__s-a-dir__74_49.json	pendent-audicio
pa-019	és a dir	56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	qa-cua-small-json/pa-019__s-a-dir__56_25.json	pendent-audicio
pa-021	és a dir	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	qa-cua-small-json/pa-021__s-a-dir__32_29.json	pendent-audicio
pa-022	és a dir	11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	qa-cua-small-json/pa-022__s-a-dir__11_49.json	pendent-audicio
pa-023	és a dir	207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	qa-cua-small-json/pa-023__s-a-dir__207_17.json	pendent-audicio
pa-024	és a dir	78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	qa-cua-small-json/pa-024__s-a-dir__78_49.json	pendent-audicio
pa-025	és a dir	64.61-70.95	clips/pa-025__s-a-dir__64.61.wav	qa-cua-small-json/pa-025__s-a-dir__64_61.json	pendent-audicio
pa-026	és a dir	64.09-68.39	clips/pa-026__s-a-dir__64.09.wav	qa-cua-small-json/pa-026__s-a-dir__64_09.json	pendent-audicio
pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	qa-cua-small-json/pa-027__s-a-dir__185_61.json	pendent-audicio
pa-029	és a dir	20.17-25.95	clips/pa-029__s-a-dir__20.17.wav	qa-cua-small-json/pa-029__s-a-dir__20_17.json	pendent-audicio
pa-030	és a dir	193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	qa-cua-small-json/pa-030__s-a-dir__193_13.json	pendent-audicio
pa-033	és a dir	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	qa-cua-small-json/pa-033__s-a-dir__39_29.json	pendent-audicio
pa-034	és a dir	319.09-323.47	clips/pa-034__s-a-dir__319.09.wav	qa-cua-small-json/pa-034__s-a-dir__319_09.json	pendent-audicio
pa-035	és a dir	582.29-589.75	clips/pa-035__s-a-dir__582.29.wav	qa-cua-small-json/pa-035__s-a-dir__582_29.json	pendent-audicio
pa-039	és a dir	209.05-216.11	clips/pa-039__s-a-dir__209.05.wav	qa-cua-small-json/pa-039__s-a-dir__209_05.json	pendent-audicio
pa-041	és a dir	259.25-265.75	clips/pa-041__s-a-dir__259.25.wav	qa-cua-small-json/pa-041__s-a-dir__259_25.json	pendent-audicio
pa-043	és a dir	107.25-111.75	clips/pa-043__s-a-dir__107.25.wav	qa-cua-small-json/pa-043__s-a-dir__107_25.json	pendent-audicio
pa-046	és a dir	135.61-140.07	clips/pa-046__s-a-dir__135.61.wav	qa-cua-small-json/pa-046__s-a-dir__135_61.json	pendent-audicio
pa-048	és a dir	1130.61-1135.31	clips/pa-048__s-a-dir__1130.61.wav	qa-cua-small-json/pa-048__s-a-dir__1130_61.json	pendent-audicio
pa-049	és a dir	907.25-911.75	clips/pa-049__s-a-dir__907.25.wav	qa-cua-small-json/pa-049__s-a-dir__907_25.json	pendent-audicio
pa-055	és a dir	63.89-68.59	clips/pa-055__s-a-dir__63.89.wav	qa-cua-small-json/pa-055__s-a-dir__63_89.json	pendent-audicio
pa-056	és a dir	7.45-10.87	clips/pa-056__s-a-dir__7.45.wav	qa-cua-small-json/pa-056__s-a-dir__7_45.json	pendent-audicio
pa-057	és a dir	19.89-25.51	clips/pa-057__s-a-dir__19.89.wav	qa-cua-small-json/pa-057__s-a-dir__19_89.json	pendent-audicio
pa-058	és a dir	74.41-79.87	clips/pa-058__s-a-dir__74.41.wav	qa-cua-small-json/pa-058__s-a-dir__74_41.json	pendent-audicio
pa-059	és a dir	487.81-491.67	clips/pa-059__s-a-dir__487.81.wav	qa-cua-small-json/pa-059__s-a-dir__487_81.json	pendent-audicio
pa-060	és a dir	207.33-213.63	clips/pa-060__s-a-dir__207.33.wav	qa-cua-small-json/pa-060__s-a-dir__207_33.json	pendent-audicio
pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	qa-cua-small-json/pa-062__s-a-dir__973_65.json	pendent-audicio
pa-064	és a dir	258.61-265.03	clips/pa-064__s-a-dir__258.61.wav	qa-cua-small-json/pa-064__s-a-dir__258_61.json	pendent-audicio
pa-065	és a dir	221.29-226.15	clips/pa-065__s-a-dir__221.29.wav	qa-cua-small-json/pa-065__s-a-dir__221_29.json	pendent-audicio
pa-001	aleshores	10.13-13.63	clips/pa-001__aleshores__10.13.wav	qa-cua-small-json/pa-001__aleshores__10_13.json	pendent-audicio
pa-003	aleshores	18.69-23.19	clips/pa-003__aleshores__18.69.wav	qa-cua-small-json/pa-003__aleshores__18_69.json	pendent-audicio
pa-006	aleshores	513.25-518.75	clips/pa-006__aleshores__513.25.wav	qa-cua-small-json/pa-006__aleshores__513_25.json	pendent-audicio
pa-008	aleshores	1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav	qa-cua-small-json/pa-008__aleshores__1315_25.json	pendent-audicio
pa-011	aleshores	89.33-95.07	clips/pa-011__aleshores__89.33.wav	qa-cua-small-json/pa-011__aleshores__89_33.json	pendent-audicio
pa-012	aleshores	246.25-250.75	clips/pa-012__aleshores__246.25.wav	qa-cua-small-json/pa-012__aleshores__246_25.json	pendent-audicio
pa-014	aleshores	119.85-128.75	clips/pa-014__aleshores__119.85.wav	qa-cua-small-json/pa-014__aleshores__119_85.json	pendent-audicio
pa-021	aleshores	12.25-16.87	clips/pa-021__aleshores__12.25.wav	qa-cua-small-json/pa-021__aleshores__12_25.json	pendent-audicio
pa-025	aleshores	361.93-368.19	clips/pa-025__aleshores__361.93.wav	qa-cua-small-json/pa-025__aleshores__361_93.json	pendent-audicio
pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav	qa-cua-small-json/pa-030__aleshores__392_41.json	pendent-audicio
pa-031	aleshores	54.09-57.91	clips/pa-031__aleshores__54.09.wav	qa-cua-small-json/pa-031__aleshores__54_09.json	pendent-audicio
pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav	qa-cua-small-json/pa-032__aleshores__79_09.json	pendent-audicio
pa-045	aleshores	1193.41-1197.91	clips/pa-045__aleshores__1193.41.wav	qa-cua-small-json/pa-045__aleshores__1193_41.json	pendent-audicio
pa-046	aleshores	527.57-532.55	clips/pa-046__aleshores__527.57.wav	qa-cua-small-json/pa-046__aleshores__527_57.json	pendent-audicio
pa-048	aleshores	701.05-707.67	clips/pa-048__aleshores__701.05.wav	qa-cua-small-json/pa-048__aleshores__701_05.json	pendent-audicio
pa-049	aleshores	110.29-118.67	clips/pa-049__aleshores__110.29.wav	qa-cua-small-json/pa-049__aleshores__110_29.json	pendent-audicio
pa-056	aleshores	393.13-397.83	clips/pa-056__aleshores__393.13.wav	qa-cua-small-json/pa-056__aleshores__393_13.json	pendent-audicio
pa-060	aleshores	147.17-151.47	clips/pa-060__aleshores__147.17.wav	qa-cua-small-json/pa-060__aleshores__147_17.json	pendent-audicio
pa-063	aleshores	151.45-155.23	clips/pa-063__aleshores__151.45.wav	qa-cua-small-json/pa-063__aleshores__151_45.json	pendent-audicio
pa-065	aleshores	170.69-174.71	clips/pa-065__aleshores__170.69.wav	qa-cua-small-json/pa-065__aleshores__170_69.json	pendent-audicio
pa-001	evidentment	1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	qa-cua-small-json/pa-001__evidentment__1067_69.json	pendent-audicio
pa-002	evidentment	205.25-209.75	clips/pa-002__evidentment__205.25.wav	qa-cua-small-json/pa-002__evidentment__205_25.json	pendent-audicio
pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav	qa-cua-small-json/pa-003__evidentment__158_81.json	pendent-audicio
pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	qa-cua-small-json/pa-004__evidentment__522_93.json	pendent-audicio
