tipus	id	fitxer	durada_s	sample_rate_hz	canals	bytes	estat	nota
clip	pa-039::bé::27.77-32.03	clips/pa-039__b__27.77.wav	4.260	16000	1	136398	ok	
clip	pa-040::bé::32.81-38.63	clips/pa-040__b__32.81.wav	5.820	16000	1	186318	ok	
clip	pa-041::bé::130.25-137.75	clips/pa-041__b__130.25.wav	7.500	16000	1	240078	ok	
clip	pa-045::bé::83.49-91.43	clips/pa-045__b__83.49.wav	7.940	16000	1	254158	ok	
clip	pa-046::bé::348.81-352.55	clips/pa-046__b__348.81.wav	3.740	16000	1	119758	ok	
clip	pa-048::bé::495.73-502.83	clips/pa-048__b__495.73.wav	7.100	16000	1	227278	ok	
clip	pa-049::bé::74.21-82.63	clips/pa-049__b__74.21.wav	8.420	16000	1	269518	ok	
clip	pa-053::bé::90.81-95.91	clips/pa-053__b__90.81.wav	5.100	16000	1	163278	ok	
clip	pa-054::bé::128.77-134.43	clips/pa-054__b__128.77.wav	5.660	16000	1	181198	ok	
clip	pa-055::bé::358.57-362.07	clips/pa-055__b__358.57.wav	3.500	16000	1	112078	ok	
clip	pa-056::bé::436.49-441.47	clips/pa-056__b__436.49.wav	4.980	16000	1	159438	ok	
clip	pa-057::bé::203.57-209.03	clips/pa-057__b__203.57.wav	5.460	16000	1	174798	ok	
clip	pa-058::bé::210.61-215.39	clips/pa-058__b__210.61.wav	4.780	16000	1	153038	ok	
clip	pa-059::bé::112.41-118.27	clips/pa-059__b__112.41.wav	5.860	16000	1	187598	ok	
clip	pa-060::bé::415.73-419.91	clips/pa-060__b__415.73.wav	4.180	16000	1	133838	ok	
clip	pa-061::bé::662.89-667.43	clips/pa-061__b__662.89.wav	4.540	16000	1	145358	ok	
clip	pa-062::bé::401.61-406.47	clips/pa-062__b__401.61.wav	4.860	16000	1	155598	ok	
clip	pa-063::bé::105.97-110.35	clips/pa-063__b__105.97.wav	4.380	16000	1	140238	ok	
clip	pa-064::bé::97.93-104.11	clips/pa-064__b__97.93.wav	6.180	16000	1	197838	ok	
clip	pa-065::bé::138.57-144.67	clips/pa-065__b__138.57.wav	6.100	16000	1	195278	ok	
clip	pa-066::bé::10.13-15.71	clips/pa-066__b__10.13.wav	5.580	16000	1	178638	ok	
clip	pa-001::de fet::68.49-71.99	clips/pa-001__de-fet__68.49.wav	3.500	16000	1	112078	ok	
clip	pa-002::de fet::72.25-76.75	clips/pa-002__de-fet__72.25.wav	4.500	16000	1	144078	ok	
clip	pa-003::de fet::0.00-7.19	clips/pa-003__de-fet__0.00.wav	7.190	16000	1	230158	ok	
clip	pa-004::de fet::601.17-607.35	clips/pa-004__de-fet__601.17.wav	6.180	16000	1	197838	ok	
clip	pa-006::de fet::285.25-291.75	clips/pa-006__de-fet__285.25.wav	6.500	16000	1	208078	ok	
clip	pa-008::de fet::799.25-804.75	clips/pa-008__de-fet__799.25.wav	5.500	16000	1	176078	ok	
clip	pa-010::de fet::647.25-652.75	clips/pa-010__de-fet__647.25.wav	5.500	16000	1	176078	ok	
clip	pa-011::de fet::557.25-561.31	clips/pa-011__de-fet__557.25.wav	4.060	16000	1	129998	ok	
clip	pa-016::de fet::318.53-324.03	clips/pa-016__de-fet__318.53.wav	5.500	16000	1	176078	ok	
clip	pa-022::de fet::420.21-424.71	clips/pa-022__de-fet__420.21.wav	4.500	16000	1	144078	ok	
clip	pa-023::de fet::72.49-78.31	clips/pa-023__de-fet__72.49.wav	5.820	16000	1	186318	ok	
clip	pa-024::de fet::482.25-489.07	clips/pa-024__de-fet__482.25.wav	6.820	16000	1	218318	ok	
clip	pa-025::de fet::890.85-894.31	clips/pa-025__de-fet__890.85.wav	3.460	16000	1	110798	ok	
clip	pa-027::de fet::109.45-115.11	clips/pa-027__de-fet__109.45.wav	5.660	16000	1	181198	ok	
clip	pa-028::de fet::31.17-37.07	clips/pa-028__de-fet__31.17.wav	5.900	16000	1	188878	ok	
clip	pa-031::de fet::9.93-14.23	clips/pa-031__de-fet__9.93.wav	4.300	16000	1	137678	ok	
clip	pa-033::de fet::249.69-252.55	clips/pa-033__de-fet__249.69.wav	2.860	16000	1	91598	ok	
clip	pa-040::de fet::70.17-73.51	clips/pa-040__de-fet__70.17.wav	3.340	16000	1	106958	ok	
clip	pa-051::de fet::200.81-205.31	clips/pa-051__de-fet__200.81.wav	4.500	16000	1	144078	ok	
clip	pa-057::de fet::561.25-569.07	clips/pa-057__de-fet__561.25.wav	7.820	16000	1	250318	ok	
clip	pa-060::de fet::72.57-78.35	clips/pa-060__de-fet__72.57.wav	5.780	16000	1	185038	ok	
clip	pa-065::de fet::883.97-888.71	clips/pa-065__de-fet__883.97.wav	4.740	16000	1	151758	ok	
clip	pa-066::de fet::44.37-49.71	clips/pa-066__de-fet__44.37.wav	5.340	16000	1	170958	ok	
clip	pa-001::és a dir::890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	3.500	16000	1	112078	ok	
clip	pa-002::és a dir::12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	5.500	16000	1	176078	ok	
clip	pa-003::és a dir::65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	5.460	16000	1	174798	ok	
clip	pa-007::és a dir::684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	3.500	16000	1	112078	ok	
clip	pa-008::és a dir::1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	4.500	16000	1	144078	ok	
clip	pa-010::és a dir::243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	6.300	16000	1	201678	ok	
clip	pa-011::és a dir::48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	6.580	16000	1	210638	ok	
clip	pa-013::és a dir::579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	7.580	16000	1	242638	ok	
clip	pa-014::és a dir::95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	11.900	16000	1	380878	ok	
clip	pa-016::és a dir::85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	4.620	16000	1	147918	ok	
clip	pa-017::és a dir::487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	7.500	16000	1	240078	ok	
clip	pa-018::és a dir::74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	5.340	16000	1	170958	ok	
clip	pa-019::és a dir::56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	4.500	16000	1	144078	ok	
clip	pa-021::és a dir::32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	6.260	16000	1	200398	ok	
clip	pa-022::és a dir::11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	6.420	16000	1	205518	ok	
