forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota
bé	pa-035	715.81-720.31	clips/pa-035__b__715.81.wav	no	4.500	0.5714	-58.40	-31.25	-21.99	0.0344	0.3454	234.54	132.05	970.17	3420.01	7	0.260	65	descriptor orientatiu; no és anotació fonètica
bé	pa-036	69.45-75.15	clips/pa-036__b__69.45.wav	sí	5.700	0.6761	-49.84	-29.25	-21.80	0.0360	0.2019	264.50	174.81	1083.57	2358.62	19	0.050	96	descriptor orientatiu; no és anotació fonètica
bé	pa-037	105.29-124.79	clips/pa-037__b__105.29.wav	sí	19.500	0.4795	-64.36	-35.59	-23.09	0.0255	0.1628	232.63	147.67	1094.50	2225.80	44	0.080	229	descriptor orientatiu; no és anotació fonètica
bé	pa-038	26.77-31.71	clips/pa-038__b__26.77.wav	sí	4.940	0.5569	-63.38	-33.03	-22.07	0.0368	0.1909	202.18	48.47	1192.19	2369.54	10	0.120	67	descriptor orientatiu; no és anotació fonètica
bé	pa-039	27.77-32.03	clips/pa-039__b__27.77.wav	sí	4.260	0.3821	-66.10	-40.98	-25.39	0.0579	0.3022	154.90	81.55	1638.45	3159.50	10	0.140	43	descriptor orientatiu; no és anotació fonètica
bé	pa-040	32.81-38.63	clips/pa-040__b__32.81.wav	no	5.820	0.7690	-42.27	-28.76	-21.51	0.0438	0.4642	202.99	110.08	1211.82	4340.10	15	0.040	112	descriptor orientatiu; no és anotació fonètica
bé	pa-041	130.25-137.75	clips/pa-041__b__130.25.wav	sí	7.500	0.5882	-50.19	-31.17	-20.12	0.0459	0.1839	197.00	130.83	1046.84	2363.73	18	0.040	111	descriptor orientatiu; no és anotació fonètica
bé	pa-045	83.49-91.43	clips/pa-045__b__83.49.wav	sí	7.940	0.4444	-47.76	-38.55	-25.63	0.0485	0.1933	231.82	120.16	1229.31	2019.94	15	0.060	85	descriptor orientatiu; no és anotació fonètica
bé	pa-046	348.81-352.55	clips/pa-046__b__348.81.wav	sí	3.740	0.3710	-51.07	-40.27	-23.39	0.0462	0.1518	250.30	75.44	1304.43	2317.95	7	0.070	34	descriptor orientatiu; no és anotació fonètica
bé	pa-048	495.73-502.83	clips/pa-048__b__495.73.wav	sí	7.100	0.3729	-52.28	-40.77	-26.90	0.0255	0.1692	170.15	137.36	1161.09	2345.15	22	0.080	65	descriptor orientatiu; no és anotació fonètica
bé	pa-049	74.21-82.63	clips/pa-049__b__74.21.wav	sí	8.420	0.5667	-44.24	-30.90	-24.47	0.0407	0.1664	231.57	108.17	1123.80	2620.75	21	0.060	122	descriptor orientatiu; no és anotació fonètica
bé	pa-053	90.81-95.91	clips/pa-053__b__90.81.wav	no	5.100	0.6417	-40.94	-25.54	-13.82	0.0282	0.1002	151.33	156.90	990.24	1513.84	7	0.120	81	descriptor orientatiu; no és anotació fonètica
bé	pa-054	128.77-134.43	clips/pa-054__b__128.77.wav	no	5.660	0.5816	-40.57	-28.28	-15.55	0.0360	0.1787	206.42	128.97	1160.07	2627.10	5	0.060	82	descriptor orientatiu; no és anotació fonètica
bé	pa-055	358.57-362.07	clips/pa-055__b__358.57.wav	no	3.500	0.1379	-61.58	-54.74	-29.53	0.0515	0.2479	244.00	116.37	2092.09	2512.80	3	0.900	12	descriptor orientatiu; no és anotació fonètica
bé	pa-056	436.49-441.47	clips/pa-056__b__436.49.wav	sí	4.980	0.3387	-63.33	-50.54	-26.11	0.0407	0.1834	159.29	114.07	1709.65	2299.60	8	0.040	43	descriptor orientatiu; no és anotació fonètica
bé	pa-057	203.57-209.03	clips/pa-057__b__203.57.wav	sí	5.460	0.6985	-45.73	-31.20	-25.08	0.0391	0.2936	168.65	187.91	1124.46	2664.35	16	0.060	92	descriptor orientatiu; no és anotació fonètica
