id_persona	estat	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors	formes_territorials	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota
pa-051	analitzada-provisional-contextual	635	249	0.3921	0.0326	bueno=2;clar=2;llavors=1;de fet=1;perquè=5	comú=1;comunals=1	108	11	5	13	recompte ASR; validar contra àudio
pa-052	analitzada-provisional-contextual	169	86	0.5089	0.0309	bueno=1;clar=1;llavors=1;perquè=2		11	10	2	2	recompte ASR; validar contra àudio
pa-053	analitzada-provisional-contextual	466	191	0.4099	0.0175	bé=1;llavors=7;perquè=2	Escaldes=1	47	18	5	7	recompte ASR; validar contra àudio
pa-054	analitzada-provisional-contextual	624	272	0.4359	0.0247	bé=4;bueno=2;llavors=4;a veure=1;perquè=3	Escaldes=3;Sant Julià=1	91	7	1	9	recompte ASR; validar contra àudio
pa-055	analitzada-provisional-automatica	4391	1062	0.2419	0.0805	bé=17;bueno=27;clar=11;doncs=16;llavors=14;és a dir=1;o sigui=5;vull dir=2;a veure=8;evidentment=1;perquè=32;per tant=1;a nivell=3;no?=31	copríncep=1;comunals=1;Ordino=1;Escaldes=3;Massana=1;Sant Julià=1	542	186	51	120	recompte ASR; validar contra àudio
pa-056	analitzada-provisional-automatica	3011	753	0.2501	0.0640	bé=8;bueno=5;clar=7;doncs=9;llavors=1;aleshores=3;és a dir=10;o sigui=1;vull dir=1;a veure=3;evidentment=4;perquè=27;per tant=10;no?=10	parròquia=1;Canillo=2;Ordino=9;Escaldes=1;Massana=1;Sant Julià=2	396	86	69	103	recompte ASR; validar contra àudio
pa-057	analitzada-provisional-automatica	3246	837	0.2579	0.0749	bé=12;bueno=1;clar=1;doncs=10;llavors=7;de fet=1;és a dir=1;o sigui=1;a veure=1;diguem=1;perquè=20;a nivell=4;no?=3	andorrana=2;comuns=1;Ordino=1	428	109	9	58	recompte ASR; validar contra àudio
pa-058	analitzada-provisional-automatica	6169	1278	0.2072	0.0850	bé=6;bueno=36;clar=12;doncs=29;llavors=2;és a dir=3;vull dir=1;a veure=5;diguem=2;perquè=50;a nivell=15;no?=1	parròquia=3;comú=1;comuns=1;copríncep=10;coprínceps=5;Canillo=1;Escaldes=4;Sant Julià=1	670	143	82	101	recompte ASR; validar contra àudio
pa-059	analitzada-provisional-automatica	2172	562	0.2587	0.0883	bé=5;bueno=4;clar=5;doncs=6;llavors=2;és a dir=1;o sigui=1;vull dir=5;evidentment=3;perquè=23;per tant=1;a nivell=9	comú=1;copríncep=1;Escaldes=5;Sant Julià=1	281	63	50	41	recompte ASR; validar contra àudio
pa-060	analitzada-provisional-automatica	1361	433	0.3181	0.0551	bé=1;bueno=4;doncs=2;llavors=1;aleshores=3;de fet=2;és a dir=4;vull dir=20;a veure=3;diguem=1;perquè=10;a nivell=4	parròquia=1;Canillo=3	175	62	9	15	recompte ASR; validar contra àudio
pa-061	analitzada-provisional-automatica	3278	934	0.2849	0.0709	bé=6;bueno=12;clar=7;doncs=5;llavors=3;o sigui=7;vull dir=2;a veure=1;evidentment=2;perquè=25;a nivell=1;no?=9		368	31	12	47	recompte ASR; validar contra àudio
pa-062	analitzada-provisional-automatica	3413	978	0.2866	0.0849	bé=4;bueno=1;clar=3;doncs=3;és a dir=2;o sigui=4;vull dir=10;diguem=2;evidentment=4;perquè=31;per tant=1;no?=1	padrí=3;Canillo=1	411	71	9	63	recompte ASR; validar contra àudio
pa-063	analitzada-provisional-automatica	3632	957	0.2635	0.0800	bé=12;bueno=1;clar=3;doncs=7;llavors=5;aleshores=4;o sigui=6;vull dir=1;a veure=3;perquè=51;per tant=5;a nivell=2;no?=2		425	52	38	60	recompte ASR; validar contra àudio
pa-064	analitzada-provisional-automatica	2882	753	0.2613	0.0774	bé=6;clar=3;doncs=7;llavors=5;és a dir=7;o sigui=7;a veure=3;evidentment=1;perquè=20;per tant=3;no?=1	veguer=1;padrí=1;Massana=2	396	60	23	44	recompte ASR; validar contra àudio
pa-065	analitzada-provisional-automatica	4072	988	0.2426	0.1187	bé=6;bueno=3;clar=13;doncs=23;llavors=8;aleshores=15;de fet=1;és a dir=7;o sigui=4;vull dir=1;a veure=6;perquè=34;per tant=6;a nivell=2	comú=1;santuari=4;Canillo=3	550	41	48	75	recompte ASR; validar contra àudio
pa-066	analitzada-provisional-automatica	1422	502	0.3530	0.0403	bé=3;bueno=1;llavors=2;de fet=1;evidentment=2;perquè=5;per tant=2;a nivell=1;no?=1	aiguats=1;Escaldes=4;Sant Julià=1	172	65	10	19	recompte ASR; validar contra àudio
