id_parlant	nom_public	n_registres_font	n_formes	n_ocurrencies_asr	formes	estat
spk-018	Eudald Guillamet	1	16	100	Escaldes,a nivell,a veure,aleshores,bueno,bé,clar,comunal,doncs,evidentment,llavors,no?,o sigui,perquè,santuari,vull dir	perfil canònic ASR; pendent d'audició
spk-019	Francina Pons	1	15	44	Escaldes,Ordino,Sant Julià,aiguats,bé,comunal,comú,de fet,doncs,evidentment,no?,parròquia,per tant,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-020	Gabriel Dallerès Codina	2	16	147	Ordino,a nivell,a veure,andorrana,bueno,bé,clar,comuns,de fet,diguem,doncs,llavors,no?,o sigui,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-021	Gualbert Osorio	1	13	39	a nivell,a veure,aleshores,bueno,bé,doncs,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-022	Guillem Areny Argelich	1	19	153	Massana,Ordino,Sant Julià,a nivell,aviam,bueno,bé,clar,comunal,comunals,comuns,comú,copríncep,diguem,doncs,evidentment,no?,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-023	Irene Clua	1	3	4	bueno,doncs,és a dir	perfil canònic ASR; pendent d'audició
spk-024	Jaume Bartumeu Cassany	1	25	134	Escaldes,Massana,Ordino,Sant Julià,a veure,aleshores,bueno,bé,clar,comunals,comuns,copríncep,coprínceps,de fet,diguem,doncs,evidentment,no?,o sigui,parròquia,per tant,perquè,veguer,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-025	Joan Santamaria Terré	1	14	56	Canillo,Ordino,Sant Julià,bueno,bé,clar,comú,diguem,doncs,evidentment,no?,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-026	Jordi Farràs Forné	1	22	186	Canillo,Escaldes,Massana,Ordino,Sant Julià,a nivell,a veure,bueno,bé,clar,comú,copríncep,de fet,evidentment,llavors,no?,parròquia,per tant,perquè,veguer,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-027	Jordi Marquet	1	14	70	Canillo,bueno,bé,clar,diguem,doncs,evidentment,no?,o sigui,padrí,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-028	Jordi Mas Torres	1	17	55	Canillo,Escaldes,Ordino,Sant Julià,a nivell,a veure,bueno,bé,clar,comú,copríncep,doncs,evidentment,llavors,per tant,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-029	Jordi Torres Alís	1	7	13	bé,de fet,doncs,evidentment,o sigui,parròquia,perquè	perfil canònic ASR; pendent d'audició
spk-030	Josep Areny	1	13	107	Canillo,aleshores,bueno,bé,clar,diguem,doncs,evidentment,llavors,no?,o sigui,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-031	Josep Areny Fité	1	13	129	Canillo,a veure,aleshores,bueno,bé,clar,doncs,evidentment,no?,parròquia,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-032	Josep Casal	1	7	13	bueno,clar,comunals,comú,de fet,llavors,perquè	perfil canònic ASR; pendent d'audició
spk-033	Josep Garrallà Rossell	1	11	50	Canillo,Massana,a veure,aleshores,bueno,bé,clar,de fet,doncs,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-034	Josep Marsal Riba	1	12	23	Escaldes,a veure,bueno,bé,clar,comuns,comú,doncs,evidentment,parròquia,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-035	Ladislau Baró Solà	1	17	154	Escaldes,Sant Julià,a nivell,a veure,bueno,bé,clar,de fet,doncs,evidentment,llavors,no?,o sigui,parròquia,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-036	Ludmilla Lacueva	1	15	44	Canillo,Escaldes,Ordino,Sant Julià,bé,clar,comunal,comunals,comuns,comú,doncs,llavors,o sigui,parròquia,per tant	perfil canònic ASR; pendent d'audició
spk-037	Maria Reig Moles	1	19	104	Canillo,Escaldes,a nivell,a veure,bueno,bé,clar,comuns,copríncep,coprínceps,diguem,doncs,llavors,no?,o sigui,parròquia,perquè,veguer,vull dir	perfil canònic ASR; pendent d'audició
