id_a	id_b	distancia_mad	features	nota
pa-013	pa-015	18.245	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-035	3.743	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-032	6.044	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-028	6.125	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-015	pa-053	16.350	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-015	pa-052	18.243	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-020	2.338	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-038	2.899	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-040	2.959	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-059	0.318	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-020	2.251	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-031	2.274	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-065	4.991	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-062	6.079	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-055	6.435	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-057	1.422	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-029	1.634	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-033	2.357	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-020	pa-059	2.359	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-021	pa-043	10.549	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-011	pa-021	13.944	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-022	pa-027	2.667	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-022	pa-031	3.046	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-022	pa-064	3.051	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-023	pa-060	0.213	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-023	pa-058	2.208	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-023	pa-038	2.857	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-024	pa-058	3.076	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-024	pa-030	3.368	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-024	pa-027	3.584	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-025	pa-031	3.052	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-025	pa-059	3.504	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-025	pa-060	3.512	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-026	pa-066	6.050	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-026	pa-055	7.133	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-026	7.890	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-027	pa-056	1.669	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-027	pa-030	1.788	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-027	pa-059	2.282	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-028	pa-035	4.853	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-028	pa-038	5.700	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-029	pa-057	0.818	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-029	pa-033	2.273	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-030	pa-056	0.699	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-030	pa-037	2.172	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-031	pa-034	2.028	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-031	pa-059	2.181	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-032	pa-058	2.765	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-023	pa-032	3.250	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-033	pa-057	2.404	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-034	pa-059	2.157	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-034	2.337	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-025	pa-035	4.534	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-031	pa-035	4.589	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-036	pa-064	2.112	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-022	pa-036	3.210	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
