id	persona	forma	clip	f0_hz	f1_hz	f2_hz	f3_hz	pausa_mediana_s	veu_proporcio	centroid_median_hz	estat
lead-cg-001-xavier-espot::per tant	Xavier Espot	per tant	clips/xavier-espot__per-tant__91.48.wav		318.58	2264.87	3292.42	0.12	0.5312	1133.01	mesura instrumental; pendent d’audició
lead-cg-001-xavier-espot::perquè	Xavier Espot	perquè	clips/xavier-espot__perqu__37.88.wav		539.1	1500.48	2589.16	0.05	0.5175	1570.33	mesura instrumental; pendent d’audició
lead-cg-002-pere-lopez::andorrana	Pere López	andorrana	clips/pere-lopez__andorrana__32.80.wav					0.08	0.4723	1983.23	mesura instrumental; pendent d’audició
lead-cg-002-pere-lopez::perquè	Pere López	perquè	clips/pere-lopez__perqu__48.40.wav					0.06	0.506	1964.23	mesura instrumental; pendent d’audició
lead-cg-003-roser-sune::a nivell	Roser Suñé	a nivell	clips/roser-sune__a-nivell__229.92.wav					0.05	0.7033	1763.09	mesura instrumental; pendent d’audició
lead-cg-003-roser-sune::doncs	Roser Suñé	doncs	clips/roser-sune__doncs__445.36.wav					0.05	0.6061	2359.32	mesura instrumental; pendent d’audició
lead-cg-003-roser-sune::és a dir	Roser Suñé	és a dir	clips/roser-sune__s-a-dir__313.20.wav					0.04	0.8122	1932.36	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::a nivell	Carine Montaner	a nivell	clips/carine-montaner__a-nivell__113.72.wav					0.06	0.592	1336.54	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::a veure	Carine Montaner	a veure	clips/carine-montaner__a-veure__691.44.wav					0.1	0.4927	1035.84	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::bé	Carine Montaner	bé	clips/carine-montaner__b__82.12.wav					0.12	0.3838	1384.04	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::bueno	Carine Montaner	bueno	clips/carine-montaner__bueno__1120.36.wav					0.12	0.4143	1253.02	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::clar	Carine Montaner	clar	clips/carine-montaner__clar__215.04.wav					0.16	0.2867	1222.79	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::comú	Carine Montaner	comú	clips/carine-montaner__com__622.64.wav					0.1	0.6208	1055.27	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::comunal	Carine Montaner	comunal	clips/carine-montaner__comunal__610.92.wav					0.08	0.589	1043.26	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::comunals	Carine Montaner	comunals	clips/carine-montaner__comunals__582.56.wav					0.08	0.5877	969.47	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::de fet	Carine Montaner	de fet	clips/carine-montaner__de-fet__777.08.wav					0.08	0.5529	1140.08	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::diguem	Carine Montaner	diguem	clips/carine-montaner__diguem__506.60.wav					0.06	0.7389	1047.05	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::doncs	Carine Montaner	doncs	clips/carine-montaner__doncs__105.16.wav					0.09	0.3795	1064.19	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::evidentment	Carine Montaner	evidentment	clips/carine-montaner__evidentment__868.60.wav					0.06	0.5483	1086.36	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::llavors	Carine Montaner	llavors	clips/carine-montaner__llavors__711.88.wav					0.1	0.4541	1442.23	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::Massana	Carine Montaner	Massana	clips/carine-montaner__massana__2676.84.wav					0.07	0.7588	1145.23	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::no?	Carine Montaner	no?	clips/carine-montaner__no__245.12.wav					0.12	0.3874	1112.32	mesura instrumental; pendent d’audició
