forma	parlant	ocurrencies	segments_temporals	conf_min_segment	prioritat
perquè	pa-010	15	197.40-200.80,325.60-330.80,346.80-350.20,364.00-369.00,515.00-523.00,565.00-571.00,633.00-637.00,709.00-713.00	0.032	alta
perquè	pa-011	8	28.36-30.80,79.96-82.88,201.92-204.64,253.36-256.08,389.20-391.60,424.16-428.48,506.72-510.24,528.80-532.80	0.090	alta
perquè	pa-012	2	370.00-374.00,588.00-591.00	0.398	alta
perquè	pa-013	3	434.64-441.28,458.48-466.96,918.56-935.28	0.144	alta
perquè	pa-014	11	106.60-115.00,166.40-180.80,187.80-195.20,282.80-291.00,439.20-454.20,542.20-553.20,563.20-574.20,749.20-757.20	0.085	alta
perquè	pa-015	2	87.00-92.00,302.00-304.00	0.369	alta
perquè	pa-016	18	80.52-84.64,133.52-139.24,143.40-148.28,206.56-214.80,248.36-254.92,300.64-307.56,319.28-323.28,391.08-394.36	0.050	alta
perquè	pa-017	23	5.00-11.40,26.80-33.60,153.00-161.00,161.00-173.00,187.00-195.00,209.00-214.00,223.00-228.00,267.00-271.00	0.033	alta
perquè	pa-018	48	91.84-95.72,99.36-102.80,171.64-173.36,194.72-198.84,204.64-209.04,209.12-211.32,223.16-228.64,282.44-285.48	0.038	alta
perquè	pa-019	15	102.00-105.00,188.00-190.00,203.00-205.00,231.00-234.00,258.00-262.00,280.00-285.00,301.00-304.00,421.00-423.00	0.134	alta
perquè	pa-020	21	10.16-12.16,248.12-251.28,297.44-299.64,311.12-313.48,387.52-389.92,421.16-424.96,450.12-454.64,489.28-493.16	0.012	alta
perquè	pa-021	20	16.20-18.92,37.88-41.16,41.24-45.04,67.72-70.32,155.72-159.16,163.80-167.48,283.60-288.96,351.76-356.72	0.035	alta
perquè	pa-022	16	112.44-114.92,150.76-154.16,154.24-156.24,185.92-188.88,205.64-210.40,221.08-224.00,224.08-226.48,239.36-244.40	0.040	alta
perquè	pa-023	11	29.84-34.04,116.16-118.88,276.24-278.28,301.68-306.36,341.04-344.48,394.48-397.00,422.32-425.20,504.88-508.16	0.061	alta
perquè	pa-024	24	226.28-229.60,340.64-344.00,564.40-569.20,702.84-704.84,747.48-753.48,819.28-823.16,886.04-888.68,970.52-979.44	0.006	alta
perquè	pa-025	39	37.92-39.68,194.48-200.84,217.40-223.00,359.48-362.60,394.56-398.56,398.64-405.00,419.92-428.92,510.20-516.64	0.032	alta
perquè	pa-026	33	151.28-155.92,248.84-252.48,256.56-260.20,288.28-291.20,291.28-294.88,357.60-361.08,406.48-408.60,411.76-415.60	0.056	alta
perquè	pa-027	16	9.56-13.64,66.04-68.04,71.08-74.68,88.44-92.36,181.00-186.28,239.72-245.48,247.56-252.44,280.52-286.76	0.050	alta
perquè	pa-028	7	143.64-147.24,179.24-183.16,276.64-279.24,291.08-294.40,320.68-323.40,340.92-345.84,378.04-382.44	0.047	alta
perquè	pa-029	21	250.44-253.68,283.32-285.76,409.04-413.16,430.80-435.36,463.76-467.32,485.48-489.44,513.24-515.16,551.12-553.44	0.033	alta
perquè	pa-030	25	32.64-35.64,172.92-176.56,207.76-210.72,253.08-255.36,347.20-352.24,385.60-388.72,406.56-408.56,501.60-504.40	0.022	alta
perquè	pa-031	16	33.44-36.72,107.72-112.40,133.56-139.44,151.88-155.24,170.40-175.12,204.92-208.44,270.04-272.04,292.56-295.04	0.060	alta
perquè	pa-032	4	9.96-14.32,288.00-290.88,308.80-311.60,351.20-357.32	0.042	alta
perquè	pa-033	4	19.64-22.68,55.24-56.92,133.52-136.36,197.84-201.44	0.078	alta
perquè	pa-034	31	52.60-55.72,94.80-99.64,106.12-108.72,257.92-259.92,281.68-284.60,372.64-376.92,382.76-387.92,395.04-398.72	0.025	alta
perquè	pa-035	7	181.88-185.60,344.24-347.04,424.56-433.60,644.24-649.76,719.68-724.44,813.52-815.44,924.84-929.40	0.026	alta
perquè	pa-036	21	16.40-20.00,106.40-109.40,124.40-131.80,148.40-153.80,175.80-179.60,235.00-243.00,243.00-250.00,250.00-257.60	0.099	alta
perquè	pa-037	7	187.04-198.16,246.32-254.40,265.00-274.00,285.56-290.96,387.08-397.16,414.76-425.36,449.00-460.92	0.012	alta
perquè	pa-038	16	279.88-282.76,330.20-337.84,370.00-375.40,426.84-434.60,452.40-456.16,472.36-476.80,692.28-697.88,1042.76-1046.24	0.019	alta
perquè	pa-039	13	18.84-20.56,36.68-40.12,73.44-76.40,222.20-227.16,234.40-238.20,252.92-256.16,278.68-282.88,299.16-303.44	0.034	alta
perquè	pa-040	5	25.96-29.32,75.12-78.48,133.08-135.72,167.20-169.16,199.68-204.16	0.040	alta
perquè	pa-041	18	70.00-76.00,87.00-91.00,91.00-103.00,137.00-142.00,173.00-180.00,197.00-201.00,237.00-242.00,278.00-285.00	0.031	alta
perquè	pa-042	4	29.88-32.68,205.88-208.56,333.84-338.44,341.20-346.16	0.088	alta
perquè	pa-045	16	176.08-182.88,270.24-275.40,280.12-283.68,319.64-322.24,341.68-345.16,564.32-566.68,648.20-651.28,656.80-659.64	0.027	alta
perquè	pa-046	18	141.60-146.04,173.28-176.96,185.76-188.36,222.60-227.12,253.44-256.68,282.00-285.20,314.24-317.24,449.24-452.60	0.011	alta
perquè	pa-048	24	187.68-190.44,243.32-246.08,298.80-303.56,354.64-359.60,427.04-432.76,436.52-440.52,440.60-448.08,464.40-467.24	0.027	alta
perquè	pa-049	36	69.60-74.96,171.80-177.52,238.92-245.60,275.08-281.56,293.00-299.04,350.12-359.04,359.04-365.96,399.80-404.36	0.024	alta
perquè	pa-051	5	124.60-127.60,132.84-134.84,195.88-199.40,254.52-258.56,260.88-263.76	0.071	alta
perquè	pa-052	2	93.40-95.72,98.24-100.40	0.056	alta
perquè	pa-053	2	114.68-120.04,188.60-189.92	0.103	alta
perquè	pa-054	3	81.20-84.68,176.24-178.60,227.88-231.80	0.097	alta
perquè	pa-055	32	149.28-152.36,248.76-252.44,257.52-260.32,292.00-294.84,357.24-359.24,406.88-408.88,409.88-413.88,429.16-432.76	0.014	alta
perquè	pa-056	27	32.48-34.32,172.60-176.20,209.24-211.24,252.72-255.08,347.80-352.28,385.40-388.60,404.64-408.56,501.40-503.88	0.016	alta
perquè	pa-057	18	250.20-253.36,283.04-285.80,409.64-415.40,430.64-435.28,463.48-468.28,485.28-489.28,508.56-515.12,547.00-553.12	0.035	alta
perquè	pa-058	49	91.84-95.72,100.44-102.84,171.52-173.52,194.60-196.88,204.60-209.00,209.08-211.28,222.92-228.60,282.20-285.36	0.025	alta
perquè	pa-059	23	4.84-11.68,27.04-31.24,152.88-161.28,161.28-165.92,189.92-195.40,209.32-214.24,223.00-227.96,266.88-270.40	0.040	alta
perquè	pa-060	10	29.80-34.00,116.16-118.92,276.24-278.24,301.84-309.16,341.12-344.52,424.08-429.72,504.80-508.04,516.28-518.76	0.047	alta
perquè	pa-061	24	117.92-123.00,258.16-260.84,286.96-288.96,359.32-362.32,366.24-369.96,377.44-381.44,478.92-481.88,507.12-511.76	0.042	alta
perquè	pa-062	31	74.72-77.44,145.44-148.12,177.12-179.36,181.84-184.80,252.24-255.20,255.28-261.16,413.80-417.48,421.64-424.60	0.018	alta
perquè	pa-063	51	143.36-146.04,215.80-219.48,301.20-303.44,309.76-314.52,333.92-337.04,339.48-343.20,345.92-348.00,367.16-369.36	0.004	alta
perquè	pa-064	20	28.32-32.52,127.72-133.40,147.20-152.92,255.12-259.28,266.44-272.76,324.36-329.00,493.12-495.92,505.32-508.80	0.008	alta
perquè	pa-065	34	129.92-133.76,149.20-151.64,169.08-171.36,196.68-198.48,410.92-414.80,432.80-438.28,522.72-526.04,548.60-553.12	0.037	alta
perquè	pa-066	5	22.56-25.96,32.84-40.16,48.96-52.96,186.26-188.26,291.58-294.58	0.056	alta
a nivell	pa-001	3	136.12-138.28,481.08-484.68,514.92-518.44	0.044	alta
a nivell	pa-002	2	715.00-724.00,724.00-728.00	0.237	alta
a nivell	pa-003	1	180.92-188.04	0.171	alta
a nivell	pa-016	4	334.56-339.64,462.28-466.52,705.96-712.12,754.08-761.84	0.071	alta
a nivell	pa-017	9	144.00-149.00,352.00-357.00,368.00-376.00,416.00-422.00,472.00-478.00,604.00-612.00,612.00-619.00,724.00-732.00	0.169	alta
a nivell	pa-018	13	189.20-191.12,238.64-242.12,250.32-254.88,384.36-388.16,394.64-398.64,447.24-451.44,804.68-808.68,870.96-877.60	0.044	alta
a nivell	pa-019	3	123.00-127.00,683.00-686.00,779.00-781.00	0.211	alta
a nivell	pa-020	2	410.12-413.68,462.88-466.96	0.098	alta
a nivell	pa-023	3	419.32-422.24,468.12-474.48,483.88-487.68	0.043	alta
a nivell	pa-024	1	1548.68-1552.16	0.056	alta
a nivell	pa-026	3	39.00-41.00,762.68-764.68,1871.24-1875.72	0.071	alta
a nivell	pa-029	3	417.84-420.72,1046.40-1051.72,1051.80-1055.20	0.072	alta
a nivell	pa-033	1	7.36-10.04	0.138	alta
a nivell	pa-034	8	144.56-148.16,148.24-151.88,154.32-157.48,157.56-160.36,418.64-420.64,450.84-455.44,500.76-503.08,661.48-663.52	0.039	alta
a nivell	pa-036	1	387.20-395.20	0.239	alta
a nivell	pa-038	2	456.24-459.40,1402.08-1404.16	0.061	alta
a nivell	pa-045	1	625.60-628.32	0.070	alta
a nivell	pa-048	2	436.52-440.52,1304.84-1308.08	0.070	alta
a nivell	pa-049	1	1397.00-1400.00	0.570	normal
a nivell	pa-055	3	38.84-43.32,760.80-763.88,1870.80-1875.80	0.075	alta
a nivell	pa-057	4	417.88-420.76,446.48-457.48,1051.80-1055.12,1055.20-1056.84	0.094	alta
a nivell	pa-058	13	189.12-191.12,238.56-242.08,250.20-254.80,384.36-388.16,394.64-398.60,448.80-453.36,804.64-806.64,870.96-874.76	0.050	alta
a nivell	pa-059	9	143.68-149.60,354.56-357.00,371.48-375.88,416.44-419.08,476.04-478.48,609.24-614.24,614.24-619.24,730.76-732.04	0.045	alta
a nivell	pa-060	4	202.68-207.88,419.24-424.00,468.04-474.44,482.04-486.56	0.096	alta
a nivell	pa-061	1	1357.96-1359.96	0.110	alta
a nivell	pa-063	2	1144.36-1147.32,1153.80-1158.72	0.116	alta
a nivell	pa-065	2	529.84-536.00,536.08-539.40	0.037	alta
a nivell	pa-066	1	25.96-28.96	0.219	alta
tirar endavant	pa-003	2	362.68-365.88,511.92-515.64	0.040	alta
tirar endavant	pa-017	2	50.60-55.40,233.00-246.00	0.254	alta
tirar endavant	pa-020	5	34.20-36.20,155.32-158.20,444.84-448.20,874.84-878.08,1277.52-1282.12	0.048	alta
tirar endavant	pa-029	1	57.48-62.48	0.064	alta
tirar endavant	pa-030	1	186.36-191.40	0.133	alta
tirar endavant	pa-031	1	146.84-149.56	0.128	alta
tirar endavant	pa-033	1	136.44-140.76	0.255	alta
tirar endavant	pa-034	1	691.08-694.92	0.082	alta
tirar endavant	pa-041	2	103.00-106.00,393.00-399.00	0.081	alta
tirar endavant	pa-056	1	186.28-188.44	0.040	alta
tirar endavant	pa-057	1	57.36-62.40	0.130	alta
tirar endavant	pa-059	2	50.52-54.12,242.52-246.48	0.137	alta
ensenyança	pa-003	1	280.44-285.48	0.114	alta
ensenyança	pa-041	1	524.00-531.00	0.441	alta
reformeta	pa-002	4	13.00-17.00,53.00-56.00,85.00-88.00,217.00-219.00	0.243	alta
reformeta	pa-022	1	126.28-129.92	0.153	alta
reformeta	pa-025	1	1086.28-1090.76	0.083	alta
reformeta	pa-026	1	139.36-144.92	0.100	alta
reformeta	pa-034	1	192.08-197.84	0.109	alta
reformeta	pa-038	1	1822.44-1827.32	0.032	alta
reformeta	pa-055	1	139.80-145.08	0.058	alta
