forma	parlant	ocurrencies	segments_temporals	conf_min_segment	prioritat
és a dir	pa-033	4	40.04-43.52,191.44-195.48,210.52-212.88,229.12-232.84	0.071	alta
és a dir	pa-034	3	319.84-322.72,361.68-364.16,1142.52-1144.24	0.080	alta
és a dir	pa-035	1	583.04-589.00	0.029	alta
és a dir	pa-039	1	209.80-215.36	0.019	alta
és a dir	pa-041	2	260.00-265.00,323.00-328.00	0.217	alta
és a dir	pa-043	1	108.00-111.00	0.123	alta
és a dir	pa-046	4	136.36-139.32,267.88-270.60,279.92-281.92,642.64-644.64	0.078	alta
és a dir	pa-048	1	1131.36-1134.56	0.052	alta
és a dir	pa-049	1	908.00-911.00	0.540	alta
és a dir	pa-055	1	64.64-67.84	0.032	alta
és a dir	pa-056	10	8.20-10.12,193.84-198.32,243.40-247.04,269.56-271.56,291.92-295.80,485.72-488.84,503.96-506.56,523.44-527.04	0.031	alta
és a dir	pa-057	1	20.64-24.76	0.168	alta
és a dir	pa-058	3	75.16-79.12,1641.76-1646.84,2213.76-2218.76	0.040	alta
és a dir	pa-059	1	488.56-490.92	0.271	alta
és a dir	pa-060	4	208.08-212.88,284.20-290.16,396.96-402.72,455.12-457.80	0.046	alta
és a dir	pa-062	2	974.40-979.56,1069.80-1074.80	0.023	alta
és a dir	pa-064	7	259.36-264.28,349.20-353.20,406.32-409.84,658.00-661.84,993.84-997.12,1135.08-1140.24,1205.16-1208.92	0.021	alta
és a dir	pa-065	7	222.04-225.40,333.08-335.80,678.24-680.48,916.08-917.92,934.00-936.80,1332.76-1334.76,1433.12-1436.80	0.036	alta
aleshores	pa-001	23	10.88-12.88,79.24-82.56,144.76-149.92,207.76-212.24,317.56-319.84,366.08-369.60,373.76-375.76,481.08-484.68	0.048	alta
aleshores	pa-003	2	19.44-22.44,202.32-206.28	0.064	alta
aleshores	pa-006	1	514.00-518.00	0.527	alta
aleshores	pa-008	1	1316.00-1319.00	0.327	alta
aleshores	pa-011	4	90.08-94.32,101.84-106.00,213.04-216.64,231.68-235.28	0.127	alta
aleshores	pa-012	3	247.00-250.00,609.00-613.00,687.00-690.00	0.060	alta
aleshores	pa-014	2	120.60-128.00,369.20-381.20	0.129	alta
aleshores	pa-021	2	13.00-16.12,181.20-184.24	0.044	alta
aleshores	pa-025	5	362.68-367.44,955.56-959.92,1328.56-1331.64,1463.60-1471.84,1776.52-1782.24	0.038	alta
aleshores	pa-030	2	393.16-397.16,600.96-603.72	0.042	alta
aleshores	pa-031	7	54.84-57.16,327.80-329.80,399.84-403.20,467.52-470.88,480.60-486.04,497.84-499.56,538.52-542.72	0.027	alta
aleshores	pa-032	2	79.84-86.44,294.00-299.56	0.065	alta
aleshores	pa-045	1	1194.16-1197.16	0.271	alta
aleshores	pa-046	4	528.32-531.80,729.12-731.96,799.40-802.12,978.16-981.20	0.078	alta
aleshores	pa-048	2	701.80-706.92,1316.72-1320.92	0.055	alta
aleshores	pa-049	2	111.04-117.92,759.00-762.00	0.081	alta
aleshores	pa-056	3	393.88-397.08,564.72-567.44,600.72-603.68	0.082	alta
aleshores	pa-060	3	147.92-150.72,150.80-156.32,160.52-164.24	0.046	alta
aleshores	pa-063	4	152.20-154.48,154.56-159.16,378.16-381.56,867.36-869.44	0.088	alta
aleshores	pa-065	15	171.44-173.96,320.00-323.40,401.24-403.84,414.88-417.60,513.24-516.44,666.36-670.76,781.56-784.08,822.68-825.60	0.027	alta
evidentment	pa-001	1	1068.44-1070.44	0.360	alta
evidentment	pa-002	10	206.00-209.00,497.00-504.00,633.00-638.00,1196.00-1199.00,1474.00-1478.00,1482.00-1485.00,1621.00-1625.00,1747.00-1751.00	0.082	alta
evidentment	pa-003	4	159.56-164.44,223.64-227.80,466.92-470.92,478.56-484.24	0.033	alta
evidentment	pa-004	1	523.68-527.40	0.082	alta
evidentment	pa-006	2	125.00-131.00,458.00-464.00	0.064	alta
evidentment	pa-007	1	779.00-783.00	0.546	alta
evidentment	pa-009	1	948.00-951.00	0.242	alta
evidentment	pa-011	1	158.40-162.96	0.162	alta
evidentment	pa-013	1	531.04-539.52	0.145	alta
evidentment	pa-014	7	29.40-36.80,208.00-216.60,258.00-268.40,308.60-315.20,648.20-659.20,674.20-686.20,862.20-869.20	0.042	alta
evidentment	pa-016	3	457.60-462.28,528.20-534.24,672.36-683.08	0.217	alta
evidentment	pa-017	3	153.00-161.00,488.00-494.00,564.00-569.00	0.177	alta
evidentment	pa-019	4	94.00-97.00,220.00-224.00,247.00-249.00,638.00-641.00	0.090	alta
evidentment	pa-020	7	118.32-121.52,179.12-181.92,573.00-577.92,703.04-706.08,1015.80-1018.92,1152.92-1155.68,1238.64-1242.52	0.038	alta
evidentment	pa-021	6	212.16-215.00,322.44-324.36,351.76-356.72,679.60-686.16,789.20-792.72,908.36-911.76	0.088	alta
evidentment	pa-022	2	303.76-308.84,603.64-608.00	0.071	alta
evidentment	pa-024	2	519.64-522.76,1263.24-1268.12	0.042	alta
evidentment	pa-025	4	1157.36-1159.56,1268.44-1271.32,1449.68-1454.44,1629.92-1632.84	0.063	alta
evidentment	pa-026	1	1649.56-1653.08	0.103	alta
evidentment	pa-027	1	174.84-177.48	0.094	alta
evidentment	pa-030	4	44.28-47.88,595.60-598.80,626.64-631.56,972.68-975.28	0.086	alta
evidentment	pa-035	1	473.68-481.04	0.047	alta
evidentment	pa-036	4	203.60-211.20,528.00-536.00,562.00-567.00,585.00-589.00	0.234	alta
evidentment	pa-039	1	184.92-187.92	0.194	alta
evidentment	pa-040	1	104.68-106.20	0.077	alta
evidentment	pa-041	1	354.00-360.00	0.446	alta
evidentment	pa-045	12	290.88-297.56,300.32-304.72,376.84-379.44,408.96-411.80,425.92-429.40,884.12-887.44,945.60-948.72,991.12-997.20	0.052	alta
evidentment	pa-046	3	706.44-710.28,796.64-799.32,959.00-960.60	0.080	alta
evidentment	pa-049	2	117.92-125.76,626.80-628.80	0.347	alta
evidentment	pa-055	1	1644.76-1650.56	0.010	alta
evidentment	pa-056	4	44.20-47.84,595.52-598.76,624.36-631.56,974.24-979.20	0.088	alta
evidentment	pa-059	3	152.88-161.28,491.00-493.64,563.24-565.24	0.081	alta
evidentment	pa-061	2	673.44-676.68,1155.00-1159.32	0.094	alta
evidentment	pa-062	4	164.04-165.92,482.12-488.12,941.24-944.68,959.88-963.00	0.078	alta
evidentment	pa-064	1	486.64-490.96	0.075	alta
evidentment	pa-066	2	90.50-94.66,205.46-207.78	0.045	alta
diguem	pa-003	1	213.60-218.76	0.133	alta
diguem	pa-006	1	531.00-535.00	0.274	alta
diguem	pa-007	1	586.00-591.00	0.342	alta
diguem	pa-008	1	375.00-379.00	0.267	alta
diguem	pa-009	1	61.00-66.00	0.583	normal
diguem	pa-018	2	716.24-720.44,970.56-976.16	0.344	alta
diguem	pa-019	4	110.00-113.00,697.00-702.00,728.00-731.00,749.00-754.00	0.265	alta
diguem	pa-020	1	1460.52-1463.20	0.119	alta
diguem	pa-022	1	448.32-452.80	0.106	alta
diguem	pa-023	1	55.80-60.20	0.083	alta
diguem	pa-025	3	501.64-505.68,1115.24-1119.52,1962.16-1965.80	0.036	alta
diguem	pa-027	1	58.52-62.52	0.038	alta
diguem	pa-028	1	169.64-173.40	0.067	alta
diguem	pa-029	1	930.44-934.76	0.116	alta
diguem	pa-033	3	49.76-55.16,117.64-121.00,232.92-239.36	0.122	alta
diguem	pa-034	1	505.20-507.76	0.056	alta
diguem	pa-037	1	470.52-481.28	0.055	alta
diguem	pa-038	3	252.00-259.80,1640.52-1647.12,1835.08-1839.56	0.022	alta
diguem	pa-039	2	145.12-152.20,289.76-294.32	0.081	alta
diguem	pa-046	2	626.76-629.44,1036.44-1040.48	0.044	alta
diguem	pa-049	1	213.88-219.68	0.070	alta
diguem	pa-057	1	930.56-934.56	0.254	alta
diguem	pa-058	2	715.96-718.16,971.72-975.80	0.062	alta
diguem	pa-060	1	55.80-60.16	0.089	alta
diguem	pa-062	2	192.12-196.28,1301.80-1305.60	0.096	alta
crec	pa-001	2	98.08-100.20,1014.92-1019.16	0.108	alta
crec	pa-002	11	249.00-254.00,765.00-774.00,826.00-834.00,1084.00-1089.00,1456.00-1461.00,1560.00-1565.00,1805.00-1809.00,1910.00-1915.00	0.137	alta
crec	pa-003	5	0.00-6.44,65.80-69.76,260.84-265.16,445.68-452.64,496.20-500.32	0.053	alta
crec	pa-010	1	1034.00-1036.00	0.695	normal
crec	pa-014	1	154.00-159.80	0.226	alta
crec	pa-016	1	93.92-100.08	0.258	alta
crec	pa-018	15	8.24-12.08,647.16-652.16,877.68-884.20,1110.36-1115.72,1155.12-1157.56,1222.52-1226.44,1346.32-1350.56,1355.88-1359.28	0.056	alta
crec	pa-019	23	28.00-31.00,76.00-80.00,88.00-91.00,107.00-110.00,154.00-156.00,156.00-158.00,170.00-175.00,175.00-178.00	0.146	alta
crec	pa-021	5	116.28-119.28,631.88-635.88,665.40-668.40,900.00-903.08,931.32-933.92	0.031	alta
crec	pa-022	6	244.48-248.68,267.32-271.12,411.64-415.24,415.32-418.16,608.08-611.12,629.72-633.28	0.085	alta
crec	pa-023	4	43.68-49.48,353.60-357.56,492.16-497.04,502.72-504.80	0.063	alta
crec	pa-024	24	368.76-371.88,435.88-440.00,591.52-594.64,609.84-611.88,628.04-630.52,707.40-710.84,714.48-719.88,1112.32-1115.84	0.017	alta
crec	pa-025	13	5.00-8.36,463.52-467.00,608.76-615.64,691.16-695.36,1072.76-1077.60,1668.88-1672.72,1692.84-1695.56,1906.16-1911.80	0.022	alta
crec	pa-027	16	9.56-13.64,39.80-42.00,156.76-162.52,255.00-260.12,268.04-273.32,368.12-371.24,378.28-382.04,398.20-401.80	0.030	alta
crec	pa-030	2	347.20-352.24,1133.52-1138.88	0.022	alta
crec	pa-031	2	87.76-91.88,582.24-585.24	0.033	alta
crec	pa-034	1	652.40-656.52	0.096	alta
crec	pa-035	2	873.52-879.16,902.24-906.48	0.054	alta
crec	pa-037	1	425.36-437.24	0.096	alta
crec	pa-038	4	221.44-226.04,393.92-398.76,739.20-742.52,748.92-755.24	0.094	alta
crec	pa-039	4	91.60-95.20,118.92-125.12,372.24-374.92,617.16-623.92	0.072	alta
crec	pa-040	1	5.12-7.04	0.015	alta
crec	pa-041	7	57.00-62.00,62.00-70.00,87.00-91.00,131.00-137.00,278.00-285.00,347.00-354.00,512.00-519.00	0.140	alta
crec	pa-042	1	32.76-36.60	0.054	alta
crec	pa-043	3	103.00-108.00,111.00-116.00,128.00-132.00	0.307	alta
crec	pa-045	5	241.36-244.88,286.72-290.80,1226.04-1228.04,1273.68-1275.68,1493.76-1496.76	0.041	alta
crec	pa-046	17	209.16-211.72,218.64-222.52,329.84-332.24,468.28-472.16,485.08-488.48,494.28-498.12,507.76-510.28,531.88-534.88	0.045	alta
crec	pa-048	3	111.72-116.52,137.60-139.60,1116.12-1121.12	0.111	alta
crec	pa-049	2	372.60-382.76,1027.00-1032.00	0.078	alta
crec	pa-051	1	209.32-212.64	0.030	alta
crec	pa-056	2	347.80-352.28,1133.52-1138.88	0.042	alta
crec	pa-058	15	7.44-11.96,648.92-652.08,877.52-880.92,1110.24-1115.52,1153.68-1157.52,1222.32-1234.12,1343.36-1350.48,1350.48-1359.28	0.043	alta
crec	pa-060	5	42.80-49.44,321.44-324.48,353.20-357.64,492.12-497.00,502.72-504.72	0.070	alta
crec	pa-061	3	429.60-434.88,1298.20-1300.80,1498.72-1502.60	0.105	alta
crec	pa-062	1	1038.64-1040.72	0.037	alta
crec	pa-063	15	759.56-762.48,772.52-776.40,954.00-955.52,992.60-996.12,1127.44-1130.40,1136.24-1138.68,1144.36-1147.32,1162.40-1163.92	0.064	alta
crec	pa-064	1	1336.52-1344.64	0.068	alta
crec	pa-065	2	1277.60-1280.92,1347.32-1351.16	0.037	alta
crec	pa-066	3	220.38-226.38,248.38-255.18,533.10-537.50	0.156	alta
bueno	pa-001	2	207.76-212.24,859.12-863.88	0.045	alta
bueno	pa-002	11	434.00-440.00,551.00-556.00,659.00-664.00,684.00-689.00,1289.00-1293.00,1311.00-1314.00,1667.00-1672.00,1992.00-1995.00	0.061	alta
bueno	pa-003	1	227.80-234.96	0.047	alta
bueno	pa-007	1	476.00-480.00	0.158	alta
bueno	pa-008	1	970.00-973.00	0.336	alta
bueno	pa-016	4	93.92-100.08,263.16-266.64,434.04-437.80,625.08-634.40	0.086	alta
bueno	pa-017	2	824.00-829.00,858.00-865.00	0.084	alta
bueno	pa-018	49	23.96-28.16,201.32-204.56,214.80-216.72,270.60-272.40,319.56-321.28,324.16-326.08,422.40-425.40,451.52-455.84	0.031	alta
bueno	pa-019	3	329.00-333.00,359.00-363.00,509.00-512.00	0.222	alta
bueno	pa-020	22	14.32-18.72,30.64-34.12,53.28-56.52,86.52-90.48,245.60-248.04,378.64-382.44,480.28-485.64,542.12-544.72	0.029	alta
bueno	pa-021	11	13.00-16.12,50.60-55.92,56.00-61.12,143.00-147.00,292.20-299.48,387.64-390.72,414.56-417.32,440.80-443.60	0.041	alta
bueno	pa-022	12	123.60-126.20,143.32-146.84,172.12-174.12,210.48-212.96,286.40-289.08,430.44-435.12,468.48-473.40,473.48-475.48	0.057	alta
bueno	pa-023	3	97.56-99.60,230.92-234.68,545.84-548.48	0.035	alta
