id_persona	categoria	forma	recompte_asr	clip_qa	forma_en_qa	estat
pa-004	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	parròquia	2		no-clip	ASR; pendent d'audicio
pa-004	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	a veure	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	aleshores	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	bueno	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	bé	3	clips/pa-005__b__51.09.wav	sí	ASR; pendent d'audicio
pa-005	discurs	clar	3	clips/pa-005__clar__155.93.wav	no	ASR; pendent d'audicio
pa-005	discurs	de fet	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	doncs	4	clips/pa-005__doncs__71.13.wav	sí	ASR; pendent d'audicio
pa-005	discurs	evidentment	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	llavors	1	clips/pa-005__llavors__433.29.wav	sí	ASR; pendent d'audicio
pa-005	discurs	no?	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	o sigui	1	clips/pa-005__o-sigui__373.33.wav	sí	ASR; pendent d'audicio
pa-005	discurs	per tant	1		no-clip	ASR; pendent d'audicio
pa-005	discurs	perquè	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-005	discurs	és a dir	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	Canillo	1		no-clip	ASR; pendent d'audicio
pa-005	territorial	Escaldes	4		no-clip	ASR; pendent d'audicio
pa-005	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	Ordino	2		no-clip	ASR; pendent d'audicio
pa-005	territorial	Sant Julià	3		no-clip	ASR; pendent d'audicio
pa-005	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	comunal	2		no-clip	ASR; pendent d'audicio
pa-005	territorial	comunals	2		no-clip	ASR; pendent d'audicio
pa-005	territorial	comuns	3		no-clip	ASR; pendent d'audicio
pa-005	territorial	comú	7		no-clip	ASR; pendent d'audicio
pa-005	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	parròquia	7		no-clip	ASR; pendent d'audicio
pa-005	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-005	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	a veure	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	aleshores	1	clips/pa-006__aleshores__513.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	bueno	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	bé	3	clips/pa-006__b__151.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	clar	1	clips/pa-006__clar__379.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	de fet	2	clips/pa-006__de-fet__285.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	diguem	1	clips/pa-006__diguem__530.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	doncs	3	clips/pa-006__doncs__180.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	evidentment	2	clips/pa-006__evidentment__124.25.wav	no	ASR; pendent d'audicio
pa-006	discurs	llavors	3	clips/pa-006__llavors__214.25.wav	no	ASR; pendent d'audicio
pa-006	discurs	no?	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	o sigui	4	clips/pa-006__o-sigui__136.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	per tant	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	perquè	6	clips/pa-006__perqu__110.25.wav	sí	ASR; pendent d'audicio
pa-006	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-006	discurs	és a dir	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	Canillo	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	Escaldes	2		no-clip	ASR; pendent d'audicio
pa-006	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	Ordino	1		no-clip	ASR; pendent d'audicio
pa-006	territorial	Sant Julià	3		no-clip	ASR; pendent d'audicio
pa-006	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	comú	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	parròquia	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-006	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	a veure	1	clips/pa-007__a-veure__89.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	aleshores	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	bueno	1	clips/pa-007__bueno__475.25.wav	no	ASR; pendent d'audicio
pa-007	discurs	bé	1	clips/pa-007__b__59.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	clar	1	clips/pa-007__clar__344.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	de fet	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	diguem	1	clips/pa-007__diguem__585.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	doncs	6	clips/pa-007__doncs__59.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	evidentment	1	clips/pa-007__evidentment__778.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	llavors	1	clips/pa-007__llavors__657.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	no?	4		no-clip	ASR; pendent d'audicio
pa-007	discurs	o sigui	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	per tant	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	perquè	6	clips/pa-007__perqu__101.25.wav	sí	ASR; pendent d'audicio
pa-007	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-007	discurs	és a dir	2	clips/pa-007__s-a-dir__684.25.wav	sí	ASR; pendent d'audicio
pa-007	territorial	Canillo	3		no-clip	ASR; pendent d'audicio
