idDivision	taula	serie	periode	valor	font	actualitzat
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ENTÉN	2018	4.7	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. LLEGEIX	1995	1.9	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. LLEGEIX	1999	2.5	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. LLEGEIX	2004	2.3	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. LLEGEIX	2009	2.8	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. LLEGEIX	2014	3.1	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. LLEGEIX	2018	4.5	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. PARLA	1995	1.8	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. PARLA	1999	2.3	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. PARLA	2004	2.1	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. PARLA	2009	2.5	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. PARLA	2014	2.9	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. PARLA	2018	4.1	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ESCRIU	1995	1.7	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ESCRIU	1999	2.0	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ESCRIU	2004	1.9	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ESCRIU	2009	2.3	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ESCRIU	2014	2.7	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ESCRIU	2018	3.8	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ENTÉN	1995	1.5	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ENTÉN	1999	1.8	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ENTÉN	2004	2.1	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ENTÉN	2009	4.2	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ENTÉN	2014	3.1	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ENTÉN	2018	4.5	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. LLEGEIX	1995	1.3	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. LLEGEIX	1999	1.5	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. LLEGEIX	2004	1.9	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. LLEGEIX	2009	2.9	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. LLEGEIX	2014	2.4	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. LLEGEIX	2018	3.3	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. PARLA	1995	1.3	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. PARLA	1999	1.4	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. PARLA	2004	1.8	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. PARLA	2009	2.7	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. PARLA	2014	2.4	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. PARLA	2018	2.7	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ESCRIU	1995	1.1	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ESCRIU	1999	1.2	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ESCRIU	2004	1.6	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ESCRIU	2009	2.1	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ESCRIU	2014	2.0	Departament de Política Lingüística	2022-01-29
1959	CONEIXEMENT DEL PORTUGUÈS	CONEIXEMENT DEL PORTUGUÈS. ESCRIU	2018	2.0	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CATALÀ	1995	42.7	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CATALÀ	1999	35.1	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CATALÀ	2004	29.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CATALÀ	2009	28.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CATALÀ	2014	39.5	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CATALÀ	2018	35.7	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CASTELLÀ	1995	34.6	Departament de Política Lingüística	2022-01-29
